{'短评内容': '房间不错，价格实惠性价比也可以～整洁性也还好。', '短评打分': 5}
{'短评内容': '很好，好多次了', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 3}
{'短评内容': '服务态度点赞', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错的酒店，很好，0秒退房，免押金入住。热水也很棒', '短评打分': 5}
{'短评内容': '干净  便利  有点小吵', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '没wifi,再也不住了', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错  繁华地段表示有点吵', '短评打分': 4}
{'短评内容': '太好了，开了好几个房间，都很好，打扫的卫生非常到位，服务非常好，价格跟汉庭一样，性价比高很多很多。支持。薄利多销，以后要打折。', '短评打分': 5}
{'短评内容': '位置比较好，交通便利，要求加入华住会', '短评打分': 3}
{'短评内容': '态度一般 ，环境还可以，要求加入华住会', '短评打分': 3}
{'短评内容': '位置很方便，卫生好', '短评打分': 5}
{'短评内容': '这个房间的空调很差劲，不建议推荐', '短评打分': 3}
{'短评内容': '有特别的服务，你懂的', '短评打分': 3}
