{'短评内容': '酒店客房很干净,也很大，歺厅也很清净,下次还来住', '短评打分': 3}
{'短评内容': '酒店不错，下次还可预住', '短评打分': 3}
{'短评内容': '价格，位置都挺好，房间过得去。为什么不能含早餐呢。', '短评打分': 5}
{'短评内容': '还不错,只是(B)座房间小,这个价钱也算公道.', '短评打分': 5}
{'短评内容': '干净，舒服，停车也方便！就是房间有点小，没有早餐送', '短评打分': 5}
{'短评内容': '房间很干净，就是套房有点小，不大气。没有早餐也是美中不足', '短评打分': 3}
{'短评内容': '酒店硬件设施还行，但是服务很一般。展会期间价格暴涨，很不厚道。', '短评打分': 1}
{'短评内容': '住的十分满意，今后去沈阳仍然会选择入住。望继续保持', '短评打分': 5}
{'短评内容': '多次入住，这间酒店的服务及环境始终如一，下次仍会选择继续入住', '短评打分': 5}
{'短评内容': '酒店环境及服务很好', '短评打分': 3}
{'短评内容': '感觉还可以，就是价格在沈阳的消费水平来说偏贵', '短评打分': 3}
{'短评内容': '网速稍慢，插座没有国际的！其他都很好，最好能免费升级大床房', '短评打分': 5}
{'短评内容': '酒店不错，价格方面一般，不占多大优势，位置可以，很方便', '短评打分': 5}
{'短评内容': '+酒店服务真是没的说，实在很周到。', '短评打分': 5}
{'短评内容': '位置不错，房间略小。                                                                                  ', '短评打分': 5}
{'短评内容': '价位上如果再降低一点 那就更好了', '短评打分': 5}
{'短评内容': '酒店还不错，环境是挺好的，价格也很合适。', '短评打分': 5}
{'短评内容': '房间卫生设施都挺不错，位置也很好找，价格很合适。性价比还不错。', '短评打分': 5}
{'短评内容': '房间卫生设施都挺不错，位置也很好找，价格很合适。性价比还不错。', '短评打分': 5}
{'短评内容': '地理位置交通蛮方便的，房间很干净，配套设施完善，性价比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店的环境非常好，配置硬件设施都很新，卫生服务也很达标，出行交通方便，性价比很好的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '这家酒店还不错，服务人员态度挺好的，房间卫生打扫的也蛮干净的，设施比较齐全，酒店位置也不错，出行很便利，停车也很方便，价格方面一般了，整体感觉还是不错的。', '短评打分': 5}
{'短评内容': '感觉还行吧', '短评打分': 5}
{'短评内容': '非常舒适！值得推荐！', '短评打分': 5}
{'短评内容': '服务非常好，房间也很干净，下次还住那', '短评打分': 5}
{'短评内容': '记得好像点评过 酒店硬件设施很好 就是吃饭太贵了\r\n服务员也不错 很亲切 但房间很小啊 ', '短评打分': 3}
{'短评内容': '第二次住这里 环境设施都很好 就是离市区太远了 出门一定要打车 不是很方便\r\n而且早餐确实很贵 要100元 ', '短评打分': 5}
{'短评内容': '条件好,住的舒服', '短评打分': 5}
{'短评内容': '酒店总体还不错 毕竟也是星级\r\n不过由于地理位置较偏远 所以除了工作外 周围没有合适休闲的地方 也没有大卖场之类的购物店 不大方便', '短评打分': 5}
{'短评内容': '酒店位置不错，打车很方便。可能刚开业不久的缘故，卫生条件非常好。房间整体硬件配置不错，但感觉房间稍小，电视也稍小。但如只是住宿的话，还是要推荐的。\r\n提点意见：1、服务员打扫房间时，没有更换用过的喝水杯，只是加上了一个纸盖。应该改进服务细节，否则与硬件条件不相衬。2、餐饮费用过高。早餐人头费100多元；点客房送餐，要个白菜豆腐、大酱鸡蛋加米饭也得百元，贵了点。\r\n', '短评打分': 5}
