{'短评内容': '温泉很好，已连续去了几年了，休息间的红薯和花生超好吃', '短评打分': 5}
{'短评内容': '环境可以，食宿一般！', '短评打分': 3}
{'短评内容': '很好很赞！服务好！！', '短评打分': 5}
{'短评内容': '有停车场的', '短评打分': 5}
{'短评内容': '前台服务一般，早晨最差。房间不错，适合几家人一起玩，最好可以订八间房，一个单元是自己人，有个大厅，非常好，温泉不错！', '短评打分': 4}
{'短评内容': '太差了，不值了！失望！', '短评打分': 1}
{'短评内容': '木屋设施简陋，温泉水质很好，泡了以后皮肤光滑。', '短评打分': 5}
{'短评内容': '自駕方便，在省道旁。温泉种類多，好。将会再入住。', '短评打分': 3}
{'短评内容': '环境一般，房间挺大，但设施老旧。', '短评打分': 4}
{'短评内容': '环境好，设施陈旧，被铺还有霉味', '短评打分': 4}
{'短评内容': '水质可以，但房间一般', '短评打分': 4}
{'短评内容': '酒店环境很不错，套房挺大的，可容纳两家人出游', '短评打分': 5}
{'短评内容': '还不错，性价比挺高的', '短评打分': 4}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '不错，就是早餐差了点', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧了，温泉还可以。', '短评打分': 4}
{'短评内容': '住在木屋型;还可以啦，不错，车正好可仃在窗口', '短评打分': 3}
{'短评内容': '环境不错。温泉不错，房间挺干净的，服务还不错。', '短评打分': 5}
