{'短评内容': '房间可以再大点', '短评打分': 4}
{'短评内容': '环境不错，我是出差，公司出差补助有限制，就在携程上预定的，价格很实惠，毕竟是全国连锁的，前台服务员态度很好，还有早餐，点赞', '短评打分': 5}
{'短评内容': '房间卫生挺不错的，都住过好几次了，比其他同价位的房间好，唯一不足的就是周边没有什么饭店和小吃', '短评打分': 5}
{'短评内容': '一切都很好', '短评打分': 5}
{'短评内容': '门口可以停车，早餐还好，交通方便', '短评打分': 4}
{'短评内容': '哈哈哈啊你们的很好你们的很好你们的很好', '短评打分': 5}
{'短评内容': '还不错 方便', '短评打分': 5}
{'短评内容': '房间不错啊，下次到这还是会订的', '短评打分': 5}
{'短评内容': '前台很热情，服务很好，', '短评打分': 5}
{'短评内容': '前台几个小妹服务态度很好，交通方便。', '短评打分': 5}
{'短评内容': '很好。服务态度很好，干净卫生', '短评打分': 4}
{'短评内容': '服务很好，干净卫生，主要是价格实惠', '短评打分': 4}
{'短评内容': '房间与价位不符，定价偏高', '短评打分': 3}
{'短评内容': '酒店位置很好  房间干净 下次还会入住 极力推荐', '短评打分': 5}
{'短评内容': '卫生但是早餐就真的可以吐槽了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 1}
{'短评内容': '就一般的快捷酒店', '短评打分': 3}
