{'短评内容': '出差长沙，携程上确认房间，可到了那里缺没房了，让人有点不满意，好在最后解决了住宿问题。', '短评打分': 3}
{'短评内容': '不错的酒店，设施齐全，装修很新，大堂虽然不大但布局很有特色。我们一行五人定了五间大床房，感受均好，下次还会入住', '短评打分': 5}
{'短评内容': '酒店就在大街边，很好找。住在邻街的房间晚上汽车经过有点吵。酒店周围小吃店多，吃饭也方便。住的房间电话、电视不能用。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '总体感觉不错 ', '短评打分': 5}
{'短评内容': '整个环境还行吧', '短评打分': 5}
{'短评内容': '还行，习惯好评。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在网上订的，房间环境还好，就是地毯的味道有点大～', '短评打分': 3}
{'短评内容': '酒店位置还好找，但是wifi很烂', '短评打分': 4}
{'短评内容': '房间够大的，后面有一个学校晚上睡觉安静。', '短评打分': 3}
{'短评内容': '酒店卫生还行，就是毛巾浴巾旧了点。', '短评打分': 3}
{'短评内容': '环境不错，就是小艺反应慢', '短评打分': 3}
