{'短评内容': '很不错，位置好找，干净整洁，房间很有情绪', '短评打分': 5}
{'短评内容': '不错，每次来都住这里', '短评打分': 5}
{'短评内容': '没有想象中好', '短评打分': 4}
{'短评内容': '从来没有感受过主题酒店 结果路过各种未打扫房间的时候真的惨不忍睹 可能只适合小情侣开钟点用 真的不想体验第二次', '短评打分': 2}
{'短评内容': '从来没有感受过主题酒店 结果路过各种未打扫房间的时候真的惨不忍睹 可能只适合小情侣开钟点用 真的不想体验第二次', '短评打分': 3}
{'短评内容': '从来没有感受过主题酒店 结果路过各种未打扫房间的时候真的惨不忍睹 可能只适合小情侣开钟点用 真的不想体验第二次', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务环境设施都不错 房间很好看 很适合情侣住  位置也不错', '短评打分': 5}
{'短评内容': '还行吧 就是很多房间没信号 ', '短评打分': 5}
{'短评内容': '挺好的，就是没放浴巾', '短评打分': 5}
{'短评内容': '很有特色的酒店', '短评打分': 5}
{'短评内容': '酒店进来后沙发，桌子上很多灰尘，电视有个能跟手机同步的功能，打电话文前台，前台说这个房间她没睡过，所以不会弄，另外酒店洗澡的设备挺好，就是水不热，洗个澡冻的慌', '短评打分': 2}
{'短评内容': '酒店很干净，很喜欢', '短评打分': 5}
{'短评内容': '非常棒，携程活动优惠', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '视觉空间主题概念酒店，很不错，像太空船一样，空间还是可以的，整体环境很惬意', '短评打分': 5}
