{'descr': '没窗一开门就是床没有了电视在床上放着', 'star': 1}
{'descr': '。。。。。。。。', 'star': 5}
{'descr': '挺用心做的一家酒店，虽然装修不是很豪华，但卫生做的很好，很注意细节，这年代能这么用心做的中低端快捷酒店真不多了，给店家点个赞', 'star': 5}
{'descr': '没问题还可以吧。', 'star': 5}
{'descr': '位置处于市中心，交通很便利，周围的配套非常齐全，买东西特别方便，酒店的服务态度非常不错，就是房间隔音效果不太好，隔壁打呼噜都能听得到。', 'star': 4}
{'descr': '价格很实惠，交通也很便利!酒店设施也不错，是比较好的出行选择!', 'star': 5}
{'descr': '就那样吧，还可以', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '服务很不错 房间简洁干净 价格也合适 离商业很近  购物游玩都及其方便 出门就是地铁 附近各种吃的也很多', 'star': 5}
{'descr': '自然景观类我涉猎实在不算多（去大西部旅行真的要烧钱一些），暂且搁置吧，但是方法基本是差不多的。', 'star': 4}
{'descr': '设施比较陈旧，位置还不错', 'star': 3}
{'descr': '可以', 'star': 4}
{'descr': '每次出差都住这', 'star': 5}
{'descr': '没窗户', 'star': 4}
{'descr': '地段好，离我去的地方很近', 'star': 5}
{'descr': '设施老旧，卫生较差，旁边舞厅很吵。', 'star': 3}
{'descr': '挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的', 'star': 3}
{'descr': '最差的一次住宿，房间小的可怜且没窗户。无线网络不好，热水不充足。卫生又差，早上就有楼下舞厅响个不停。建议旅友选其他住宿。', 'star': 3}
{'descr': '隔音不好，影响睡眠。', 'star': 3}
{'descr': '房间总体还好，就是有点潮', 'star': 3}
{'descr': '性价比高，但外部环境比较吵，', 'star': 3}
{'descr': '酒店离开观前街比较近，但是房间安排了靠近窗口，有一个很大的排风扇彻夜不停的在运转，和没有窗子的差不多了。KTV是有的，但是晚上没有。隔音不是很好，半夜听到隔壁有女的在叫。', 'star': 5}
{'descr': '性价比比较高，服务热情，唯一不足的地方是附近KTV或者迪厅的有低音炮噪音', 'star': 5}
{'descr': '总体不错······离市中心比较近白天有点吵', 'star': 5}
{'descr': '＋酒店很干净，还不错。前台很热情，下次还会去', 'star': 3}
{'descr': '不错 就是找的时候花了点时间 其它各方面都还好', 'star': 5}
{'descr': '距离肿瘤医院较近，非常干净，价格合理，推荐！！！！', 'star': 5}
{'descr': '\r\n入住的是标间，环境不错，就是晚上有点吵，楼道声音有点大，房间卫生还不错。早点虽然种类不多但是还比较好吃。性价比挺高个人消费比较划算', 'star': 3}
{'descr': '水滴怡园总体还不错，房间很大，稍微有点油漆味，早餐很一般，周围交通挺方便，饭店不多。前台人员工作效率很低，总体八十分吧！', 'star': 3}
{'descr': '干净，周围环境一般\n交通一般，可以直接到火车站\n早餐差劲\n', 'star': 5}
{'descr': '酒店很一般。连手机充电都不方便。。。前台服务也很一般，因对天津不熟，问个路还告诉错了。最开始还不耐烦，用个吹风机，还让我交五十押金。明明入住的时候都交押金了，交的时候还说是怕用收费的所以收了我100押金，结果吹风机还让再交押金。住过很多酒店，头次遇见这样的。太差了。', 'star': 1}
{'descr': '  昨天入住这家酒店，房间卫生，硬件都好还可以，就是楼道有好象刚刷过油漆的味道。入住条件还可以。另外院子停车很方便。 不过早餐比较差！给一个茶蛋，有4种咸菜、凉油条、玉米渣粥和蛋汤。玉米渣粥和蛋汤还不热！希望可以改进。', 'star': 5}
{'descr': '干净,经济实惠.但是房间太小了.住过几次.这次特别小.', 'star': 5}
{'descr': '离滨海西路很近，周边吃的地方很多，房间比较宽敞，就是灯光过于暗淡，洗浴感觉热水流量跟不上，凑合住的话可以了', 'star': 5}
{'descr': '性价比不错', 'star': 3}
{'descr': '物美价廉，紧靠观前步行街，购物方便。室内设置一般，不过，应有尽有，还行！', 'star': 5}
{'descr': '设施不是很新，早餐很简单，但是去肿瘤医院看病很近，步行五分钟即可', 'star': 5}
{'descr': '感觉上不如如家、莫泰之类的连锁酒店，但是服务尚可，设施简单，早餐太差', 'star': 5}
{'descr': '天津性价比非常高的一家酒店，早餐时间太早结束了，也许跟天津人都很能起早有关，对面倒是有家餐馆提供早点，算是补充了。院内的停车场比较大，晚上很安静。', 'star': 5}
{'descr': '酒店还不错，位置离火车站稍远，网速还行，但第一天晚上时断时续。', 'star': 3}
{'descr': '房间卫生间挺大，基本设施齐全，作为快捷酒店性价比还是挺高的。', 'star': 5}
