{'短评内容': '房间设施比较陈旧，有一股霉味，卫生状况一般', '短评打分': 3}
{'短评内容': '在县城的中心地段，办事很方便，只是酒店的设施比较老', '短评打分': 4}
{'短评内容': '设施比较旧，位置好，还行吧', '短评打分': 4}
{'短评内容': '住宿环境还可以，但空调效果略有不足。', '短评打分': 3}
{'短评内容': '感觉还行，里面有大保健哦??', '短评打分': 5}
{'短评内容': '房间一般呢', '短评打分': 4}
{'短评内容': '房间还可以！', '短评打分': 4}
{'短评内容': '一直住在华达，应该算是vip了。好评！', '短评打分': 5}
{'短评内容': '可', '短评打分': 4}
{'短评内容': '每次来京山都住华达，方便舒适。', '短评打分': 5}
{'短评内容': '酒店一般般，在县城算不错的了，Wi-Fi特别给力，还算不错吧', '短评打分': 5}
{'短评内容': '不错！环境卫生都很好！', '短评打分': 5}
{'短评内容': '性价比还可以，前台很热情，打扫卫生不积极', '短评打分': 4}
{'短评内容': '性价比还可以，前台很热情，打扫卫生不积极', '短评打分': 4}
{'短评内容': '还不错吧，wifi 信号太差……', '短评打分': 4}
