{'短评内容': '环境很一般 卫生情况也不好 勉强睡', '短评打分': 3}
{'短评内容': '没有早餐，酒店位置很好、四周有很多批发市场、到火车站也比较近。其他就不知道拉。', '短评打分': 5}
{'短评内容': '卫生一般般，就是交通很方便，周边环境还行。', '短评打分': 3}
{'短评内容': '位置还可以，吃饭也方便', '短评打分': 5}
{'短评内容': '旅馆很安静，设施挺齐全', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行吧！主要是离我需要去的地方近', '短评打分': 5}
{'短评内容': '设施不那么新，位置还可以，靠近公园，吃饭选择多', '短评打分': 4}
{'短评内容': '临时住一下还可以', '短评打分': 4}
{'短评内容': '临时住一下还可以', '短评打分': 4}
{'短评内容': '临时住一下还可以', '短评打分': 4}
{'短评内容': '隔音效果差,內部隔局不好,晚上睡覺還有蟑螂到處爬,網路也不好', '短评打分': 2}
{'短评内容': '一般，离火车站较近', '短评打分': 3}
{'短评内容': '房间设备齐全 连风筒饮水机都有了~对得起这个价格', '短评打分': 5}
{'短评内容': '有些旧  位置好些 可是 一分钱一分货', '短评打分': 2}
