{'短评内容': '酒店位置交通便利，房间干净。', '短评打分': 5}
{'短评内容': '中规中矩的酒店，离丽景门很近，走路大概10分钟，门口有到白马寺的58路，去龙门石窟需要导车或走路1公里到81路车站。', '短评打分': 5}
{'短评内容': '还不错哦呀', '短评打分': 4}
{'短评内容': '酒店位置不错，离丽景门步行几分钟的路程，去老街很方便。酒店设施比较好，交通也方便，门口就有公交可直达白马寺。酒店免费升级了房间，还赠送了粥券，很贴心。洛阳老城区，这个算是比较好的酒店了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置离洛阳丽景门和明堂天堂等景区很近，出行方便，有停车场，房间内还自带小米空气净化器，每个房间单独设WIFI，密码也是独立的，对手机安全还是有帮助的！', '短评打分': 5}
{'短评内容': '有临洛河阳台，房间卫生好', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '确实不错，酒店很干净', '短评打分': 4}
{'短评内容': '房间很干净 被子暖暖的 还帮忙寄了快递 真好 薄荷糖很好吃 下次来洛阳还住这儿', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置好，出入方便', '短评打分': 5}
{'短评内容': '环境较好，态度很好。有电话回访，询问感觉。还送了水果！那苹果又大又甜，水分足。很好的一次体验！超值！', '短评打分': 5}
{'短评内容': '一直出差在这家酒店入住；挺好的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，要是有地下停车场就更好了，酒店的洗浴中心服务很好', '短评打分': 4}
{'短评内容': '房间还可以，位置也好，设施合理', '短评打分': 5}
{'短评内容': '环境不错，交通也方便。', '短评打分': 5}
{'短评内容': '中规中据，应该是一个比较老的四星级酒店，比较满意的是吃饭真的不贵，从四星级来说甚至可以说便宜', '短评打分': 5}
{'短评内容': '房间床很硬 卫生间很脏竟然有些令人恶心的污渍。临走的时候一件衣服掉房间里了，第二天打电话过来竟然查不到我入住的名字 原来是前台人员把我的名字登记错了 一群蠢货  好在衣服后来找到了', '短评打分': 1}
{'短评内容': '住的豪华单间，房间空调很好，房间很大。一楼中餐厅厨师菜不错，而且价格不贵，环境还可以。早餐品种多。就是电梯只有两台，有时还只开一台，希望改进.', '短评打分': 5}
{'短评内容': '酒店豪华间家具较新', '短评打分': 3}
{'短评内容': '生意很好，来晚了没有房间。', '短评打分': 3}
{'短评内容': '非常满意，尤其是训练有素的酒店管理，有到家的感觉，每次去洛阳都去这家酒店。', '短评打分': 5}
{'短评内容': '酒店整体很大气，服务很到位，尤其是酒店二楼的餐厅到晚上十二点还有饭，感觉很温馨。真不愧是四星级的酒店，下次还选择这家酒店。', '短评打分': 3}
{'短评内容': '相当不错的酒店，服务热情细心，房间很舒服，早餐也不错，值得推荐。', '短评打分': 3}
{'短评内容': '酒店设施有点旧，位置还好，就是不要住南面临街的房间，太吵了，当地的司机太离谱了，半夜2点喇叭声不断，当地人也不投诉他们，卫生一般，和之前评价的比有出入。', '短评打分': 1}
{'短评内容': '，地理位置还行，卫生间设计不合理，房间隔音差，免早餐比较丰富！', '短评打分': 3}
{'短评内容': '服务不是太好。', '短评打分': 3}
{'短评内容': '网速不好。老是断线。隔音效果不是很好。我只是12楼施工影响休息，给酒店反应也起不到作用，照样施工', '短评打分': 5}
{'短评内容': '还不错，定的是豪华标间，入住时免费升级为商务房，挺满意的，早餐还可以，就是厕所味道大。总体还好了。', '短评打分': 3}
