{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 ', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '不错，不错，', '短评打分': 5}
{'短评内容': '还不错，几年前出差乌鲁木齐就是住这个店，豪华房间真是大！', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '冬天暖气不热，空调还没热风，冷', '短评打分': 4}
{'短评内容': '一般般吧，挺偏僻的。住了二个晚上，吃饭不方便，附近饭馆太少了，吃饭比较远，冬天天太冷了，出去吃饭很不方便，', '短评打分': 3}
{'短评内容': '连不上无线网络叫人来也没人理', '短评打分': 4}
{'短评内容': '出差中转，距离高铁站挺近，设施有点差，不过还凑合吧', '短评打分': 5}
{'短评内容': '好好好，非常好，非常好，非常好', '短评打分': 3}
{'短评内容': '超级好超级好超级好，推荐入住，交通便利', '短评打分': 3}
{'短评内容': '环境很不错，室内空间大。设施齐全，管早饭。推荐！是很好的选择。', '短评打分': 3}
{'短评内容': 'keyi.环境', '短评打分': 5}
{'短评内容': '可以，棒棒的', '短评打分': 5}
{'短评内容': '住在二楼两个房间，8238不能上网，晚上才发现，也有服务人员来看了两次，第二天才知道，已经有一段时间不能用了；8219卫生间门关不上，勉强挤住，开的时候声音很刺耳，像玻璃碎的声音。服务也一般！', '短评打分': 1}
{'短评内容': '房间大，开阔，暖和，标间两张大床，还是不错，但网路不通，网管人员不懂技术，找他解决不了就不管了，有早餐。', '短评打分': 3}
{'短评内容': '酒店环境很不错，不吵闹，稍微有一点偏僻。不过有车就很方便。房间空间很大，风格简约大方，热水也很充足。服务态度希望能再完善一些。', '短评打分': 5}
{'短评内容': '房间比较大，卫生也可以，周围环境比较差，在机电市场内，198元的房间比较没有阳光，自己体会去吧。', '短评打分': 5}
{'短评内容': '房间可以，但地理位置太偏了，吃饭什么的不方便', '短评打分': 1}
{'短评内容': '位置偏，退房超慢，这个价位太不值了', '短评打分': 3}
{'短评内容': '豪华标准间很超值，酒店周围没有商业区', '短评打分': 3}
{'短评内容': '哇塞，居然有一个这么大的房间？是我住过所有快捷酒店房间最大的一次，我随意测量了一下，居然差不多60平，单人大床房配备的居然还是立式空调，很！把硬件设施再做个升级就更完美了', '短评打分': 5}
{'短评内容': '豪华单人房非常不错，性价比可以，不过屋子里有烟味。', '短评打分': 5}
