{'短评内容': '酒店有点旧，前台和客房打电话没人接，用我手机打，前天一下子就接电话了。', '短评打分': 4}
{'短评内容': '早餐简单，不讲究的可以吃饱肚子', '短评打分': 5}
{'短评内容': '可以加床，早餐很好！', '短评打分': 5}
{'短评内容': '出差预定的酒店，离大众大厦非常近，就在对面，酒店是挂牌三星的，性价比比较高，早餐不错，就是离地铁站有点距离。', '短评打分': 4}
{'短评内容': '出差定的酒店，离大众大厦非常近，就在对面，酒店是挂牌三星，早餐还可以，就是交通不是很方便，离地铁站有点距离。', '短评打分': 4}
{'短评内容': '价格便宜，干净，舒适，我很满意。', '短评打分': 5}
{'短评内容': '交通很方便！整体环境不错！', '短评打分': 5}
{'短评内容': '冬天就是楼顶空调太吵', '短评打分': 5}
{'短评内容': '很不错的 值得回味', '短评打分': 5}
{'短评内容': '性价比不错的地方', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好吧，也有早餐，虽然不是很丰富，但是足够吃饱', '短评打分': 4}
{'短评内容': '酒店离上海六院很近，办事很方便，交通方便', '短评打分': 5}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '相对周边酒店来说，性价比较高，值得入住', '短评打分': 5}
