{'短评内容': '价格实惠，房间可以，交通便利', '短评打分': 4}
{'短评内容': '酒店位置不错,临近体育馆,公交车2元10来分钟就到火车站.我订的是单间大床房,有两个不太满意的地方1.单间全部是临主干道的,有点吵!2.房间看着一般,有点小,局促!', '短评打分': 4}
{'短评内容': '房间太小了，而且贵了点这个条件', '短评打分': 3}
{'短评内容': '环境不错,服务很好。', '短评打分': 3}
{'短评内容': '这家酒店服务还行，位置也不错，就是房间显得过小，设备也过于陈旧', '短评打分': 5}
{'短评内容': '环境比较粗糙，毛巾尤其可怕，勉勉强强', '短评打分': 3}
{'短评内容': '房间太小，仿照连锁酒店的模式来的。而且单间靠近马路太吵了 ', '短评打分': 1}
{'短评内容': '一般  感觉有点像在学7天  但又没有七天连锁做的好', '短评打分': 1}
{'短评内容': '还不错，卫生和楼梯间等地区可以稍稍加强，浴室设计稍显简单，我房间的遥控器有问题。', '短评打分': 5}
{'短评内容': '早餐不错，房间也可以', '短评打分': 3}
{'短评内容': '还算干净，可以住。还算干净，可以住。还算干净，可以住。', '短评打分': 5}
{'短评内容': '电视一会能看一会不能看，网络也是晚上基本不能上，问前台，还没人会修只有电脑房能修。', '短评打分': 1}
{'短评内容': '还行。。每次出差都住这里、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '挺好的。。。。。下次还继续入住。。。。呵呵。。。', '短评打分': 5}
{'短评内容': '和前一天住在吉安住的锦江之星对比明显，锦江之星不仅便宜些，而且各个方面，注意是各个方面，都比这个酒店好！苹果酒店令我失望', '短评打分': 1}
{'短评内容': '酒店还蛮好的。。。继续入住。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错！环境很好，房间干净整洁，服务态度更好，早餐好吃：）交通十分便利', '短评打分': 5}
{'短评内容': '性价比还蛮高的。。就是离出差的地方稍微有点点远~~~~~', '短评打分': 5}
{'短评内容': '还行~~~离出差的地方也不远~~~以后还来', '短评打分': 5}
{'短评内容': '酒店服务态度不错，我是上午7点到酒店的，预定的房间还没退房，先入住了电脑房，然后等预定的房间退房再入住。\n感觉酒店比较干净，但卫生间偏小，只有淋浴没有手拿的喷头，洗澡不太方便！\n还有就是圆床是左右两个半圆拼成的，中间有条缝，睡不好会搁到。', '短评打分': 5}
{'短评内容': '房间实景和图片有点差异，但总体还不错！带麻将的房间味道大了一点，估计是抽烟熏的。', '短评打分': 5}
