{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '位于思明区，距离厦大和普陀寺较近；房间虽小，设施齐全；前台比较热情；', '短评打分': 5}
{'短评内容': '发票当时打印不出来，邮寄还要到付，太抠门了。', '短评打分': 2}
{'短评内容': '酒店离厦大不远，但是酒店装修味很浓，而且空调还漏水，被子感觉有灰，环境一般', '短评打分': 3}
{'短评内容': '我定的没有早餐，不能加床', '短评打分': 4}
{'短评内容': '酒店离厦门大学很近，周边在搞建设，每天早上很早就被机器声音吵醒，房间很小，商务大床房除了床之外的空间几乎没有了?，淋浴间和卫生间在一起，特别小。总体一个字，小', '短评打分': 3}
{'短评内容': '在厦门大学附近，周边海鲜很多，到南普陀也很近，值得一去，地方还是蛮好找的，晚上也比较热闹，红红火火好。', '短评打分': 4}
{'短评内容': '房间干净整洁、服务周到、地理位置优越，购物观光交通实在是太方便啦！', '短评打分': 5}
{'短评内容': '很不满意，', '短评打分': 2}
{'短评内容': '房间有点小，但是离要看演出的地方特别近，也不吵，一个人住就可以了。出去就是沙坡尾，交通便利其他都可以省了。附近很多吃的玩的。', '短评打分': 5}
{'短评内容': '房间就是离厦大近些，离环岛路近些，早上跑环岛非常方便，但酒店本身太差了，不会再住，很不舒服。', '短评打分': 3}
{'短评内容': '酒店位置非常好，走路就可以到厦大，南普陀，做公交去轮渡，中山路都很方便。服务很好！在海边，晚上开窗，吹着海风睡得很香！', '短评打分': 5}
{'短评内容': '挺棒的，卫生不错，环境挺好，下次再来', '短评打分': 5}
{'短评内容': '一般太一般了！期待改善！期待改善！期待改善！期待改善！期待改善！期待改善！期待改善！期待改善！期待改善！期待改善！', '短评打分': 3}
{'短评内容': '房间在一楼，正在搞装修，浴室鼓风机声音太大，无线网速度不行。手机信号也差。可能是因为正在装修原因吧。', '短评打分': 4}
