{'短评内容': '环境一般，味道很大', '短评打分': 2}
{'短评内容': '哈哈，干净', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 3}
{'短评内容': '信号不好，电话是坏的，烧水壶不敢要', '短评打分': 3}
{'短评内容': '垃圾中的垃圾  水煮水傻B 。特别是前台一副狗脸样子   简直听不懂人话 。就是一欠逼', '短评打分': 1}
{'短评内容': '酒店比较陈旧，卫生一般，房间大，有阳台，临街，采光好，可惜噪音有点大；酒店临近县政府，交通便利，价格实惠。', '短评打分': 4}
{'短评内容': '有点脏味道有点大…无线网不好…屋里跳电一闪一闪的也没修好…空调也没办法开…晚上出去吃完饭回来拔了房卡睡的…只能将就住了…不过保洁阿姨还是蛮好的…就事论事…', '短评打分': 2}
{'短评内容': '还可以，住着吧', '短评打分': 5}
{'短评内容': '枕头都是坏的', '短评打分': 3}
{'短评内容': '不错。     ', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务态度不好，有电脑登不上qq，无线网卡的要死，总体不好', '短评打分': 2}
{'短评内容': '1.衛生間只有固定淋浴頭很不方便，2.樓層網絡很差，', '短评打分': 3}
{'短评内容': '很满意，还有个大阳台', '短评打分': 5}
{'短评内容': '酒店设施还好，浴巾、毛巾有些陈旧', '短评打分': 3}
{'短评内容': '就在车站右手边，很方便。房间还行。', '短评打分': 3}
{'短评内容': '这家酒店还不错，前台的态度还可以，网络速度还不错，可以达到6M水平，打了几次电话都挺耐心的，下次还来住，话说已经是第二次首选入住了，在安吉挺有优势的', '短评打分': 5}
{'短评内容': '离车站很近，买东西也比较很方便。我们住在靠小区这边的房间，还有一个阳台，光线很好也很安静。房间比较大但设施有点老，不过总的来说还不错。', '短评打分': 5}
{'短评内容': '距离汽车站很近，价格合适。但是靠近马路一侧的客房较吵，睡眠不好的人要注意了。', '短评打分': 5}
{'短评内容': '电梯坏了，空调效果没有，实在差！', '短评打分': 3}
{'短评内容': '总体感觉不错总体感觉不错总体感觉不错总体感觉不错总体感觉不错', '短评打分': 5}
{'短评内容': '服务态度很好环境也不错', '短评打分': 3}
{'短评内容': '交通方便就在汽车站旁。性价比较高，要求不高的话住住还可以。出差住过两次。', '短评打分': 5}
{'短评内容': '隔音实在是差，半夜3点被吵醒！设施也很一般。', '短评打分': 1}
{'短评内容': '还好吧，这个价位在安吉算还行，遗憾的是安吉没有全国性的快捷酒店', '短评打分': 5}
{'短评内容': '.房间普通，交通方便，', '短评打分': 3}
{'短评内容': '这个酒店环境很差，房间都发霉了，关键的是在网上订了3天130元/天，前台说只给住一天网上订的价格不算，要按照前台价格结算，如果继续住要涨到260元一天，太气人了···', '短评打分': 1}
{'短评内容': '酒店位置非常好，在安吉汽车站和安吉政府中间。对面有家大的面包店，周边餐厅也比较多。不过房间隔音不好，临街的窗户没有做双层隔音。', '短评打分': 5}
{'短评内容': '房间还是挺干净的', '短评打分': 3}
{'短评内容': '隔音不是很好，其他的还可以。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，以后还会去的，只有一点不好就是没早餐，这点不方便', '短评打分': 5}
{'短评内容': '还行 这样的价格 这样的地势  这样的地方 这样的位置 还行吧', '短评打分': 5}
{'短评内容': '空调不能用的郁闷....fuwuyib............', '短评打分': 1}
{'短评内容': '服务态度很一般，让我大失所望的酒店，比任何连锁快捷酒店都差，最多150左右的房价国庆的价格竟然要400.宰人没商量啊。', '短评打分': 1}
{'短评内容': '什么都很一般 我们是十一长假去的 能有房已经不错了 所以我是觉得尴尬的时候还算能住 过得去。。。', '短评打分': 1}
{'短评内容': '总体也就只能打个65分吧。这样的价格，无论是否旺季，基本上不会选它了。', '短评打分': 3}
{'短评内容': '挺不错的..离车站很近 。。酒店的设计 也挺好的 。。在房间了能看到整条街', '短评打分': 5}
{'短评内容': '酒店的设施比较老旧，有些需要更换了，卫生是中等水准，但地理位置比较好，价格也适当，但在那个小县城有点高了。住一二天也无妨。一般推荐。', '短评打分': 5}
{'短评内容': ' 还算干净', '短评打分': 3}
{'短评内容': '酒店内部设施虽然有点旧，但是地理位置比较好，靠近车站，总体来说，不错', '短评打分': 5}
{'短评内容': '酒店虽然装修老了点，但是设施很齐全，网速也还不错，值得一住', '短评打分': 5}
{'短评内容': '总台的服务态度欠佳…', '短评打分': 3}
{'短评内容': '入住的情况很满意啊！', '短评打分': 3}
{'短评内容': '宾馆装修以显较旧，房间让人觉得不太干净，服务员素质有待提高，刷预授权竟然弄成消费，真是晕倒。', '短评打分': 1}
