{'短评内容': '价廉物美，在节假日很超值！', '短评打分': 5}
{'短评内容': '第二次住，还不错', '短评打分': 4}
{'短评内容': '“好好计划还回家斤斤计较叽叽叽叽叽叽叽叽叽叽叽叽叽叽叽叽不不不巴巴爸爸巴巴爸爸巴巴爸爸”', '短评打分': 1}
{'短评内容': '很满意，性价比超高。停车也方便。下次来还是要住在这里。', '短评打分': 5}
{'短评内容': '酒店不错，有停车场', '短评打分': 5}
{'短评内容': '环境一般 还比较方便吧', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '满意 离码头也很近', '短评打分': 5}
{'短评内容': '我们自己去除角质层变厚的衣服了。', '短评打分': 5}
{'短评内容': '住过几次了，还不错的酒店。', '短评打分': 5}
{'短评内容': '入住很满意，地段出入方便，是商务出差的首选', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '朋友一行四人，住的舒心玩的开心，虽然回上海时有点堵。朋友说下次不住岛上，还来住这里。', '短评打分': 4}
{'短评内容': '前台不微笑！有待改进！', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店位置便捷 在永兴隧道出口 有停车场 去海鲜夜排档很方便 房间装修略显陈旧 但是还干净  面积较大   不讲究的朋友 出行可以入住', '短评打分': 4}
{'短评内容': '周末入住，性价比不高。灯光暗，有点霉味。', '短评打分': 1}
{'短评内容': '总体还算不错，就是地下车位有点少，其他都还算方面，总体而言，有一定的性价比，推荐', '短评打分': 5}
{'短评内容': '房间还是比较大的，设施还齐全。大部分房间有麻将桌，但要另外收费。去码头，大排挡还算方便，打的10块钱。不足：停车位比较少，房间有霉味，要多开窗透气。', '短评打分': 5}
{'短评内容': '永兴假日宾馆比较干净，服务态度好，离海鲜夜排档和码头都很近，非常方便。虽然价格小贵，还是给个好评', '短评打分': 3}
{'短评内容': '此酒店性价比不错，比较干净，我们周末去的房价比平常要贵点，离沈家门海鲜排档一条街较近，去吃海鲜方便，酒店早餐不是太好，品种少，连个煮鸡蛋也没有。', '短评打分': 5}
{'短评内容': '还行吧，中规中矩 ，价格 好高 建议大家不要周6 周7去 。', '短评打分': 5}
{'短评内容': '在隧道口的一家酒店，先说好的，服务员蛮可爱的，帮我们升级了有电脑的房间，舟山的酒店都有一股霉味，这次住的普陀山的也是的，这家地毯看着脏，灯光很昏暗，但是空调热水，夏天的话都蛮大的，房间感觉有点压抑，当地无论什么宾馆，周末房价都是平时的一倍，整个行业风气就是这样，所以还是喜欢东南亚的价格', '短评打分': 1}
{'短评内容': '晚上12点以前靠街边的房间有点吵。整体不错，下次去普陀还会入住', '短评打分': 5}
{'短评内容': '东港永兴假日酒店还是一如既往的好，以后会一直选择该酒店', '短评打分': 5}
{'短评内容': '早餐儿童也要交10-15元餐费，简直想钱想疯了！！！带小孩子的强烈不建议入住！！！\n其他方面真的还可以。', '短评打分': 5}
{'短评内容': '房间大床大，干净安逸舒适，服务员热情乐助，到码头、汽车站近，门口公交方便！总体一个字：爽！', '短评打分': 3}
{'短评内容': '不错的体验，会再来的', '短评打分': 3}
{'短评内容': '清明小长假去舟山踏青，入住该店。预定的是套间，比想象的好，有两间房、两张床，可以住两家人但只付一间房钱，超级划算。房间设施齐全，干净整洁。就是自助早餐不好，人多料少，但早餐还是便宜的。整体不错！', '短评打分': 5}
{'短评内容': '非常好，房间很宽敞也干净，对面有个水果店，下面有小超市，感觉也很安静，门口就是汽车站，去码头汽车站什么的都方便', '短评打分': 3}
{'短评内容': '住这边去半升洞码头很方便，去海鲜大排档的交通也很方便，该酒店是在沈家门暂歇脚的不二选择~', '短评打分': 5}
{'短评内容': '酒店的设施还是可以的，但是感觉被子很久没有洗或者没有晒，在路边上，不过隔音效果还好的，酒店的一次性用品比较差，居然还有过期的东西，一次性洗发液是2010.8月的，毛巾很干硬，早餐基本什么东西也没有，我们是7点起来的，早饭时间是7.-8.50，我们过去是7.20 已经没有吃的东西了，酒店人员站在边上一句话也没有，只有白粥，连小菜也没有，老公一看气死了还以为打发乞丐呢', '短评打分': 1}
{'短评内容': '除了床有点硬，其他都很好，房间有电脑有网络，门口就是公交车可以到码头，附近还有小饭店，东西不贵挺好吃', '短评打分': 5}
{'短评内容': '不错的酒店，什么都不错，房间整洁，服务超好，真的很不错的，强力推荐，更多交流请加QQ：653703141', '短评打分': 5}
{'短评内容': '酒店感觉不错，挺干净的。服务太度也比较好，交通也方便。', '短评打分': 3}
{'短评内容': '酒店相对性价比较高，比较整洁，但是灯光不足，晚上灯光较暗，联系总台无其他照明可提供，卫生间除了洗漱台镜子上面有个照明灯，浴室灯都没的，而且浴室与房间直接是透明玻璃隔开的，帘子装在房间，还不能完全拉上，上个厕所外面都能看到。定了三个房间，有一个房间电脑上全是A片，卡的都没法上网，自带笔记本无法联网，联系总台后说是要回复的，结果到离店都没回复，不过还好收到无线网络可以用。', '短评打分': 5}
{'短评内容': '酒店环境及住宿条件都不错，比较满意', '短评打分': 3}
{'短评内容': '不错，房间还比较大，价格稍为偏高，服务态度一般，总体还行', '短评打分': 3}
{'短评内容': '距离码头近、房间干净、但价格小贵。', '短评打分': 3}
{'短评内容': '位置不太好，在一个涵洞的边上，离半生洞码头近倒是真的。\n房价比较新也还算干净，早餐尚可。\n但前台接待也太差了，像个装大爷的招待所，不知道普陀的其他小酒店是不是也是这种私人招待所的水平。', '短评打分': 1}
{'短评内容': '很不错，性价比很高。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常不错。房间很大很给力', '短评打分': 3}
{'短评内容': '不错，价格不贵，环境也还可以，去沈家门吃海鲜也近。', '短评打分': 5}
{'短评内容': '还是比较干净，房间很宽敞，还有免费电脑可以上网', '短评打分': 5}
