{'短评内容': '。', '短评打分': 5}
{'短评内容': '很       好', '短评打分': 5}
{'短评内容': '第一晚还行，第二晚开始皮肤过敏，咨询一下服务员，给的回复是可能是床单上消毒药水味道，', '短评打分': 4}
{'短评内容': '很好实惠', '短评打分': 5}
{'短评内容': '可以汗蒸，位置好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '挺好的酒店，干净整洁。', '短评打分': 5}
{'短评内容': '房间有点旧，设备老化，其他都还行', '短评打分': 5}
{'短评内容': '环境不错，服务不错', '短评打分': 5}
{'短评内容': '环境不错，干净', '短评打分': 5}
{'短评内容': '环境真的很不错，还有地下停车库，房间很大，很舒适，价格也合适，就是没有早餐，中央空调很舒适，服务态度很好', '短评打分': 5}
{'短评内容': '一个字，好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '甘样价格，甘样的房', '短评打分': 2}
{'短评内容': '都挺好的，交通很便利', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '房间比较小，感觉一般般', '短评打分': 3}
{'短评内容': '这样的酒店，价格有点高', '短评打分': 3}
{'短评内容': '服务不错，硬件也很好，价格贵了一些', '短评打分': 3}
{'短评内容': '我發現通過你們訂的房間，酒店都是把最差的房間給我，唉！不知你們和酒店是怎樣合作的。以后不會選擇通過你們訂房了。', '短评打分': 3}
