{'短评内容': '宽敞，整洁，安静！', '短评打分': 5}
{'短评内容': '卫生整洁位置便利', '短评打分': 5}
{'短评内容': '还不错，卫生状况挺好的，定了特惠房，227。到了店付钱的时候，酒店服务员说，特惠房的风机比较响，噪声比较大，问我们要不要换成标准间，要加20元，当时走的比较累也没多想就说好的，后来想想，可能这个特惠房，根本没有所谓的噪声问题，人都是一样的吧，因为它上面只是写特惠房部分没有窗户而已。我们在付钱的时候又有一个人订了特惠房标准间。服务员也问他要不要，换成标准间？因为特惠房风机比较响。仔细想来，网上很多人', '短评打分': 5}
{'短评内容': '就是服务员素质差点，不顾客人休息，大声说话', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，特别方便，就在高科西路地铁站2号口出来过个马路然后再直行100左右就到了～', '短评打分': 5}
{'短评内容': '蛮好的不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好的。！', '短评打分': 5}
{'短评内容': '环境好，价格适中', '短评打分': 5}
{'短评内容': '#ud83d#ude00', '短评打分': 5}
{'短评内容': '过了很久才点评，酒店离地铁站很近，离梅奔也不远，这也是选择这里的原因，因为我是来看演唱会的，其他方面中规中矩', '短评打分': 4}
{'短评内容': '以下都是客观评价。总的来说还是不错的，环境优雅安静，房间大小适中，装修温馨，卫生条件良好；但是比较不满意的是前台服务员，长相都不说了，关键是完全没有笑容，说话很不耐烦，不明白的地方，让多解释一下，很不愿意。总之，服务质量将整个酒店打了个折扣', '短评打分': 5}
{'短评内容': '位置偏了点，其他还行', '短评打分': 5}
{'短评内容': '地理位置特别好，出门就是地铁站，而且离世博园也很近。更加赞的是这家酒店的停车场很大，而且也不收费，很值得推荐。房间也挺大的，很干净，以后还会入住！', '短评打分': 4}
{'短评内容': '感觉还不错！', '短评打分': 4}
{'短评内容': '挺宽敞', '短评打分': 5}
{'短评内容': '服务不错，环境也还行，周围餐饮太少了，要走很远。', '短评打分': 4}
{'短评内容': '酒店是特意为如家建设的，房间比一般如家大。。最主要的是离离地铁站太近了，很方便。。早餐质量有待改善', '短评打分': 5}
{'短评内容': '除了面积有点小,其它各方面还不错.', '短评打分': 4}
{'短评内容': '对了 得说一下 ，该酒店可以外叫送餐，具体电话问前台就可，有兰州拉面、KFC、盖浇米饭等', '短评打分': 5}
{'短评内容': '参加新国际博览中心的展会，住这里非常方便，乘地铁7号线5站到花木路站1号口出，正好是展馆2号门，即便是下雨不带伞也没关系，哈哈。另外价格相对于展馆周边其他连锁店要低100元左右，很不错。唯一遗憾的是入住那天给办理手续的小姑娘态度不太友好，言语冷淡，面无表情，这很影响客人心情。其他人员服务都非常热情，很满意。', '短评打分': 5}
{'短评内容': '乘地铁很方便，房间相比其他如家店要宽敞些，不错。\n\n周边就餐较不方便。', '短评打分': 5}
{'短评内容': '环境还可以 很温馨  离地铁很近 就是周边没有商店 要走一会才能有超市！', '短评打分': 5}
{'短评内容': '酒店不错，小而温馨，干净整洁，交通也便利，离地铁站口很近 ，就是周围没什么吃的', '短评打分': 3}
{'短评内容': '房间很干净，离地铁站很近，很方便，就是距离吃饭的地方稍远走路十分钟吧', '短评打分': 5}
{'短评内容': '位置虽然离市中心有点远，但是马路对面就是地铁站，还是挺方便。停车也很方便。设备也比较新。早餐还行。美中不足是卫生间的地漏有问题，经常弥漫臭气，很令人烦恼。不知道是不是个别现象。', '短评打分': 5}
{'短评内容': '离世博园和梅赛德斯奔驰中心蛮近的，旁边就是地铁站。云台路有很多好吃的。因为没有两天的特惠，就订了一天的特惠一天的标间，没想到到那里店员给升级了，省去了换房间的麻烦~房间很舒服，大小合适，挺干净的。下次去了还会选择这家。不足的就是没有WIFI。', '短评打分': 5}
{'短评内容': '如果是在上海梅赛德斯看演出的，住这家酒店是很好的选择。环境很不错，而且离文化中心也很近，附近还有中国馆。地铁也很方便。', '短评打分': 5}
{'短评内容': '位置有点偏了，但离地铁站很近，但是，我去了，说什么我订的特惠房没有打扫，要我加20元升级成标准房，我很郁闷，我下午5点到的，尽然还没有打扫完，这是什么意思。。哎。。其他还可以，保持了如家的水准', '短评打分': 5}
{'短评内容': '交通很方便，地铁站就在附近，就是吃饭的地方比较少，地方还算偏的', '短评打分': 5}
{'短评内容': '因为这家比较新的关系，硬件非常整洁，干净，服务态度挺好，交通也方便，出门就是地铁站', '短评打分': 5}
{'短评内容': '看漫展或chinajoy都推荐在这，中国馆就在旁边。而cj的举办地点坐酒店旁边的7号线地铁经5站就到了。地铁站就在酒店门口右边距离100多米的地方', '短评打分': 5}
{'短评内容': '地点不错，高科西路4号出口右忘就能看见，非常方便，服务和设施都非常的好，如果有WIFI就更好了，呵呵，有机会还是回来的。', '短评打分': 5}
{'短评内容': '环境很好，交通便利。', '短评打分': 3}
{'短评内容': '蛮干净，整洁的。而且交通很方便。总体来说，物超所值。', '短评打分': 3}
{'短评内容': '离地铁很近', '短评打分': 3}
{'短评内容': '位置不错，出门就有地铁6、7号线，很方便，房间也很干净，很不错哦', '短评打分': 5}
{'短评内容': '不错…房间够大…环境也很好…如果工作人员的态度不要因为天气而那么火气大就更好了…呵呵…', '短评打分': 3}
{'短评内容': '帮客户订的，据说环境很不错。也很新，交通挺便利，出门就是地铁站。', '短评打分': 5}
{'短评内容': '位置靠近世博园，酒店卫生不错，各种设施比较新。', '短评打分': 5}
{'短评内容': '很不镊，房间宽大(^.^)和地铁站很近', '短评打分': 3}
{'短评内容': '1、离地铁很近，6号线和7号线的交汇点，交通方便；\n2、附近没有购物的小超市，不是很方便；\n3、酒店的快餐还算实惠。', '短评打分': 5}
{'短评内容': '如家快捷酒店（上海高科西路世博园店）交通不错，到上海新国际会展中心也不远，价格实惠', '短评打分': 5}
{'短评内容': '还不错,干净，安静。就是卫生间有点滑，水盆没有台。', '短评打分': 5}
