{'短评内容': '超级无敌棒棒', '短评打分': 5}
{'短评内容': '整体卫生情况还是不错的，周边也很方便。早餐也还可以的，优！可以推荐。就是周边公共交通稍微差点，少的士。', '短评打分': 5}
{'短评内容': '作为出差旅行还是很不错的，周边用餐也很方便，离高铁站不远，从各方面来说，还是很值得入住的，赞一个先！', '短评打分': 5}
{'短评内容': '酒店环境一般般。外面空调声音非常非常吵。已经严重的影响，大家的睡觉。我以前从来不会失眠，但是在这边还是失眠了。', '短评打分': 4}
{'短评内容': '位置还不错', '短评打分': 4}
{'短评内容': '还好吧，早餐，和洗澡不错', '短评打分': 4}
{'短评内容': '该酒店下次去还会住的，交通很方便，环境很乾净、内部设施也不错，主要是服务员的态度非常好。', '短评打分': 5}
{'短评内容': '该酒店下次去还会住的，交通很方便，环境很乾净、内部设施也不错，主要是服务员的态度非常好。', '短评打分': 5}
{'短评内容': '以前住过还可以，今天再入住门口停车场已改成公路停车困难，找了服务员态度也不是很好，以后不敢在这酒店住了', '短评打分': 2}
{'短评内容': '设备陈旧！', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '酒店客房服务还行。前台只有一个人，办事效率很低。酒店在铁路和公路旁边，房间的隔音效果很差，住在靠马路边那侧的话，特别吵。', '短评打分': 3}
{'短评内容': '在角美还算是不错的住宿选择，房间设施略显陈旧', '短评打分': 4}
{'短评内容': '第一次入住住完客人反應不錯下次還會再來.就是在馬路邊有點小吵但是也能睡就是了', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境还不错，服务态度好，就是温泉水温不太容易调，室内没有热空调，出来感觉很冷。', '短评打分': 5}
{'短评内容': '很一般，虽然是挂牌三星的酒店，但是除了服务员很热情，态度很诚恳以外，其他都不是很满意。比如：说是温泉酒店，房间里的温泉水放出来也太温了吧；洗手间非常简陋，洗脸台都没有，只有一个洗脸盆；还有厕所跟花洒都是坏的。。。。。。。所以，下次应该不会考虑再入住了。', '短评打分': 1}
{'短评内容': '有温泉还是不错的，价格比不是太好，位置有点偏，说是龙海，其实离厦门更近', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '环境不错，房间比较大。总体感觉比较温馨。', '短评打分': 3}
{'短评内容': '位置挺好，周边交通挺便利，内部配套设施挺齐全，餐厅饭菜口味也不错。', '短评打分': 3}
{'短评内容': '位置相当不错，周边公交打车都很便利，服务上也挺贴心的。', '短评打分': 5}
{'短评内容': '房间挺大的，窗户也挺大，采光很好，打扫也挺干净，感觉挺舒适。', '短评打分': 5}
{'短评内容': '房间设计的挺中式化，家具设施挺显档次，卫生打扫也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺高档，卫生打扫很好，服务也不错，住的挺满意。', '短评打分': 5}
{'短评内容': '卫生间里的水是温泉水，水质很好，用着很舒适，这点挺有特色。', '短评打分': 3}
{'短评内容': '干净卫生，提供早餐，出行交通便利，总体感觉很不错。', '短评打分': 3}
{'短评内容': '房间里的家具是红木的，床也是传统中式的，让人感觉很古朴很舒适。', '短评打分': 3}
