{'短评内容': '服务很好，就是房间有些旧了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉非常棒的体验', '短评打分': 5}
{'短评内容': '已经算很便宜了', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '也就值这个价钱，千万别图便宜。毛巾脏乎乎黑色的，床的弹簧全都折了，整个人全塌进去了。隔音太太差了', '短评打分': 1}
{'短评内容': '还好吧。。', '短评打分': 5}
{'短评内容': '一般吧，不怎么样', '短评打分': 3}
{'短评内容': '还可以！性价比不错', '短评打分': 5}
{'短评内容': '有待提高！', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '比较方便', '短评打分': 4}
{'短评内容': '挺好的，前台交接时信息沟通不太顺利，最后解决了。', '短评打分': 3}
{'短评内容': '酒店真的是太一般了。我把充电器明明掉在了酒店结果酒店就说找不到，没有看到充电器！真的是愤怒！除了离南站近点，其他都不好。房间有股味道。', '短评打分': 3}
{'短评内容': '还算不错吧，', '短评打分': 4}
{'短评内容': '房间挺干净的，退房后忘记开发票了，给前台打电话说明情况后，不到一个小时就告诉我已经把发票给我寄来了，服务真的不错！下次去北京还会入住的！呵呵', '短评打分': 5}
{'短评内容': '这个价位 在北京不错 离火车站很近 就是不能能用信用开', '短评打分': 5}
{'短评内容': '真的真的是好偏好偏，不近不远的距离让打车成为很大的难题，没有人愿意在火车站等了那么久拉个这么近的客人。没想到冲着这个近去却害了我，早上回火车站没有公交车，依旧没有的士愿意载，我哭。北京的的士找各种理由什么我还在吃早餐，什么我的车有点问题，什么我还有事，真的无语。。。。。里面环境还行。但是陌生人到北京我绝对不推荐。订房要乘早啊', '短评打分': 1}
{'短评内容': '酒店房间很大，卫生间是玻璃的，对于这个价格来说，不错。', '短评打分': 5}
{'短评内容': '还好很实惠', '短评打分': 3}
{'短评内容': '不错~~交通很方便 不远处还有家乐福~~我觉得很合适 会继续入住', '短评打分': 5}
{'短评内容': ' 房间挺温馨，就是位置比较难找', '短评打分': 3}
{'短评内容': '经常入住这家酒店，空间大，尤其是洗手间很喜欢，还喜欢落地窗，价格也合理', '短评打分': 5}
{'短评内容': '干净整洁 服务好', '短评打分': 3}
{'短评内容': '这次定的是标间二张床，空间很大，卫生间和浴室是分开的感觉很好', '短评打分': 5}
{'短评内容': '房间干净卫生，交通也算方便，周边环境也算可以，总之快捷酒店的模式，这次是出差来办事，离办事地点很近，下次来还会选择这里。', '短评打分': 5}
{'短评内容': '入住后感觉很舒服，空间也合适，尤其是卫生间很宽敞还有落地窗感觉好极了', '短评打分': 5}
{'短评内容': '感觉还算不错，空间大小也合适，卫生间也很大比7天和如家要好', '短评打分': 5}
