{'短评内容': '老旧，需要要翻新了', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '酒店太旧了，不怎么好', '短评打分': 4}
{'短评内容': '很好，设备更新，干净宽敞卫生', '短评打分': 5}
{'短评内容': '还可以  比想象中的好 房间性价比还是挺高的 ', '短评打分': 5}
{'短评内容': '这个大酒店标的三星标准，还不如一些便捷酒店。', '短评打分': 2}
{'短评内容': '酒店的位置挺不错，位于县城中心，去海边等旅游景点都比较近，酒店停车也比较方便。不过酒店的设施有点陈旧！', '短评打分': 5}
{'短评内容': '不是太好 ', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老酒店了，应该从新装修一下', '短评打分': 4}
{'短评内容': '老酒店，老酒店，卫生很差', '短评打分': 3}
{'短评内容': '不太好', '短评打分': 3}
{'短评内容': '房间大，在市中心，出差办事方便', '短评打分': 5}
{'短评内容': '设备陈旧，用陈旧房间搞特价那是骗人。', '短评打分': 3}
