{'短评内容': '那是我吃过的最差的早餐。无法言表。', '短评打分': 2}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '有停车场，下高速左转就是酒店。长假价格有点虚高，比平时138高了160。早餐简单。周边卖苹果的很多，2～5元/斤。', '短评打分': 4}
{'短评内容': '房间内毯子特别脏，像没有扫过一样，房门都被蛀空了，浴室里的洗漱台都没有擦干净，还留有别人的头发，吹风机会突然抽风一下，太可怕，关键是携程订的，那边前台还是翻看本子查看说没有该订单，让能否看看有该订单号，看都不看说这边不能查看的，现场定，房价比携程的还高出100,无语，后来这个差价还是携程报销。总之，很差的酒店，还不如快捷酒店干净', '短评打分': 1}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境好，服务好，周边交通便利，，，，，，周边属于闹市区，小吃特别多，值得推荐，，，，，，以后会经常入住。', '短评打分': 4}
{'短评内容': '环境一般，房间整洁，服务良好，停车场宽裕重中之重再想想想想想想想想想想想吃吃吃vv 八佰伴八佰伴八佰伴', '短评打分': 4}
{'短评内容': '酒店比较老', '短评打分': 4}
{'短评内容': '酒店高大上，边上就是高速口，所以有点嘈杂。另外就是没有公交到县中心，只能打车，有时候还不一定能打到出租车。', '短评打分': 5}
{'短评内容': '酒店卫生还不错，就是周边环境比较冷清，早餐不怎么样', '短评打分': 4}
{'短评内容': '房间很冷，没有热空调。前台接待员很热情。', '短评打分': 3}
{'短评内容': '经济界斤斤计较斤斤计较斤斤计较斤斤计较', '短评打分': 5}
{'短评内容': '无法用语言表达，超差，就这个还两百多，100元都不住，没暖气窗户漏风，像个招待所……', '短评打分': 2}
{'短评内容': '房间不错', '短评打分': 5}
