{'短评内容': '就是空调制热不是太给力', '短评打分': 5}
{'短评内容': '酒店早餐还可以的，传统中式早餐，酒店就在3号线出站口旁边，交通十分便利！', '短评打分': 4}
{'短评内容': '交通便利！房间还可以！', '短评打分': 5}
{'短评内容': '房间可以，有窗户但必须要关着要不然隔壁都能听见说话', '短评打分': 4}
{'短评内容': '出门早没吃早餐，订的特价无窗的大床房，房间很小有点闷，卫生间也小但还可以，房间内设施比较简陋放一张1.5米的床都基本满了，国庆期间两百过点算实惠的吧，但很一般哦！在地铁三号线B出口旁边，交通应该方便', '短评打分': 3}
{'短评内容': '隔音很差，电梯有异味，空调对着床吹', '短评打分': 2}
{'短评内容': '很一般，跟介绍不匹配', '短评打分': 3}
{'短评内容': '一般吧，wifi信号弱，隔音不是很好，空调漏水，连个工作台都没有', '短评打分': 3}
{'短评内容': '位置不错，出了地铁口就是', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '交通不错，卫生还有待提高，总体还不错的，希望多多改进', '短评打分': 4}
{'短评内容': '以前住过，现在比以前差远了，前台接待还不错。', '短评打分': 4}
{'短评内容': '很不错，比起周围的酒店好多了，以后还住在这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有个小窗户', '短评打分': 5}
{'短评内容': '可以选择', '短评打分': 5}
{'短评内容': '卫生间浴室积水成渊，整体不错，安静，被套有些陈旧，不过干净，周围最好的啦', '短评打分': 4}
{'短评内容': '感觉还行，就是位置不好找', '短评打分': 3}
{'短评内容': '一点都不好，比如家都比不上，不隔音，早上5点过。走廊就开始吵，隔壁说话声音都能听的清清楚楚。窗户对着窗户，只隔了一个栏杆，最不那满意的酒店！', '短评打分': 4}
