{'descr': '差劲', 'star': 1}
{'descr': '交通方便，这个价位性价比不错。', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '就是没牙膏牙刷', 'star': 5}
{'descr': '就是没有牙膏牙刷不方便', 'star': 5}
{'descr': '已经两次入住，挺好', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '整体还不错 商务便捷', 'star': 4}
{'descr': '挺好，性价比高，一直住', 'star': 4}
{'descr': '挺好，一直住', 'star': 4}
{'descr': '不错 地理位置好', 'star': 4}
{'descr': '还不错的', 'star': 5}
{'descr': '没想到性价比那么高，房间很干净，一应俱全', 'star': 5}
{'descr': '酒店大堂很明亮，房间干净整洁，感觉非常好，推荐入住', 'star': 5}
{'descr': '服务很好！老板善良，人性化！以后有机会还愿意住！', 'star': 5}
{'descr': '服务很好！老板善良，人性化！以后有机会还愿意住！', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '还可以，便宜实惠，位置稍微偏', 'star': 4}
{'descr': '出差住住还行吧～～～～～', 'star': 4}
{'descr': '还行出差住住～～～', 'star': 4}
{'descr': '总体环境还不错，离地铁比较远，周围吃饭不是很方便', 'star': 5}
{'descr': '价格便宜，但环境不是特别好————————————————', 'star': 5}
{'descr': '很好 出行方便 周围环境也很好，酒店内也干净整洁', 'star': 5}
{'descr': '地理位置很好，吃饭购物方便。唯一有一点，就是晾衣服没有雨蓬，下雨的时候，服务员在客人不在的时候，应该帮收进来的。', 'star': 5}
{'descr': '很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里', 'star': 5}
{'descr': '在上海比较繁华的地方，交通还算方便，小，价格便宜，环境不错。下次还可能入住。', 'star': 5}
{'descr': '，一个人的话住的还可以。', 'star': 3}
{'descr': '环境不错，位置有点偏！   洗漱用品花钱是特色吗？', 'star': 5}
{'descr': '住的匆匆 感觉还好 靠近马路那边晚上可能有点小噪音', 'star': 5}
{'descr': '房间不错，就是洗漱用具深度么，都要自己买。。。', 'star': 5}
{'descr': '房间虽然小了点，但是服务态度特别好。房子也挺干净的，地段也相当不错的。', 'star': 3}
{'descr': '虽然酒店比较小，但是环境还行，而且无线覆盖，很适合经济型的人住.', 'star': 5}
{'descr': '什么样的价格，什么样的服务一点都没错。', 'star': 3}
{'descr': 'just so so , hard to find , good service', 'star': 1}
{'descr': 'just so so, hard to find, good service', 'star': 5}
{'descr': '在南浦大桥下，离如家汉庭都很近，环境不错，可惜周围找不着什么好吃的，房间小，布置挺温馨，但是感觉床铺不是很干净，灰灰的，总体性价比不错~', 'star': 5}
{'descr': '还不错哟，感觉很干净的，不提供一次性洗漱用具大概是处于环保吧，哈哈 ', 'star': 5}
{'descr': '整体环境还是不错.卫生也挺好价格合理.不过电视信号这块没搞好,电视台较少', 'star': 3}
{'descr': '卫生质量一般 ，没有同等价位其他酒店卫生好。', 'star': 1}
{'descr': '除了房间小了点，环境还可以，没有洗漱用品还是很不方便的', 'star': 5}
{'descr': '酒店服务真是不错 下次去还住', 'star': 3}
{'descr': '很干净的旅店，服务很快捷，预先预约后立刻有短信联系，和你确认时间', 'star': 5}
{'descr': '房间很小，床单与枕头都是黑的，被告知是黑人住多了的原故。毛巾是坏的，有热水壳但喝水的杯子都没有，牙膏之类的东西也没有，非常不方便', 'star': 5}
