{'短评内容': '酒店是重新装修过，刚开业不长时间，前台服务很热情，房间很干净，总体感觉很好，下次还会再住这。值得一提的是离星海广场特别近，走过去也就十多分钟，环境不错。', '短评打分': 5}
{'短评内容': '酒店硬件设施差,服务态度恶劣.我们从酒店预订了老虎滩海洋公园的门票,说好了有车到酒店门口接我们,每人150元(光门票是每人130元),后来又让我们自己打车去,说是给我们报销,我们3个人认为每人多交20元就是为了有车接送,比较方便,如果让我们自己去,打车用不了60元,就要求她光给我们门票,结果她马上就改变态度了,十分恶劣,连票也不卖给我们了.', '短评打分': 1}
{'短评内容': '环境不好，哎，是在是没有办法形容，我以后再也不会去了', '短评打分': 1}
{'短评内容': '地毯脏乎乎的，墙体开裂。被子都不洗。不会再去了。', '短评打分': 1}
{'短评内容': '酒店房间有点小！卫生间也小！也许是特价房！', '短评打分': 3}
{'短评内容': '地理位置比较好，早餐不好，服务态度一般，酒店设施还算完善，总而言之性价比还可以吧', '短评打分': 5}
{'短评内容': '很差，我定了2间房，同样的价格，结果是一间好，一间差，差得还不是一个级别。我强烈反对入住这个酒店。', '短评打分': 1}
{'短评内容': '位置有点偏，交通不是很方便，不过离星海广场进。\n酒店还算干净，至少没有蟑螂什么的。\n前台接待态度不太热情。\n总体还算不错', '短评打分': 5}
{'短评内容': '卫生差，条件差，位置差，连网线都没有。。。。再也不会去了', '短评打分': 1}
{'短评内容': '好烂啊，卫生间和浴巾感觉不干净，墙都裂缝了。', '短评打分': 1}
{'短评内容': '其实还好~就是隔音效果差，而且副楼环境稍微有些简陋~', '短评打分': 5}
{'短评内容': '地理位置不错，可步行至星海广场游玩；周围环境幽静，但是交通不是很便利，门前只有一辆公交车，住宿环境一般，无窗，房间比较小，无24小时热水，每个房间有独立的热水器需要现烧，喜欢长时间洗澡的人热水肯定不够用。不过140元含双早还是很便宜的。', '短评打分': 5}
{'短评内容': '酒店条件太差，电视是卫星的，只有五六个台。热水器没有热水，值班服务员也找不到人', '短评打分': 3}
{'短评内容': '住的房间有点味，不过还不错', '短评打分': 3}
{'短评内容': '距离星海广场近，设施齐全，经济便捷', '短评打分': 3}
{'短评内容': '酒店不是很大，但服务不错。', '短评打分': 3}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '价格还好，环境一般，还可以吧。在星海广场附近来说比较便宜', '短评打分': 5}
{'短评内容': '感觉还可以.不错..', '短评打分': 3}
{'短评内容': '酒店设施旧  电视都不好用   不过采光很好  交通方便', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店位置很好 交通很方便  就是设施太陈旧了\n', '短评打分': 5}
