{'短评内容': '酒店不错，出行方便', '短评打分': 5}
{'短评内容': '挺好的地方，出行方便', '短评打分': 5}
{'短评内容': '房间卫生还不错', '短评打分': 4}
{'短评内容': '房间里温度有点低，还好配电暖气了。不知道是不是暖气片发出的声音，卫生间台盆下一直有水流声，影响休息。停车很方便。', '短评打分': 4}
{'短评内容': '说是在市中心，可怎么跟郊区一样。', '短评打分': 3}
{'短评内容': '酒店不错，第一次在京东订酒店。', '短评打分': 5}
{'短评内容': '地理位置好，早餐好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间不错，服务好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '前台服务真不可恭维', '短评打分': 4}
{'短评内容': '房间比较大，设施还可以，就是有些地方有点时间长了，需要维修维护一下！', '短评打分': 3}
{'短评内容': '还算不错！能洗澡可上网。', '短评打分': 5}
{'短评内容': '价格是便宜了，可是没有电梯，房间感觉就是招待所级，一分钱一分货吧', '短评打分': 3}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '房间在悦宾楼，比较宽敞，卫生也不错！外面交通方便！', '短评打分': 4}
{'短评内容': '酒店网络很差！房间比较吵！', '短评打分': 3}
{'短评内容': '设施差', '短评打分': 3}
{'短评内容': '酒店设施很新，交通位置很方便，早餐也很丰盛，不错、不错', '短评打分': 5}
{'短评内容': '金昌最好的酒店，没话说。各种设施都不错。就是附近没什么吃饭的地。', '短评打分': 5}
{'短评内容': '金昌市就没有几个酒店啦,这一家算最好的了吧,在大西北不能要求太高', '短评打分': 5}
{'短评内容': '，在戈壁滩上，这样的酒店环境不错，就是退房时间太早，这一点不象四星级的酒店', '短评打分': 3}
{'短评内容': '酒店环境很好，服务员态度也不错，下次继续。', '短评打分': 5}
{'短评内容': '在金昌算是最好的酒店了，还可以，下次还会住这儿。', '短评打分': 5}
{'短评内容': '已经是金昌市最好的了，虽然实际上比4星级还有很大差距…… 服务比以前好一些，早餐还是一般，可能由于客人少的原因', '短评打分': 5}
{'短评内容': '酒店不错，就是房间旧点，服务人员很热情，下次继续入住', '短评打分': 5}
{'短评内容': '没有办法，过来出差，这已经是这个城市最好的酒店，对这里的服务没有太多期待，还可以吧', '短评打分': 5}
{'短评内容': '金昌市最好的酒店了，没有其他可以选啦，将就着住吧，服务和设施需要大大改善', '短评打分': 5}
{'短评内容': '房间很大，为该城市最好的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '金昌目前最好的酒店  确实不错  客房还要无线网络   很难得的 ', '短评打分': 5}
{'短评内容': '主体楼比较不错，但基本上全是398以上的房间，悦宾楼的房间感觉象3星级的，没有配备网线，得打电话要，水龙头的水要放很久才有合适的温度，早餐挺不错，38元/位，发票名称是金昌时代酒店', '短评打分': 5}
{'短评内容': '在金昌当地来说是不错的酒店了，贵宾楼那边服务很好，悦宾楼稍差点！单人间也很便宜', '短评打分': 5}
{'短评内容': '酒店好像刚刚装修，看着挺新挺干净，服务挺好，位置挺好，如果能提供早餐就更好了。', '短评打分': 5}
{'短评内容': '挺不错，环境挺好，设施挺齐全，还能提供早餐，下次还会光顾的。', '短评打分': 5}
{'短评内容': '前台比较混乱，吃饭签单的事情真是折腾人，弄得人没有心情！', '短评打分': 1}
{'短评内容': '酒店蛮好的，干净卫生，设施完善，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员很客气，房间非常干净，床很舒适，基本设施都有，这次住的挺舒适。', '短评打分': 5}
{'短评内容': '服务态度还好，服务意识一般，房间挺宽敞，卫生很好，采光也很好，住的还算舒适。', '短评打分': 3}
{'短评内容': '周边环境挺好，娱乐购物交通挺便利的。内部硬件设施挺齐全的。', '短评打分': 5}
{'短评内容': '酒店位置挺好，周边交通购物挺方便的，房间舒适度不错，设施也挺好，这次住的挺满意。', '短评打分': 5}
{'短评内容': '卫生做得很好，楼道房间都打扫的都挺干净，设施也不错，有宽带能上网，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '在金昌也算是比较好的酒店了，酒店大楼在夜晚很远就能看见，很招眼，酒店大堂富丽堂皇的，感觉不错。当晚我入住的是悦宾楼，就是旧楼，新楼是四星级标准，价格有些偏高，旧楼是三星标准的，房间挺大，各项设施都还可以，卫生还算可以，唯一遗憾的是旧楼内不能上网，没装网线。', '短评打分': 5}
{'短评内容': '客房服务挺好，每天都及时打扫，这点值得赞一下，设施和洗漱用品也挺齐全，用着也挺方便的。', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行挺方便，门口有停车场，停车也挺便利的。', '短评打分': 3}
