{'短评内容': '空气很新鲜', '短评打分': 5}
{'短评内容': '有停车位，但不是免费的', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '不错，出差开会比较适合', '短评打分': 5}
{'短评内容': '住的还较舒服', '短评打分': 5}
{'短评内容': '服务好干净', '短评打分': 5}
{'短评内容': '紧挨着上海植物园，有时间早上去植物园溜达一下很棒', '短评打分': 4}
{'短评内容': '2000年住过，记得当时是中奖了易趣网的一个有奖注册上海双飞三日游、这次居然碰巧又住到这里，一下子想起来了，旁边就是上海植物园，环境没得说。', '短评打分': 4}
{'短评内容': '很不错的体验，喜欢周边环境和酒店环境，早餐也不错。', '短评打分': 5}
{'短评内容': '周边环境好，酒店环境好，出行方便。', '短评打分': 5}
{'短评内容': '有特色', '短评打分': 5}
{'短评内容': '有特色，有天鹅', '短评打分': 5}
{'短评内容': '如果不是在周边办事，并不太适合住。房间设施陈旧，价格相对高，整体性价比低。', '短评打分': 3}
{'短评内容': '还可以，因为考试的缘故，住了过去。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店整体环境还算不错 园林式的设计 房间也算干净 ', '短评打分': 5}
{'短评内容': '酒店周围的植物园不错，酒店也挺干净，就是无烟楼层有点烟味。', '短评打分': 5}
{'短评内容': '环境可以，比较安静，但是停车还要收费，而且还很贵，有点接受不了。另外酒店出来是单行道，前两次不知道都逆行了。', '短评打分': 5}
{'短评内容': '环境优雅，近植物园，空气清新，房间不靖，干净雅致，早餐也比较丰盛', '短评打分': 3}
{'短评内容': '周边环境到挺优美，但酒店游泳池没有水，健身房有几个生锈的哑铃充当健身器材', '短评打分': 1}
{'短评内容': '环境优雅，房间装饰还不错，就是房间太小了点。值！', '短评打分': 5}
{'短评内容': '一如既往的好，距离南站近，周边环境好，非常不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '距离南站近，位置不错，环境好，星级服务，以后还会入住', '短评打分': 5}
{'短评内容': '一如既往的好酒店，距离南站近，性价比高，服务规范，老外客户挺喜欢。', '短评打分': 5}
{'短评内容': ' 2位客人已入住', '短评打分': 3}
{'短评内容': '房间、周围环境等都不错，但是卫生间不行，喷头水流不能调节，永远是很急，下水道还堵着。也就是因为这个价格，所以认了！', '短评打分': 1}
{'短评内容': '位于植物园，环境非常优雅，房间装修好，床上用品很舒适，营造非常好的睡觉氛围。', '短评打分': 3}
{'短评内容': '总体来说还可以， 就是打车很难。早饭也比较丰富。 酒店房间通风不够好， 气味较大。服务人员比较热情，餐厅的中餐也比较可口。 离地铁站必须要打车。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间面积挺大的，打扫也挺干净，酒店绿化也挺好，空气也很清新。', '短评打分': 5}
{'短评内容': '前台服务人员办事效率挺高，房间打扫的挺干净，装修的也挺现代化，住的挺舒适。', '短评打分': 5}
{'短评内容': '我觉得在世博期间，这家酒店算不错的了，出行挺方便的，房间大小正好，收拾的也挺干净整洁的。', '短评打分': 5}
{'短评内容': '酒店大堂装修的挺古典的，收拾的也挺干净，服务人员态度很热情，位置也很好，出行也很方便。', '短评打分': 5}
{'短评内容': '酒店还不错房间还是蛮干净的，位置还是挺好找的，价格的话是有些高，前台还不错。', '短评打分': 3}
{'短评内容': '酒店环境挺好，挺干净的，服务人员态度也挺热情，位置也不错，出行挺方便的。', '短评打分': 5}
{'短评内容': '我们住在一楼，开窗就可以感受院子里的花香，房间也收拾的整洁舒适，很漂亮。', '短评打分': 5}
{'短评内容': '酒店看起来很豪华，早餐样式多，服务的时候也比较周到细致。', '短评打分': 5}
{'短评内容': '离上海植物园很近，但是总体来说位置还是有点偏，不过相当喜欢酒店的花园，种了许多花，非常温馨舒适。', '短评打分': 5}
{'短评内容': '我们住的是行政套房，阳台外面就是院子，视野很开阔，非常喜欢。', '短评打分': 5}
{'短评内容': '要了个三室一厅的房间，卫生间很大，和客房之间是用玻璃隔的，能拉帘子，很实用，卫生也搞的不错。', '短评打分': 5}
