{'短评内容': '电视机插头却没插上，不知道好坏网，网多上不上', '短评打分': 3}
{'短评内容': '美中不足是空调不给力，热度打不上去', '短评打分': 5}
{'短评内容': '交通方便，环境优雅，设施齐全', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '位置方便，就是无线信号不是很好', '短评打分': 4}
{'短评内容': '非常满意，地点合适！', '短评打分': 5}
{'短评内容': '就标准的情侣酒店.......圆床房。还算干净吧，虽然看上去有点旧。但是这个价格也差不多了。附近还算热闹，吃宵夜的地方也都不远，走走就到了。前台倒是挺热情的。', '短评打分': 4}
{'短评内容': '住住还行～', '短评打分': 3}
{'短评内容': '住了几次 还可以 就是有点小贵', '短评打分': 4}
{'短评内容': '很不错的，环境很好，很舒适', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '地理位置比较偏僻，出行公共交通不方便。地段尚可，吃饭比较方便。房间设施比较一般，不如品牌连锁，服务说得过去…', '短评打分': 4}
{'短评内容': '空间小了点', '短评打分': 4}
{'短评内容': '总体很一般 大同小异', '短评打分': 3}
{'短评内容': '环境一般，周边毛东西比较方便', '短评打分': 4}
