{'descr': '地理位置好，交通便利，离地铁站很近。推荐', 'star': 5}
{'descr': '服务态度还不错，卫生间也够大，房间还行，但是被单不干净，有洞洞。', 'star': 3}
{'descr': '﹢住了7天明天还剩一天。打扫房间的服务员态度非常差。非常的不客气。', 'star': 3}
{'descr': '房间很大，很干净。本来以为198的半地下室房会很憋屈阴暗，没想到有窗户，各种设施也挺不错的，服务员态度很好。', 'star': 3}
{'descr': '房间虽然小了点，但设施算齐全。有无线宽带，但是信号不稳定。在北京200块有这样的房间算不错了，只不过这附近没什么饭店比较不方便。', 'star': 3}
{'descr': '住宿条件可以，地方稍小。服务态度挺好。', 'star': 3}
{'descr': '卫生干净，条件相对安静。交通方便。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，前台很热情', 'star': 3}
{'descr': '床单干净，服务一般，有种爱住不住的感觉，总的来说还可以接受', 'star': 1}
{'descr': '环境还不错，地方小了点，还有墙上有些脏', 'star': 3}
{'descr': '这次预订的格林豪泰苏州观前街店，从硬件到软件，都是我住过的最垃圾最脏的一间格林豪泰房间！', 'star': 3}
{'descr': '入住后感觉挺干净，房间也很大很舒适，配套设施全，服务也很好，周围也安静，总之很满意', 'star': 5}
{'descr': '隔音略差，卫生间是透明玻璃的，感觉不错，周围来说这个价位的还算性价比不错的', 'star': 3}
{'descr': '房间空间很大，位置便利，价格公道，比较干净！', 'star': 5}
{'descr': '旅居快捷西便门店经济实惠，就是找到它太费劲', 'star': 3}
{'descr': '地方很不错，干净暖和。服务也很不错。离地铁二号线也不远。', 'star': 3}
{'descr': ' 不错，离商业街很近，卫生好，服务也不错', 'star': 3}
{'descr': '不会，，，地理位置比较好，周边比较繁华，还是推荐的', 'star': 5}
{'descr': '交通方便，房间环境好，温馨舒适，楼下有家很美味的烧烤摊', 'star': 5}
{'descr': '房间太小，太旧。。。。与以往住的格林很不一样', 'star': 1}
{'descr': '离着一个学校很近，可能赶上的这个时间不好，快考试了，很多学生住在酒店里，联系声乐，有的练到到凌晨，根本没法好好休息。', 'star': 1}
{'descr': '不错！！环境优雅！设施完善！！服务周到！', 'star': 5}
{'descr': '不错~很干净，环境很好，交通也很方便~~~', 'star': 5}
{'descr': '在北京，这个价位的酒店，也就那样啦。哈哈哈哈', 'star': 5}
{'descr': '酒店位置和房间卫生都还不错，唯一的缺陷我觉得是：卫生间为什么要用红色的墙砖来装饰呢，让人感觉很压抑。', 'star': 5}
{'descr': '还好。挺干净。出门时公交比较方便，回来的时的公交没有找到。', 'star': 5}
{'descr': '果断任何理由不喜欢这么小型的酒店 \n里面的房间小到你无法想象', 'star': 1}
{'descr': '实话 真的不怎样  遥控器电池是没电的 叫来人就看的下按了一下就完了 吹风机都快坏 只要是房间和价钱不太值 房间有股霉味。', 'star': 1}
{'descr': '离观前街非常近，拐弯走过小吃一条街就到了。到苏州博物馆、拙政园2站地。十一假期去的，到得有点晚，只剩最后一间了，没有窗户，房间也小。不过晚上很安静', 'star': 5}
{'descr': '太可怕了！\n晚上9点多回到房间，发现门没关好，这家酒店打扫完房间，居然忘了把房间门关好！\n事后酒店给我解释，今天打扫房间的是第一天上班，房间多，疏忽了！\n居然会发生这种事情！\n哪像家酒店！住这种酒店太没安全感！房间的门没有闭门器，所以服务员门没关好，它也不会报警叫的！\n~~~~\n补充，大床房的房间非常小，估计10m2左右，肯定是没有介绍的18m2.\n\n', 'star': 1}
