{'短评内容': '房间有点小！其他没有什么', '短评打分': 4}
{'短评内容': '便宜实惠', '短评打分': 5}
{'短评内容': '价格实惠，旁边学士街都是吃的，到平江路也很近', '短评打分': 5}
{'短评内容': '都是回忆，再也不会去了。', '短评打分': 5}
{'短评内容': '真的差到爆！电水壶盖子是坏的 淋雨的架子也没有 热水还不热  隔音效果也很差 ！', '短评打分': 1}
{'短评内容': '便宜也只能这样l', '短评打分': 3}
{'短评内容': '十一的房孑感觉上当了', '短评打分': 2}
{'短评内容': '偏宜', '短评打分': 3}
{'短评内容': '好太好了好', '短评打分': 5}
{'短评内容': '隔音太差了！', '短评打分': 3}
{'短评内容': '环境尚可，房间略小，老板很负责任。', '短评打分': 4}
{'短评内容': '自己出行,入住还是蛮好的', '短评打分': 5}
{'短评内容': '很好，自己出行入住蛮好的', '短评打分': 5}
{'短评内容': '多岁的', '短评打分': 5}
{'短评内容': '不错  很好  交通超级方便  到石路很近很近', '短评打分': 5}
