{'短评内容': '位置不错，早餐一般，有点噪音', '短评打分': 4}
{'短评内容': '啦咯啦咯啦咯进来了', '短评打分': 5}
{'短评内容': '设施过去陈旧，', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '除了Wi-Fi其余都可以！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '经济实惠，环境优雅，服务态度非常好！下次还来', '短评打分': 4}
{'短评内容': '环境不错，挺干净的，房间也大，就是稍微吵点。', '短评打分': 5}
{'短评内容': '服务态度超级好 环境也好 联通便利 强力支持  进屋还送的酸梅汤 赞', '短评打分': 5}
{'短评内容': '最后没去住✔', '短评打分': 5}
{'短评内容': '很好，每次来邢台我都会选择大玺  给人的感受就是高大上还住的特别舒服，服务员服务态度都很好', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '不错，交通及服务都不错！', '短评打分': 5}
{'短评内容': '不错，每次都在这住。', '短评打分': 5}
{'短评内容': '每次去邢台都会选择大玺   很好', '短评打分': 5}
{'短评内容': '该店不错，下次还会住。', '短评打分': 5}
{'短评内容': '习惯好评，总体还不错。每次去邢台都入住大玺。', '短评打分': 5}
{'短评内容': '习惯好评。不错', '短评打分': 5}
{'短评内容': '每次去都住大玺。感觉还不错，习惯好评。', '短评打分': 5}
{'短评内容': '服务很深奥运会开幕式开幕式微信转帐很好看啊医生说明话费查询话费查询话费查询话费查询话费查询话费查询话费查询', '短评打分': 5}
{'短评内容': '不错的酒店，下次会再去，干净卫生整洁，客服人员态度都很好，交通便利，出差很适合，下次再来会继续选择的。', '短评打分': 5}
{'短评内容': '挺好的。就在火车站对面，很便捷，房间窗户就是太小了，采光不好', '短评打分': 5}
{'短评内容': '很不错，还会光顾', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错住618', '短评打分': 4}
{'短评内容': '服务好，环境好', '短评打分': 3}
{'短评内容': '条件一般，基本就是个洗浴中心，气氛古怪，乱哄哄的，介意的还是慎重考虑', '短评打分': 3}
{'短评内容': '酒店在火车站正对面，出行方便。酒店设施很好，二层洗浴小贵，早餐很好吃。', '短评打分': 5}
