{'短评内容': '图片是美颜过的，实际上相对老旧', '短评打分': 3}
{'短评内容': '价格实惠，环境一般', '短评打分': 3}
{'短评内容': '首先来说，这家旅店经常在携程挂出特价房，九十多元就能住到，里面设施齐全，感觉网上订更划算。这家旅店的地理位置有些偏，吃饭不太方便，不过周围环境还算平静，下次来杭还会订这家  莫泰168', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店没有早餐，设施老旧', '短评打分': 3}
{'短评内容': '酒店不错，很实惠，还有免费早餐，也很好找。', '短评打分': 5}
{'短评内容': '前台服务态度很差，和男朋友一起去的（和男朋友相差10岁）前台的服务员很恶劣，太伤人了，这是一种素质问题。而且房间卫生很脏，服务员打电话给做卫生的阿姨，房间弄好了吗，完了之后给我们开房间，到房间一看，地毯上还有小垃圾，用过的纸巾，简直太恶心了好吗。床头没有充电插座，空调不管怎么调都是对着头吹的，吹了2小时直接头疼了，。窗帘也是破的，后悔没拍下来。旁边没有卖吃的，附近公交站停了，走了好久到大润发，总之', '短评打分': 1}
{'短评内容': '酒店设施太陈旧了，到处都是蚊虫', '短评打分': 2}
{'短评内容': '位置太偏了，交通不方便！', '短评打分': 3}
{'短评内容': '酒店整体环境挺不错的，价格比较合理，值得推荐。', '短评打分': 4}
{'短评内容': '还不错有早餐，经常出差，停车也方便', '短评打分': 5}
{'短评内容': '不错，性价比高！还有早餐，也安静，服务态度也可以！', '短评打分': 4}
{'短评内容': '不错，价格实惠，交通方便，还有早餐！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '价格便宜，卫生差点，性价比高。', '短评打分': 4}
{'短评内容': '性价比高，房间宽敞，交通不错。', '短评打分': 4}
{'短评内容': '只能给三星了，感觉和以前住的莫泰不一样，掉了一个档次，和印象中的区别有点大', '短评打分': 3}
{'短评内容': '卫生还不错就是周边吃饭不方便性价比一般!', '短评打分': 5}
{'短评内容': '房间挺干净的，就是周边吃饭的地方比较少，早饭欠丰盛', '短评打分': 5}
{'短评内容': '挺好的，就是周边吃饭的地方稍微少一点，早饭不是很丰盛', '短评打分': 5}
{'短评内容': '这个酒店还是蛮方便的！里面设施也不错！就是小广告多了点', '短评打分': 5}
{'短评内容': '还行，有送餐服务，附近交通也比较方便，能停车', '短评打分': 5}
{'短评内容': '酒店位置以及卫生条件还是很不错的，但是浴室跟房间的话就隔着一玻璃，对有的人来说可能不合适，显得很露骨的感觉，整体还行，早餐很差。。。', '短评打分': 5}
{'短评内容': '酒店位置确实蛮好，距离杭州南站很近，但是住宿的时候出现了一些小插曲，还好得到及时的解决。。。', '短评打分': 5}
{'短评内容': '酒店不错，就是位置靠近火车南站，离杭州的景点距离比较远，住宿环境很棒，很喜欢...', '短评打分': 5}
{'短评内容': '装修不错。服务还可以。', '短评打分': 3}
{'短评内容': '感觉空调不给力。有点凉。房间空间比较大，这是优点。', '短评打分': 1}
{'短评内容': '住宿不方便  位置周边没什么逛的   离火车站还有好远呢', '短评打分': 1}
{'短评内容': '酒店环境不错，很新，交通便利，浴室环境很OK', '短评打分': 5}
{'短评内容': '酒店交通便利，离火车站很近，房间很新，很干净，设施齐全，下次继续入住', '短评打分': 5}
{'短评内容': '酒店环境很OK,感觉装修风格很好，交通便利，下次继续入住。', '短评打分': 5}
{'短评内容': '酒店基本设施都可以就是位置偏僻了点晚上附近没有便利商店也没有足浴店', '短评打分': 3}
{'短评内容': '离萧山火车站很近的，不过打的过来就起步价6元而已，却被黑成35元。房间环境一般，地方挺偏的，走廊装修就能看得出来。', '短评打分': 5}
{'短评内容': '不错哦，房间蛮大蛮干净的！！离南站很近。', '短评打分': 3}
{'短评内容': '非常不错，房间挺宽敞，空调效果也不错，环境也挺安静', '短评打分': 5}
{'短评内容': '交通方便，离南站相当近，房型还挺丰富的。隔音也还可以', '短评打分': 5}
{'短评内容': '挺好的，床挺舒服的', '短评打分': 3}
{'短评内容': '很干净 就是隔音不太好 隔壁的水龙头声音很大', '短评打分': 5}
{'短评内容': '房间很干净，服务也很好，下次再来还打算住这里。', '短评打分': 5}
{'短评内容': '房间比较大也很干净，只是外面楼道半夜还有在猛敲比较吵。', '短评打分': 5}
{'短评内容': '环境不错，服务态度还可以。', '短评打分': 3}
{'短评内容': '房间偏小，不过还算干净，服务态度也很好！', '短评打分': 5}
{'短评内容': '房间太小，感觉有点简陋！与148元每晚价格相比还是有点差距，其实墙面弄点纸与涂料，感觉会好！', '短评打分': 1}
{'短评内容': '地理位置比较好，周围餐饮比较方便、实惠。酒店环境还可以，比较干净。', '短评打分': 5}
{'短评内容': '交通方便，价格低廉，服务态度很好。早餐很一般，10元的价位偏高，不如在外面自己吃了。停车位不足，进出不方便，不适合开车自驾人士，出事故的机会偏高。', '短评打分': 5}
{'短评内容': '离南站远了一点，环境很好，房间面积适中，只不过隔音效果差了一点，路上来来往往的车影响午睡，好在晚上路上没多少车经过，电视的质量不太好吧，杂音太大了，网速还可以。总体感觉不错', '短评打分': 5}
{'短评内容': '酒店挺不错的，房间比较大，卫生干净，服务也很好，离火车站也近，还在KFC的送餐范围内，总之还是挺方便的。', '短评打分': 5}
{'短评内容': '不错。环境不差。只是周围比较不容易打的。我为了赶早上的飞机，所以就住到了杭州南站，所以就选择了 这家宾馆。', '短评打分': 5}
{'短评内容': '不错，但房间还是有点味道，等过一段时间应该会好的，缺点是附近吃饭的地方少。', '短评打分': 5}
