{'短评内容': '酒店环境设施很好，窗外就是大山！帮忙升级了最好的房间！', '短评打分': 5}
{'短评内容': '酒店位置方便，设施齐全。有停车场，ma', '短评打分': 5}
{'短评内容': '我觉的非常棒呀', '短评打分': 5}
{'短评内容': '早餐有鸡蛋豆浆油条 小包子 杂粮包红薯 稀饭品种挺多的 泡菜挺好吃的 房间漂亮高档 热水很好 房间生活用品齐全 干净床很舒服 给个赞 好评', '短评打分': 5}
{'短评内容': '服务态度很好呢，环境又安静，不错哦', '短评打分': 5}
{'短评内容': '还算可以吧，对于旅游景点附件的酒店，已经算是不错了。蛮干净的。', '短评打分': 4}
{'短评内容': '一開始說找不到我的訂單，后來找到了，說給我們免費升級。房間好大，環境設施都很好，酒店大廳有個旅行社站點，可以租電動車，高鐵拼車，很方便', '短评打分': 5}
{'短评内容': '酒店位置相当方便，火车到阳朔站下车，因为阳朔站的位置离市区还有30多公里，要再坐大巴车到阳朔市里，天伦酒店就在大巴车的终点。下车就住到了酒店，真的很省力气。楼下还有卖水果的，吃饱饱的第二天直接游玩了。卫生我觉着算是不错了，至少每天都会给你打扫房间，旅游区人流量大，不能要求太高。设施半新半旧。跟星级酒店没法比，价钱在这摆着呢。', '短评打分': 4}
{'短评内容': '双十一住的，位置很方便，酒店很简单，平时应该很便宜的，觉得双十一涨价涨太多了，平时应该￥100左右吧！双十一竟然要五百多，觉得很不划算', '短评打分': 3}
{'短评内容': '楼下就有烧烤，旁边还有米粉店，味道不错。酒店设施算比较完善，房间面积也不小，整体档次比快捷酒店高多了，但价格比快捷便宜不少，性价比高。', '短评打分': 4}
{'短评内容': '周围环境一般，楼下有大巴停车场，早上7点多司机按喇叭吵醒了，不爽。房间面积够大，床铺很白很干净，参考这样的价格位置和设施，酒店值得推荐入住。', '短评打分': 4}
{'短评内容': '還可以，基本上滿意。', '短评打分': 4}
{'短评内容': '服务态度好，先带去看过房间才入住。房间干净，装修不错，价格实惠。', '短评打分': 5}
{'短评内容': '酒店与酒店介绍基本相符，对此我很喜欢', '短评打分': 4}
{'短评内容': '一般吧，房间干净，服务态度好，其他的，可能会让您失望了！', '短评打分': 4}
{'短评内容': '挺大，挺舒适就是离西街有点距离，不过走走也很舒服', '短评打分': 5}
