{'短评内容': '购物，餐饮很方便，经常住这里。', '短评打分': 4}
{'短评内容': '很好～～～～～', '短评打分': 5}
{'短评内容': '房间其实还好，就是凳子坏了。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店地理位置很好，属于宁大商圈，周围有商场超市，吃饭的地方也多，晚上还有夜市，很热闹，酒店房间设施齐全，有机会来银川还会再入住的，推荐大家入住。', '短评打分': 5}
{'短评内容': '环境很好，也很干净。有点家的感觉。', '短评打分': 5}
{'短评内容': '环境还可以，交通便利，服务态度特别好，住的房间管子有问题，很快就来修理了，不过不知道是不是下水不好的问题，卫生间的异味比较重，换气扇开着也不起作用！房间设施齐全，洗漱用品，一次性拖鞋都有，订的标间里两张床，一张一米二，一张一米五，挺大的，完全可以住三个人，早餐也挺好，不过我们只吃了一个早晨的！总之整体很满意，下次还会住的～', '短评打分': 3}
{'短评内容': '酒店环境还不错', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '凑活', '短评打分': 5}
{'短评内容': '总体还行，就是网速不咋样', '短评打分': 3}
{'短评内容': '环境还不错，价格也很好，酒店上网速度也快，更重要的是这里的服务员相当热情啊！反正觉得鹏博很不错！', '短评打分': 3}
{'短评内容': '楼道内味有点大。附近也没有什么好的酒店。', '短评打分': 5}
{'短评内容': '缺点：\n1.不能刷卡；\n2.问服务员酒店附件的路不清楚；\n3.房间有一股子发霉的气味；', '短评打分': 1}
{'短评内容': '非常好啊~~干净整洁又很经济划算\n还备有针线包、浴帽等贴心的小用品~~\n地理位置也很好，晚上可以到旁边吃小吃哈~~\n还有就是\n早餐非常美味哦！！\n不好意思，这么晚才想起来评价', '短评打分': 5}
{'短评内容': ' 设施不错服务不错', '短评打分': 3}
{'短评内容': '酒店的电梯是与火锅店以及餐馆合用，上电梯就有一股牛油和牛羊肉的味道，楼道内味道也很大。所幸房间内没有味道。附近也没有什么好的酒店，房间还算干净卫生。单标内还有电脑，窗外视野也很开阔', '短评打分': 5}
{'短评内容': '因为家人在区医院住院，所以找了半天，也就这最合适了。住了以后，条件还行，还可以上网，周围吃的什么的都还算方便。周围的酒店都没法看。', '短评打分': 5}
{'短评内容': '西夏区不错的地方，离区医院很近，附近有超市、商场，吃的也方便', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通便利，周围有大型超市和商场，购物方便！服务比较周到，而且房间的装饰比较好，网速还可以！就是与酒店下面的火锅店共用电梯，用餐高峰期间不方便。', '短评打分': 5}
{'短评内容': '感觉还行，条件一般。', '短评打分': 3}
