{'短评内容': '不错 服务比较可以 前台很有礼貌', '短评打分': 5}
{'短评内容': '不错 服务比较可以 前台很有礼貌', '短评打分': 5}
{'短评内容': '不错 服务比较可以 前台很有礼貌', '短评打分': 5}
{'短评内容': '房间简洁大方 服务态度良好', '短评打分': 5}
{'短评内容': '很好 床很舒服位置很好找 不过洗手间有点小 挺好找的 听人说楼下的东西好吃。可以太匆忙就没来得及吃', '短评打分': 5}
{'短评内容': '性价比不错，周边交通便利', '短评打分': 5}
{'短评内容': '好吧好吧好了你是在心无所谓', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。？。。。。。。。', '短评打分': 5}
{'短评内容': '挺好，下次还会去', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错 还行', '短评打分': 4}
{'短评内容': '老公和几个股东出差学习住的，说住的还不错', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '不错 可以', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '帮亲戚订了相同价格的两间房，拿到房后才发现一大一小，房间墙纸上有小强，好恐怖，亲戚说整晚都在忐忑不安中度过。', '短评打分': 4}
{'短评内容': 'wifi不稳定', '短评打分': 5}
{'短评内容': '住宿条件一般', '短评打分': 4}
{'短评内容': '很一般，早餐又贵又差，房间隔音效果太差。', '短评打分': 3}
{'短评内容': '感觉还可以', '短评打分': 3}
{'短评内容': '床有点硬', '短评打分': 3}
{'短评内容': '性价比不错，位置也很方便', '短评打分': 5}
{'短评内容': '门口是单行道，开车出入不太方便，其他都还不错', '短评打分': 5}
{'短评内容': '环境不错，比较卫生，而且交通很方便，不远就有商场和超市', '短评打分': 5}
{'短评内容': '房型合适 价格合理。住的很舒服。明年再来住。', '短评打分': 5}
{'短评内容': '下了十几个订单 点评写到手发酸。酒店还不错，商务旅行很适合。', '短评打分': 5}
{'短评内容': '定了14个房间  住的还不错。晚上在西餐厅吃的很热闹。西餐厅价格比较高。', '短评打分': 5}
{'短评内容': '每个都要点评好麻烦\n酒店不错的。可以推荐入住。\n', '短评打分': 5}
{'短评内容': '按摩椅要收费 容易产生误解。\n而且不是每个房间都有。没用上～', '短评打分': 5}
{'短评内容': '门前指导停车的大叔人不错\n西餐晚上人很多\n还不错', '短评打分': 5}
{'短评内容': '不错的\n大家都还觉得可以\n以后可以再来住', '短评打分': 5}
{'短评内容': '酒店很不错 帮同事们定的。很满意。以后再来。', '短评打分': 5}
{'短评内容': '房间设施不错\n住的挺舒服的\n防火通道有些东西挡着，不够安全。', '短评打分': 5}
{'短评内容': '前台收银挺专业的。\n做帐做的很利索。\n停车位有些少。', '短评打分': 5}
{'短评内容': '酒店很不错 帮同事们定的。很满意。以后再来。', '短评打分': 5}
{'短评内容': '早餐人好多。\n陈经理人不错。\n大堂有些小。', '短评打分': 5}
{'短评内容': '房间较新  有的有异味。\n不过设施还算不错。', '短评打分': 5}
{'短评内容': '酒店的设施很不错。 大堂等有点小，不过服务业还算不错。\n餐厅比较有格调，消费可以做的比较高。', '短评打分': 5}
{'短评内容': '很好很不错的酒店值得大家去全验一下，百分之百满意', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务热情。早餐丰富，西餐厅味道很好。', '短评打分': 5}
{'短评内容': '餐厅不错，前台服务态度太差，房间有异味，花洒管子破的。除了餐厅，无论是酒店前台还是房间，都不太值这个价咯。前台真的是太烂了！！！！！', '短评打分': 1}
{'短评内容': '未如评价般好，房间隔音好差！性价比不高…', '短评打分': 3}
{'短评内容': '我入住的高级双人房，房间很宽大，很舒适，送的早餐也很丰富，不错~~~~~~~', '短评打分': 5}
{'短评内容': '酒店交通比较方便，设施一般。就是我订的是VOD房，付的是VOD价格，可没有VOD设备，头几天还不知道，后来有朋友在另外订了房才发现。然后跟服务台反应情况，最后2天再帮我们换房，希望酒店及时维护设备，保障客人利益。', '短评打分': 5}
{'短评内容': '住过很多次了，整体环境很好，房间设施齐全，性价比超高。楼下西餐厅氛围很棒。不足的是早餐差了点。', '短评打分': 5}
{'短评内容': '大堂宽敞明亮.环境不错.房间设施保养很好.很干净.房间、被床无异味.床很舒服.酒店内隔音一般.走廊有人说话能听到.但是外面的隔音很好.外面声音基本听不到.工作人员整体服务态度不错.早餐倒是因为睡晚了没去吃.住的是高级大床房.200出头的价格很合适', '短评打分': 5}
{'短评内容': '态度还不错,设备比较新.', '短评打分': 3}
{'短评内容': '远扬城市酒店环境较好，卫生间干净、早餐也较丰富，交通方便。', '短评打分': 5}
{'短评内容': '交通方便，环境一般，就是隔音较差，晚上比较吵，早餐丰富，希望早餐时间可以提早半个钟开始，因出外工作时间比较急迫', '短评打分': 5}
{'短评内容': '酒店环境较好，早餐不错，服务员态度可以，情人节每个房间还有巧克力。', '短评打分': 5}
{'短评内容': '远扬城市酒店环境较好，交通方便，卫生间较干净，还有免费早餐。', '短评打分': 5}
{'短评内容': '性价比很高的酒店。房间清净、寝具舒适卫生；设施新，还有中央空调；停车方便；早餐也值得称道。', '短评打分': 5}
{'短评内容': '在老城区，饮食出行方便，有地下停车场。网线速度很快，长话免费，床很舒适。免费自助早餐过得去。唯一不满的是地毯显得不干净。推荐。', '短评打分': 5}
{'短评内容': '很不错，我很满意，下次还会住，早餐的话再丰富点就好了。', '短评打分': 5}
{'短评内容': '酒店很不错，早餐也好，很安静，下次还会住该酒店。', '短评打分': 5}
{'短评内容': '很不错的酒店哦~装修很不错。早餐也很丰富。唯一不足的是房间隔音效果不太好~这次住的是靠马路的房间，夜晚稍微有点吵。但总体很不错呢~', '短评打分': 5}
{'短评内容': '环境不错，环境不错，环境不错，环境不错，环境不错，', '短评打分': 5}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '安静,也比较整洁,整体来说在湛江这个地方,绝对是上等了', '短评打分': 5}
