{'短评内容': '服务不错到位', '短评打分': 5}
{'短评内容': '出差住这，都挺不错', '短评打分': 5}
{'短评内容': '出差方便，地铁直达', '短评打分': 5}
{'短评内容': '房间不错，东西都是免费', '短评打分': 5}
{'短评内容': '房间不错，东西都是免费', '短评打分': 5}
{'短评内容': '位置好出行方便，服务好，会回住', '短评打分': 5}
{'短评内容': '也就那样吧，距离地铁挺近的，五一广场步行就到了。', '短评打分': 5}
{'短评内容': '非常适合', '短评打分': 5}
{'短评内容': '好烦 v 顾他人的规划看看', '短评打分': 5}
{'短评内容': '房间卫生很好。很干净。不错?', '短评打分': 5}
{'短评内容': '服务人员友好热情，房间设施齐全，一直相信维也纳，好评！！！', '短评打分': 5}
{'短评内容': '质量很满意！物流很快！', '短评打分': 5}
{'短评内容': '质量很满意！物流很快！', '短评打分': 5}
{'短评内容': '第n次在京东上订酒店了，价格非常合适，酒店住的也很舒服，主要是比较方便', '短评打分': 5}
{'短评内容': '嗯，感觉还行，就是空间小了一点', '短评打分': 5}
{'短评内容': '非常好非常棒很好很好很好！', '短评打分': 5}
{'短评内容': '都还可以', '短评打分': 5}
{'短评内容': '总体不错，很干净，在繁华路段晚上也不吵，还免费升房了，服务好。', '短评打分': 5}
{'短评内容': '京东酒店预定系统不行，老是系统出错', '短评打分': 5}
{'短评内容': '交通便利，酒店略旧了点', '短评打分': 3}
{'短评内容': '真的很好呀！', '短评打分': 5}
{'短评内容': '就是好', '短评打分': 5}
{'短评内容': '酒店视野开阔， 环境不错，干净，卫生间较大，洗漱用品质量好，交通非常方便，离地铁站很近，附近还有大型超市。', '短评打分': 5}
{'短评内容': '这个酒店真的不错呀，以后来长沙就住这里。设施齐全，相当方便。', '短评打分': 5}
{'短评内容': '办理入住很快，服务员态度很好，微笑服务，酒店地理位置优越，离地铁站很近，到各种景区很方便', '短评打分': 5}
{'短评内容': '房间好小', '短评打分': 3}
{'短评内容': '好，不错。。。。', '短评打分': 5}
{'短评内容': '非常好的地方', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间太小，其他也一般，而且没有地方停车，不方便。', '短评打分': 4}
{'短评内容': '酒店很大 地段比较好', '短评打分': 5}
{'短评内容': '房间小  但是功能齐全 还不错', '短评打分': 5}
{'短评内容': '有客人来都订这家的', '短评打分': 5}
{'短评内容': '房间不大，卫生间小', '短评打分': 3}
{'短评内容': '2020', '短评打分': 3}
{'短评内容': '位置很好，离五一广场很近。只是房间非常小，但比较干净整洁。', '短评打分': 5}
{'短评内容': '很干净！房间内的灯光让人感觉很温馨！床垫别软哦！下次去长沙还会选择', '短评打分': 5}
{'短评内容': '房间还算干净交通方便有早餐可吃餐厅沙发椅靠背很高很特别', '短评打分': 1}
{'短评内容': '不v我们俩的话的话的话在家的的话的话的话的话的话在家了解', '短评打分': 5}
{'短评内容': '位置很好，市中心，下面就是必胜客家乐福，酒店送餐的菜也很好吃~房间也不错的。特别喜欢床~感觉非常舒服~不错，总体感觉很满意。~如果早餐的品种能够更丰富些就好了~', '短评打分': 5}
{'短评内容': '好，好，好，位置好。旁边就是超市，以后地铁通了，交通更方便：', '短评打分': 5}
{'短评内容': '酒店位于市中心繁华地，出行方便，我下次还住。', '短评打分': 5}
{'短评内容': '不错啊，下次还去。，，。，。，。。。。。', '短评打分': 5}
{'短评内容': '尼玛外面电话居然打不进来尼玛外面电话居然打不进来尼玛外面电话居然打不进来尼玛外面电话居然打不进来', '短评打分': 1}
{'短评内容': '该酒店位于长沙市中心，距旅游景点都非常近，交通非常便捷，性价比高，房间很干净，客房服务员的服务态度也很好。值得推荐。以后还会住。', '短评打分': 5}
{'短评内容': '卫生不错，服务也不错，早餐比较单调，房间太小了，单人房估计只有十一、二个平米，后来换成双人房也还是很小。', '短评打分': 5}
{'短评内容': '还不错，继续推荐朋友。比较干净，就是早餐太简单了。', '短评打分': 5}
{'短评内容': '环静不错，服务也挺好，早餐差了点。总体说性价比挺高', '短评打分': 3}
{'短评内容': '给客户定的，感觉还不错，很高档。价格不高，适合招待中等以上级别', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐马马虎虎，房间卫生不错。', '短评打分': 5}
{'短评内容': '酒店位置比较好，就是到门口的位置比较艰苦。\n设备比较久了，走廊很舒服，房间比较小！哈哈\n还行吧！', '短评打分': 5}
{'短评内容': '第一次入住长沙维也纳酒店，感觉非常好，房间干净温馨，房间虽然不大但布置很精致。早餐品种略显单调。下次来还会入住', '短评打分': 3}
{'短评内容': '这是第二次订此酒店了，房间大小合适，干净。', '短评打分': 5}
{'短评内容': '房间干净，配套齐全，服务不错，感觉还好。', '短评打分': 5}
{'短评内容': '想当的不错，房间大，设施新，地段好，价格还便宜', '短评打分': 5}
{'短评内容': '很喜欢这家酒店，价格实惠，房间干净，买东西出去玩都方便', '短评打分': 5}
{'短评内容': '标准间，比较卫生，房间稍小了点，同事们都说还好。', '短评打分': 5}
