{'短评内容': '比想象中的要好，酒店环境还是不错的！房间还好不算小，布置也不错！出门就有吃的，这一点不错！以后过来还会选择这家', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '不错的酒店，满意', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '早餐非常不错，停车很方便。', '短评打分': 5}
{'短评内容': '很好！！！！！不错', '短评打分': 5}
{'短评内容': '很好！！！！！！！', '短评打分': 5}
{'短评内容': '非常好！！！！', '短评打分': 5}
{'短评内容': '酒店环境好，服务佳，经常出差，第一次住这里，感觉不错，前台及卫生保洁做的服务细致，安排叫醒及时周到。', '短评打分': 5}
{'短评内容': '周边环境就是城中村的感觉。酒店设施优点旧了，灯光也是暗暗的。房间里面还算是干净。不带早餐，1楼有所谓的自主早餐，15元1位，感觉很山寨啦。附近有业务，只是睡觉，还是可以选择的', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '之前都是住福布斯酒店，第一次住这里，性价比还不错', '短评打分': 5}
{'短评内容': '卫生比较差', '短评打分': 4}
{'短评内容': '各方面都不错', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '价格便宜，环境不错！下次再入住', '短评打分': 5}
{'短评内容': '一进入房间就闻到很臭的味道，广东哪的酒店都是14:00前退房的，就这间酒店要12点前退房', '短评打分': 4}
{'短评内容': 'badly Clients are terrible, semi-literate staff, a small non-standard situation puts them into a dead end I do not recommend', '短评打分': 2}
{'短评内容': '方便出差，性价比可以，早餐不行', '短评打分': 5}
