{'短评内容': '条件不错，服务员态度极好，有机会再来。', '短评打分': 5}
{'短评内容': '停车场较小，但位置相当好', '短评打分': 5}
{'短评内容': '酒店唯一的好处就是处于市中心，不然这个价位这样的设施真是不值，停车位也是少的可怜，酒店在5楼，整栋楼几个单位共用那么6、7个停车位，去晚了就没有车位，酒店就补15元，还得自己补钱停在外面，免费停车位等于是白说，为了停车费闹的游玩的心情都不好，下次不会选这家了', '短评打分': 3}
{'短评内容': '去扬州玩，设施还可以 有电视这个价钱很值了', '短评打分': 5}
{'短评内容': '还不错吧，挺干净，挺方便的', '短评打分': 5}
{'短评内容': '优点就是价格实惠，有6件套，较为干净，该有的都有，但是我那个房间没有吹风机；缺点:房间内的等坏了2盏吧，最不好的就是卫生间的地板有水时很滑，需要特别注意', '短评打分': 4}
{'短评内容': '价格实惠，在设施和快捷酒店差不多，在市中心，离周边景点很近，边上有个狮子楼，狮子头上过舌尖上的中国，可以去吃一下', '短评打分': 5}
{'短评内容': '价格很实惠，内部设施和快捷酒店也相差不大，关键在市中心，去周边的富春茶社，史公祠，关东街，个园等等景点很近，非常方便', '短评打分': 5}
{'短评内容': '老牌酒店！在这个区域没有相类似的可选！', '短评打分': 5}
{'短评内容': '酒店地理位置优越，离东关街很近，卫生间干净，淋浴房很大，洗澡很舒服。前台接待服务态度好。总之，性价比高，适合短途游。', '短评打分': 5}
{'短评内容': '挺好。。。', '短评打分': 4}
{'短评内容': '环境挺好的，就是电视台有点少', '短评打分': 5}
{'短评内容': '比上次房间小了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '朋友说不错哈', '短评打分': 5}
{'短评内容': '还是很不错的，但是双人床房间没有窗户', '短评打分': 3}
