{'短评内容': '周边环境很好，屋内设施齐全', '短评打分': 5}
{'短评内容': '非常干净 我很喜欢这个环境', '短评打分': 5}
{'短评内容': '房间非常好，宽敞，干净，周围环境也非常漂亮，在周围疯玩了一整天，好评', '短评打分': 5}
{'短评内容': '地点很好  适合一家带孩子去游玩  下楼就是儿童公园  交通非常方便！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺喜欢的，公寓式，自己说的算，老板娘吧大概，是个爽快人！', '短评打分': 5}
{'短评内容': '有海景 很不错', '短评打分': 5}
{'短评内容': '不是复式房间，但海景不错', '短评打分': 5}
{'短评内容': '酒店的地段特别好，就在星海广场旁，风景很好，酒店设施旧了点，但还是比较齐全的', '短评打分': 5}
{'短评内容': '是家不错的公寓，下次有机会来大连我还是选择海之达。', '短评打分': 5}
{'短评内容': '环境很好，老板娘为人很热情，我这次早上7点钟到了，不过还是能帮我们安排好房间，房间卫生也很干净，没有异味', '短评打分': 5}
{'短评内容': '还行吧，就在星海广场边上，不过周边没啥吃的', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '经朋友介绍，我们三个姐妹带着两个孩子入住到那里。店里的每一位都非常热情，服务特别好。尤其赶上孩子生病，很多次麻烦店里的老板和服务员，服务超级好。而且地理位置一级棒，就在星海广场，公寓楼下有超市、药店，甚至还有派出所。吃喝玩乐超级便利。推荐！', '短评打分': 3}
{'短评内容': '酒店环境和位置都不错，挺好的。。', '短评打分': 5}
{'短评内容': '住所很好，很舒服！很满意！', '短评打分': 3}
{'短评内容': '从房间的阳台上能看见海风景不错，不是繁华地段吃饭交通不太方便，离星海广场不太远。服务的几位大姐还不错。', '短评打分': 4}
{'短评内容': 'high floor.sea view.fast internet.my child like the sky bed.\nbut the toilrt has not window.', '短评打分': 5}
{'短评内容': '很不错的地方 VIP4双床 4个人住的很愉快', '短评打分': 5}
{'短评内容': '挺好，挺干净', '短评打分': 3}
{'短评内容': ' 干净 实惠 还不错', '短评打分': 3}
{'短评内容': '整体来说 还不错  环境很好  很有家的感觉  但是价格稍微有点贵。。。。离星海很近  最多10分钟的距离吧。。。但是位置不太好找 需要耐心 呵呵', '短评打分': 5}
{'短评内容': '酒店不错，风景很好，老板娘也热情', '短评打分': 3}
{'短评内容': '位置很好。该有的都有。不像一般的酒店天天换毛巾，卫具什么的。', '短评打分': 5}
{'短评内容': '住宿条件不错！离星海广场很近，能看到星海广场的海景！', '短评打分': 5}
{'短评内容': '很好！就是交通不太方便，总体来说是好的。服务人员很热情。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是晚上洗澡水不好，可能是因为楼层高水压不够，早上起来就又好了。', '短评打分': 5}
{'短评内容': '窗外的景色不错，老板的态度和服务都可以，就是这个酒店确实不专业，可以说是绝对的日租房的感觉，浴巾和毛巾上都多少有点味道，估计是在洗的时候洗的不干净，床不舒服有一些塌了！浴室的们也不是很好用，可能是我这个房间的问题吧！但是不足真的有太多了！重点就是在毛巾和浴巾上，都是我又用香皂泡了一下才用的，上面有些类似油烟的味道。希望能改进下！', '短评打分': 1}
{'短评内容': '公寓很不错，适合情侣度假居住！', '短评打分': 3}
{'短评内容': '环境都很好，就是热水有点少，一会就没了。', '短评打分': 5}
{'短评内容': '海景房，老板服务态度也很好，房间很大，不错不错，推荐', '短评打分': 5}
{'短评内容': '酒店风格还蛮公寓式的，交通非常不便，外出必须打车，热水供应不足，到海边不近，网速慢，9点以后就上不了网，还不给修，房间里没有电话，东西脏了就得收钱。不建议入住，这个价周围有很多酒店，这个怎么都像日租。', '短评打分': 1}
{'短评内容': '不错。我们2天消费也不高。环境也不错。唯一的缺点就是床太硬了。。。', '短评打分': 5}
{'短评内容': '非常安静,,非常热情。\n屋子里很有特点。我和女朋友玩的很开心。\n浪漫的房子。还可以做饭。\n就是走廊里的灯 不怎么好用', '短评打分': 5}
{'短评内容': '酒店还是挺好，各方面都还行住着挺舒适的，沟通还是挺好的，位置还是挺好的离海边也很近，性价比还蛮高的。', '短评打分': 5}
{'短评内容': ' 高级房房间小，设备很多坏了，照明太暗了。但位置挺便利的。尤其早餐很不错。会考虑在来入住', '短评打分': 3}
{'短评内容': '性价比很好的酒店，房间干净整洁，硬件齐全，服务到位，住宿环境很不错', '短评打分': 5}
{'短评内容': '复式公寓空间挺大，带孩子去楼下楼下玩着很开心．不错的地方．干净舒服．没电话没打扰挺清静的．', '短评打分': 5}
{'短评内容': '非常一般，位置较难找，没有指示标识，打了2次车，2次电话才找到。\n到了地方，电梯是需要刷卡才能到达楼层的，楼主说帮我按了该楼层，但2次都不行，上下了2次，我拎着行李来回跑，郁闷得很。\n不能刷卡，只好交了现金，结果退房的时候还说没发票，让我第二天再跑了一趟。\n进了房间，几只苍蝇和蚊子扑面而来。\n说是电脑房，但电脑的配置既然是P4的，内存256M，除了能勉强开QQ，其他啥也做不了，网页等了好几分钟还打', '短评打分': 1}
