{'短评内容': '风景好。', '短评打分': 5}
{'短评内容': '入住需谨慎，周边环境很牛，房间太差劲', '短评打分': 3}
{'短评内容': '环境不错，全是湖景房!', '短评打分': 5}
{'短评内容': '这家酒店主楼客房很少，大部分客人都入住别墅内房间。酒店位于木兰湖畔，推窗观湖，外景一流。但是房间设施很差，清洁卫生不好，有蚊虫。别墅区无任何服务，连内线电话都无。', '短评打分': 2}
{'短评内容': '周边的环境没得说，就在湖岸上。房间设施，床旧了睡着不舒服！', '短评打分': 4}
{'短评内容': '挺不错的，尤其是前台美眉的态度挺好的。。。。', '短评打分': 5}
{'短评内容': '挺不错的，尤其是前台美眉的态度挺好的。。。。', '短评打分': 5}
{'短评内容': '这是我住过最差的酒店了，说是单间大床房，结果，床是1.5米，还其短无比，我老公172，脚都在床沿外边，最过份的是，一栋别墅，几间房就几个不同的客人，大厅还有打麻将的，吵得无法入睡，离湖很近，被子潮湿有气味，以后不想再来了', '短评打分': 2}
{'短评内容': '空气好，风景好，就是设施设备有点陈旧了，值得推荐！', '短评打分': 3}
{'短评内容': '价格偏高，房间小！', '短评打分': 4}
{'短评内容': '脏乱差 外面环境还不错 房间真是稀烂', '短评打分': 2}
{'短评内容': '设施老了点，位置不错在湖边。', '短评打分': 3}
