{'短评内容': '就在闹市的中心。逛街吃东西都很方便\n购物更是很好。', '短评打分': 5}
{'短评内容': '环境还好了。因为是开会，离会场比较近。不过不喜欢武汉这个城市', '短评打分': 5}
{'短评内容': '酒店位于中南路，地理位置还不错。靠近大马路，不是特别吵。就是水温不太热，洗澡勉强可以接受。', '短评打分': 5}
{'短评内容': '主要是离会场近，没什么好与不好。一般的酒店。\n', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，空间也很大。就是隔音有点不好，隔壁开门像自己门开了一样，会吓一跳。\n地理位置不错。周边银泰百货啊，什么的吃饭都还不错。不过，门口刚好修地铁不是很方便。', '短评打分': 5}
{'短评内容': '应该开了不久，很干净，设备都比较新住着舒服', '短评打分': 5}
{'短评内容': '酒店环境一般但是比较方便离我办事的单位比较近，床铺不干净，要求服务人员重新更换。其余的还好', '短评打分': 5}
{'短评内容': '地段还可以，但是周围都在修路，不太好走。', '短评打分': 1}
{'短评内容': '酒店里面很干净，服务态度还不错…出行交通都很方便', '短评打分': 3}
{'短评内容': '出差住在这里，是帮同事预定的。位置不错，据说条件还算ok。', '短评打分': 5}
{'短评内容': '酒店的地段在繁华的地区，但是房间算安静，性价比高，介绍给朋友！', '短评打分': 5}
{'短评内容': '服务态度还可以，但是卫生间是玻璃的，开放式的，不适合一般的朋友同住。房间打扫的也不是很干净。擦手的毛巾也不太干净。', '短评打分': 1}
{'短评内容': '酒店 外观不讨好,但是里面在设施还是值得认同在,建议朋友入住.', '短评打分': 5}
{'短评内容': '各方面都不错，豪间窗户不能开，通风差，早餐简单，其他都满意。', '短评打分': 3}
{'短评内容': '床很舒适，卫生间也不错，总体环境还可以，一夜睡到天亮', '短评打分': 5}
{'短评内容': '整体感觉还好，只是空调系统不好用，不能调温度', '短评打分': 3}
{'短评内容': '环境不错最好选择有窗户的房间', '短评打分': 3}
{'短评内容': '房间很宽敞，设施也不错，早餐种类有点少，味道还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住的是豪华标准间，比其他同等价格的要好，酒店环境不错，设施也很好，就是前台结账太慢了，态度还不是很好。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间够大，卫生好，服务不错，地点也好，下次来还住这里。', '短评打分': 5}
{'短评内容': '米有窗户、、\n\n其他还好。\n\n服务什么的也没的说。', '短评打分': 5}
{'短评内容': '酒店环境不错，位置方便，就是联通信号不好。', '短评打分': 3}
{'短评内容': '8566.8562', '短评打分': 3}
{'短评内容': '卫生差', '短评打分': 3}
{'短评内容': '各方面都还不错，离要办事的地方很近，楼下餐厅也不错', '短评打分': 5}
{'短评内容': '房间宽敞，干净，服务也很周到，就是早餐品种单调了一些', '短评打分': 5}
