{'短评内容': '房间气氛很好，干净', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '毛线', '短评打分': 2}
{'短评内容': '一般，服务态度一般，房间里连浴巾毛巾都不放', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很高', '短评打分': 5}
{'短评内容': '感觉没图片的好', '短评打分': 4}
{'短评内容': '无', '短评打分': 4}
{'短评内容': '环境很不错……………………………', '短评打分': 5}
{'短评内容': '酒店环境舍设施感觉太老久', '短评打分': 4}
{'短评内容': '电视机小了点，和房间不匹配', '短评打分': 4}
{'短评内容': '据说挺不错的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '装修颇具风格，颜色赏心悦目，房间卧床宽大，沐浴花洒舒心，推荐', '短评打分': 5}
{'短评内容': '酒店房间够大，床够大，装修挺新颖，不过地毯被毁得不善。洗澡水不大，没有浴帘，洗完澡后整个浴室地面全是水，需要小心行走。', '短评打分': 5}
{'短评内容': '酒店条件还可以，挺不错的。周边也比较安静', '短评打分': 3}
{'短评内容': '，还行，比较有特色。但是卫生还是需要加强的。', '短评打分': 3}
