{'短评内容': '整体还不错！', '短评打分': 5}
{'短评内容': '房间还可以，环境也好', '短评打分': 5}
{'短评内容': '个人觉得一般吧', '短评打分': 3}
{'短评内容': '离南站近，交通便利，房间干净，但是没开发票，服务员说月底发票开完了，下月初给我寄过去', '短评打分': 5}
{'短评内容': '还不错挺好的', '短评打分': 4}
{'短评内容': '凑活', '短评打分': 2}
{'短评内容': 'The worst travel experience in my entire  life...', '短评打分': 2}
{'短评内容': '整体不错！就是浴室条件略差！！！', '短评打分': 4}
{'短评内容': '前台小妹只会说不会做，洗手台坏了，让借一个来洗衣服一大堆废话。最后还是清洁阿姨帮忙', '短评打分': 3}
{'短评内容': '房间不错，价格蛮实惠，推荐', '短评打分': 3}
{'短评内容': '还可以........', '短评打分': 3}
{'短评内容': '找了很长时间，酒店很不好找。初次来的话，恐怕找不到，但卫生做的干净。周围吃的很方便，饭店很多。楼下有些吵，总的说，还可以。', '短评打分': 3}
{'短评内容': '出差居住最佳选择', '短评打分': 4}
{'短评内容': '噪声太大，隔壁打麻将吵得人睡觉都没办法睡，什么酒店，简直就一居民小区的旅馆，就是离螺蛳湾商贸城近', '短评打分': 4}
