{'短评内容': '服務好，賓至如歸。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '挺好的，干净。', '短评打分': 5}
{'短评内容': '周围吃住很方便，非常适合常年在黄岛跑单跑业务人首选', '短评打分': 5}
{'短评内容': '一直住锦江、习惯了', '短评打分': 5}
{'短评内容': '没定成，退掉了', '短评打分': 5}
{'短评内容': '京东旅行，太好了，物美价廉', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住了三次了，服务也不错，给个五星', '短评打分': 5}
{'短评内容': '还不错，环境卫生都还可以', '短评打分': 5}
{'短评内容': '还可以，卫生较好', '短评打分': 4}
{'短评内容': '去黄岛出差一直住这家 价格便宜  服务还非常好 老客户还赠送早餐，周边出行非常方便 出门就是大超市。', '短评打分': 4}
{'短评内容': '酒店挺舒适的！', '短评打分': 5}
{'短评内容': '购物方便，离利群几步路，很方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '经常住他们家，今天发现新上的早餐品种，手擀面有回家的感觉，还体验了一把可爱的主题房，太棒啦，就近出行方便而温馨～～', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '锦江之星是个很不错的酒店。我经常住那儿。尤其暖气加空调很热。', '短评打分': 4}
{'短评内容': '不错，住着很好，里面挺温馨的感觉！', '短评打分': 5}
{'短评内容': '位置佳，服务热情，房屋干净，离市中心很近，旁边还有菜市场很方便，不错，值得推荐', '短评打分': 5}
{'短评内容': '不错。干净。', '短评打分': 3}
{'短评内容': '位置挺好的，进出方便，车位看护人员很尽职尽责。服务有不错的水平。', '短评打分': 5}
{'短评内容': '快捷酒店典范。\n干净整洁，服务态度好。\n酒店位置也非常方便', '短评打分': 5}
{'短评内容': '位置优越 闹中取静 暖气很暖和 在开发区仅有的几家经济酒店里是很不错的一家', '短评打分': 5}
{'短评内容': '房间不大，卫生条件很好，价格实惠，适合休息。', '短评打分': 5}
{'短评内容': '房间比较小，但干净舒适，很不错。', '短评打分': 3}
{'短评内容': '环境很好,东西都是新的，很干净。值得下次再去。', '短评打分': 5}
{'短评内容': '服务很好，非常的热情，房间也很不错性价比不错', '短评打分': 3}
{'短评内容': '不错下次还住，没啥说的。不错下次还住，没啥说的。不错下次还住，没啥说的', '短评打分': 5}
{'短评内容': '位置不错，紧挨着香江路，但并不喧闹', '短评打分': 5}
{'短评内容': '总体来说很不错！住着很舒服，也很干净，所在的开发区实际上是黄岛，离青岛要坐半小时的渡轮。不过黄岛也是去青岛不可不去的一站，所以锦江之星应该算是黄岛上最值得推荐的酒店了！很满意！', '短评打分': 5}
{'短评内容': '还可以，地方有点小', '短评打分': 5}
{'短评内容': '设施尚可，早餐还可以，晚餐简单。交通不适特别方便，由于离开发区还不太远，下次出差还会入住。', '短评打分': 5}
{'短评内容': '位置在开发区，硬件条件和人员的服务都很好，比较感觉干净，比较新', '短评打分': 3}
{'短评内容': '小而温馨，热情干净。如果网速再快点就更好。', '短评打分': 3}
{'短评内容': '如果店名能写的更详细点，就不会让人误会了，酒店叫青岛开发区香江路店，但是地址不在香江路上。', '短评打分': 3}
{'短评内容': '不错的酒店，我们到达的时候很晚了，服务依然没有打折扣，价格也公道，我每次来都会选择的酒店。', '短评打分': 5}
{'短评内容': '酒店还不错~', '短评打分': 5}
{'短评内容': '房间还可以,床挺大的,卫生比较干净,当时那边在施工转了几圈才找到那个位置,其他方面都还可以,感觉还是挺不错的.', '短评打分': 3}
{'短评内容': '在锦江和家人住了3天，感觉很好，只是在旅游旺季，房子比较紧张，所以只能选在这儿，其他店都满员。性价比很高，值得！', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置很一般的，酒店的价格高了，', '短评打分': 3}
{'短评内容': '房价不高，交通在黄岛应该是比较便利的，购物非常方便。美中不足，宾馆的地址标注不详，交通路线介绍的不仔细，武当山路查不到。当然，不只是宾馆方面的问题，也是城市规划的问题。旁边还有一家速8的。', '短评打分': 5}
{'短评内容': '酒店性价比比较高，服务环境也不错，交通很方便，地理位置也挺好的', '短评打分': 5}
{'短评内容': '感觉酒店还可以，比较干净，服务也不错，就是感觉交通不是很方便', '短评打分': 5}
{'短评内容': '感觉酒店还不错，干净整洁，服务也很周到，值得推荐', '短评打分': 5}
