{'短评内容': '还可以挺干净的', '短评打分': 5}
{'短评内容': '环境一般，设施比较全', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境好差，装修老旧，卫生条件更差！床单被子还有明显的污渍', '短评打分': 1}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '还行吧 毕竟又不贵 120又是三人房很便宜啦', '短评打分': 4}
{'短评内容': '好不好自己说', '短评打分': 4}
{'短评内容': '一般 太陈旧了', '短评打分': 3}
{'短评内容': '不好 不推荐', '短评打分': 2}
{'短评内容': '酒店环境很好 没有异味 跟图片实拍一样  房间挺大的  设施很齐全  下次还会光临 强烈推荐！！！！', '短评打分': 5}
{'短评内容': '环境不错，价格容易接受，物超所值', '短评打分': 3}
{'短评内容': '设施齐全 交通便利  附近小吃也挺多的 便宜', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '很好，不错。走的时候衣服掉宾馆了，不过宾馆人员给我发快递发回来了', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '酒店整体还不错，住的7楼，窗户偏高，感觉不舒服。', '短评打分': 3}
{'短评内容': '定的时候还不知道在那里，，等去了一看，，就在我们公司旁边，，太方便了', '短评打分': 5}
{'短评内容': '酒店环境还不错，挺干净的。临马路的那一面有点吵，所以我住到了对面。满意', '短评打分': 3}
{'短评内容': '价格很合适，房间的卫生条件很干净，就是临街的房间有车辆噪音，不过总体值得入住', '短评打分': 5}
{'短评内容': '间像KTV，人员进出很乱很杂，床设施档次很低。朋友不想折腾了，将就算了。楼道里是饭菜味道', '短评打分': 1}
{'短评内容': '房间像KTV，人员进出很乱很杂，床设施档次很低。朋友不想折腾了，将就算了。', '短评打分': 1}
{'短评内容': '不错，干净温馨', '短评打分': 3}
