{'短评内容': '条件一般，距小寨商业区，大雁塔景区比较近。', '短评打分': 3}
{'短评内容': '房间卫生还可以，位置很好，距大雁塔，小寨步行10分钟，对面就是陕博，适合旅游入住。', '短评打分': 5}
{'短评内容': '太小了！卫生间只是房间内一个拐角。而且很小。', '短评打分': 1}
{'短评内容': '酒店有点小，不过挺干净还可以上网，服务还可以，住的话行，这个价格也就这了', '短评打分': 3}
{'短评内容': '地理位置好，对面就是历史博物馆，向东走10分钟就是大雁塔，向西走10分钟就是小寨。交通也很方便，出门就有公交车站。不足之处就是酒店设施太差，卫生间是用玻璃隔出来的，房间就挤得很小，虽然看着还算整洁，但是气味挺大。服务态度也不是很好，不值这个价格。', '短评打分': 1}
{'短评内容': '\n地理位置好，就在历史博物馆对面大雁塔旁边，去美术馆、大唐不夜城、大雁塔公园、海洋公园、大唐芙蓉园都很近，我和老婆都是走路过去的。附近美食不少，对面陕历博时常排队的人很多，住该店抢票可方便多了。大雁塔音乐喷泉广场的天下第一面也非常有特色。住宿条件很好，干净，安静，酒店服务也非常好，有需求就会很快解决。性价比高，值得向朋友强烈推荐 \n', '短评打分': 5}
{'短评内容': '去西安很多次，第一次入住此酒店，感觉性价比很高，超值！在同档次酒店中服务、卫生各方面还都相当满意。最方便的是交通便利，门口就是公交大站，可直达钟鼓楼回民街等西安名吃一条街，也可直达火车站等，感觉很方便。旁边一站路的国贸大楼就有机场大巴，真方便呀!赞一个！', '短评打分': 5}
{'短评内容': '来西安办事入住此酒店，整体感觉很不错，值得推荐，酒店在陕西历史博物馆正对面，站在房间就可直接观看持身份证免费领取门票的排队情况，抢票非常方便。距离大雁塔步行十分钟就可以看到音乐喷泉，水舞表演。此酒店位置好，环境好，服务好，卫生好，价格在同等水平偏低，性价比高，下次还来住。推荐！', '短评打分': 5}
{'短评内容': '酒店还可以，性价比一般，不是特别高。卫生间稍微有点味道，希望下次可以有所改善。', '短评打分': 1}
{'短评内容': '交通方便，卫生一般，隔音不好，临街的屋子很吵。', '短评打分': 5}
{'短评内容': '一般啦，交通比较方便而已而且有电脑，可以推荐一下，但是临街屋子很吵哦！', '短评打分': 5}
{'短评内容': '在历史博物馆对面，环境挺好的，交通也很便利，来西安办事值得推荐', '短评打分': 5}
{'短评内容': '很不错的，在陕西历史博物馆正对面，站在房里可以看到对面的排队情况，抢票方便。。。距离大雁塔北广场，大雁塔都很近，晚上可以去看音乐喷泉，离小寨商圈也就是一站，交通便利，在翠华路下车就到了酒店门口，房子挺干净，唯一的不好就是离马路很近，有点吵闹，不过完全可以接受', '短评打分': 5}
{'短评内容': '酒店不错  以后去了还住哦   环境可以 ', '短评打分': 5}
