{'短评内容': '不好', '短评打分': 1}
{'短评内容': '一般般  不好不坏', '短评打分': 4}
{'短评内容': '位置好，其他一般', '短评打分': 4}
{'短评内容': '位置很好，其他的都不怎么样？房间很小', '短评打分': 4}
{'短评内容': '还算干净了', '短评打分': 5}
{'短评内容': '服务态度挺好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '棒棒哒！挺好的，京东服务不错，买东西还是来京东啊。', '短评打分': 5}
{'短评内容': '交通出行非常便捷，周边吃饭选择非常多，房间干净整洁，服务态度很好，性价比优，商务或者旅游均是不错的选择。', '短评打分': 5}
{'短评内容': '总体感觉不错，就在地铁站边，周边很方便。去福田口岸也很方便。', '短评打分': 5}
{'短评内容': '客观说宾馆位置非常好，交通便利离地铁口非常近。但是酒店服务很一般，且房间内设施陈旧，卫生不好。就这个地段价位可以说马马虎虎，大家对酒店设施卫生有要求的请绕道。', '短评打分': 3}
{'短评内容': '酒店设施还不错，刚好遇到旁边房间有人闹事，太恐怖了', '短评打分': 4}
{'短评内容': '酒店还不错，适合商务出差~~', '短评打分': 5}
{'短评内容': '会展中心下来从E出口出去，不用到地面，找到金环大厦的主楼电梯厅直接上10楼即可到前台，非常方便。而且地下有许多店，吃饭非常方便。不足之处房间有点不隔音，能听到隔壁说话', '短评打分': 5}
{'短评内容': '环境很棒', '短评打分': 5}
{'短评内容': '不錯，乾淨', '短评打分': 5}
{'短评内容': '位置很便利。安静', '短评打分': 5}
{'短评内容': '设施有点旧，前台位置不方便，但工作人员态度很亲切', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这种酒店还是少定的为好，感觉差.........', '短评打分': 2}
{'短评内容': '安静是可以的，一个人随便住住几天可以的，再长就不好弄了', '短评打分': 5}
{'短评内容': '周边位置很好，酒店不是很好找，设施老旧。', '短评打分': 3}
{'短评内容': '酒店很干净,吃住玩都很方便,性价比很高。', '短评打分': 3}
{'短评内容': '一般，找个服务员十五分钟都没人过来电梯共用乘坐不方便\n', '短评打分': 1}
{'短评内容': '位置不错，地铁站上面，方便。\n只是在Check in的时候，刷信用卡刷成消费了，而不是预付。郁闷中。', '短评打分': 5}
{'短评内容': '香樟酒店性价比还不错', '短评打分': 3}
{'短评内容': '性价比很好，离展馆近，周边配套不错，前台很热情', '短评打分': 5}
{'短评内容': '酒店设施，布置比较现代，环境很清静，如果在深圳会展中心开会此处确实是比较理想的落脚点', '短评打分': 5}
{'短评内容': '管理有待提高入住后发现垃圾没倒', '短评打分': 3}
{'短评内容': '深圳繁华地段，属于比较便宜的酒店。没什么特色，没有早餐，其优势就是地理位置和价格。', '短评打分': 5}
