{'短评内容': '感觉一般般，房间小，而且空气差，不通风，特别难受。', '短评打分': 5}
{'短评内容': '好hhhhhhhhhhhhhhhhhhhhhhhhhhao', '短评打分': 5}
{'短评内容': '和家人来住的双床，就近选择了这家，果然优品就是比较好，服务好，房间卫生好，电视网络也很好。位置出地铁口就很好找。总体性价比高', '短评打分': 5}
{'短评内容': '卫生干净，服务态度好', '短评打分': 5}
{'短评内容': '以前住过，感觉蛮好。', '短评打分': 5}
{'短评内容': '不错，很方便', '短评打分': 5}
{'短评内容': '还可以。。。。干净卫生，值得一住', '短评打分': 5}
{'短评内容': '22222222222', '短评打分': 5}
{'短评内容': '由于展会，酒店人爆满，同时酒店在装修，味道非常大。换了房间，隔音效果很差，隔壁房间的说话声就像没有墙的阻隔。只好提前退房。', '短评打分': 3}
{'短评内容': '地理位置好，地铁近，附近美食多。房间有点陈旧', '短评打分': 5}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '去办事地点较近，交通方便，服务良好。', '短评打分': 4}
{'短评内容': '环境还行，主要去琶洲方便，床不太舒服', '短评打分': 4}
{'短评内容': '整體來說還是可以的，近展覽館，交通很方便。', '短评打分': 4}
{'短评内容': '整體來說還是可以的，近展覽館，交通很方便。', '短评打分': 4}
{'短评内容': '整體來說還是可以的，近展覽館，交通很方便。', '短评打分': 4}
