{'短评内容': '酒店太旧了！', '短评打分': 3}
{'短评内容': '卫生极差！洗手间会漏水、床单没换过有血迹！MY...地毯应该很久没打扫了好多头发贴在上面，好失望星级酒店卫生这么差，后来和前台沟通换了房间好多了，送双早、下楼吃的时候什么都没了收拾完了只能出去吃，结帐时叫开票居然说我们没发票！噢天是酒店吗？？？前台人员太度很好说过几天有票了会寄来，不知道真的还是假的！！这家酒店唯一好就是空调很给力。', '短评打分': 1}
{'短评内容': '非常bt的酒店，号称4星级 没有餐饮服务，还偏说是因为招待了婚宴 所以没有 早饭9点结束 我8点半去 就只有半个咸鸭蛋了~ 有鲜牛奶晕~三聚氰胺泡出来的一股奶精的味道\n宽带换了4根网线 总算在断断续续中完成了邮件回复。\n唯一欣慰的是人员态度尚可~', '短评打分': 1}
{'短评内容': '非常好很好真的很好非常好很好真的很好非常好很好真的很好非常好很好真的很好', '短评打分': 5}
{'短评内容': '被忽悠了，定的时候客服还和我说是4星级豪华呢。这也差别太大了，这个价格不值，肯定没下次。。。', '短评打分': 1}
{'短评内容': '房间还不错\n早餐太差了\n卫生也不是太好\n大厅服务员接待水平有待提高', '短评打分': 1}
{'短评内容': '住宿有点偏远，我们的目的地是柳市，离柳市不近，搭出租车很难，不过环境还好，干净整洁，房间有点小。价格很合适。', '短评打分': 5}
{'短评内容': '房间不错，就是有点偏，很难打到车，价格合适，性价比还算高，干净整洁。', '短评打分': 5}
{'短评内容': '吃早点时，有一个酒店的经理要了两个煎蛋，可我问他们要一个时，理都不理，非常可恶，而且早点又差，这种酒店还配四星级？', '短评打分': 3}
{'短评内容': '地处城北毗邻汽车4s店，早餐不太好，服务还可以。。。。。。', '短评打分': 1}
{'短评内容': '酒店在宝马店旁边，交通不太方便，周围就餐也很方便，早餐种类一般，去晚了就没什么吃的了', '短评打分': 1}
{'短评内容': '位置较偏，隔音很差，跟隔壁房间如果看一个电视台静音即可。地毯很脏。装修可以用简陋来形容。', '短评打分': 1}
{'短评内容': '酒店餐饮不错，饭菜口味很好，比较细腻，房间舒适度还行，卫生挺好的，住着还算满意', '短评打分': 5}
{'短评内容': '房间装潢的很不错，交通出行方便，位置还行，去火车站机场凑合，服务比较一般，卫生条件挺好的', '短评打分': 3}
{'短评内容': '房间装修的很简单，住宿环境不错，卫生条件挺好，其他都很一般', '短评打分': 3}
{'短评内容': '交通不方便,很难找到,饭店价格贵,没东西吃\n', '短评打分': 1}
{'短评内容': '很新的一家的酒店，房间设计的比较普通，硬件设施简单，布置的很温馨，卫生条件很好，干净整洁，住着蛮放心的', '短评打分': 5}
{'短评内容': '很一般。\n若非靠近经济开发区（方便出入目标单位），不会选择。', '短评打分': 5}
{'短评内容': '酒店在温州大道上，房间装潢的挺不错。周边交通出行蛮方便的，酒店距离机场火车站都不是很远，服务比较一般', '短评打分': 3}
{'短评内容': '酒店餐饮很不错，就餐环境优雅，餐饮可口，卫生和服务都蛮到位的，住宿环境很好', '短评打分': 5}
