{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '很好，干净整洁！', '短评打分': 5}
{'短评内容': '住店是含早餐，可以预定含早跟温泉门票的房间，一个房间两张票，不能加床，孩子玩玩也可以，停车位置很多，周边吃饭的地方选择性很大，各种吃法都可以选到。', '短评打分': 4}
{'短评内容': '传统中式早餐，种类比较丰富，酒店位置好，周边旅游景点比较多，温泉不错，适合带孩子游玩，酒店有停车场，车位较多', '短评打分': 4}
{'短评内容': '最对物有所值', '短评打分': 5}
{'短评内容': '没想到东北的温泉也有这么好，大冬天泡温泉感觉很不错，配套设施挺好', '短评打分': 5}
{'短评内容': '好好的好好的', '短评打分': 5}
{'短评内容': '非常好啊物美价廉', '短评打分': 5}
{'短评内容': '酒店卫生和服务还好，但离5星极还有差距', '短评打分': 5}
{'短评内容': '酒店卫生和服务还好，但离5星极还有差距', '短评打分': 5}
{'短评内容': '是个老酒店了，早歺水平提升空间较大，客房没有浴盆应提前告之床太硬了，望改进', '短评打分': 3}
{'短评内容': '房间条件还可以，就是带小孩还得单买儿童温泉票，温泉水不错，玩的很高兴，价格再亲民点就好了！', '短评打分': 3}
{'短评内容': '环境非常好，水温正好适合孩子戏水玩', '短评打分': 5}
{'短评内容': '真的不错', '短评打分': 3}
{'短评内容': '酒店环境很漂亮，客房干净舒适，特别是温泉水好，是周末休闲的好地方。', '短评打分': 5}
