{'短评内容': '酒店干净，空调好，早餐也行，', '短评打分': 4}
{'短评内容': '一般吧，反正可以住的哈。', '短评打分': 3}
{'短评内容': '位置还不错，就是酒店，的香味太浓', '短评打分': 3}
{'短评内容': '很不错，物超所值', '短评打分': 5}
{'短评内容': '很好，非常棒！', '短评打分': 5}
{'短评内容': '早餐不怎么样，有停车场比较方便，地理位置不错，周边吃喝玩乐的什么都有，离湘江不远可以去橘子洲头逛逛，房间装修的年代比较久了', '短评打分': 4}
{'短评内容': '邮费力度比较大，还是比较实惠的', '短评打分': 5}
{'短评内容': '好 很好 非常好 相当的好', '短评打分': 5}
{'短评内容': '非常方便快捷，但是在酒店前台显示不是京东订单在京东页面没有订单处理选项', '短评打分': 5}
{'短评内容': '简单舒适，干净整洁，很满意。去省妇幼检查也很方便，停车也很方便，而且是移动停车位，很有意思。下次还会选择这家。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，但是应该装修了', '短评打分': 4}
{'短评内容': '和三星级不符', '短评打分': 3}
{'短评内容': '酒店设施马马虎虎，跟三星水平基本匹配。', '短评打分': 5}
{'短评内容': '出行方便，步行很快到湘雅、妇幼保健院！', '短评打分': 4}
{'短评内容': '都还好  附近最后的酒店', '短评打分': 5}
