{'短评内容': '服务好，位置好，出行方便！', '短评打分': 5}
{'短评内容': '环境不错，地段也很方便，很好。', '短评打分': 5}
{'短评内容': '还不错的说', '短评打分': 5}
{'短评内容': '价格服务还可以', '短评打分': 5}
{'短评内容': '不怎么样……', '短评打分': 4}
{'短评内容': '感觉不是很值，房间小有异味，床也很小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '三楼ktv有点吵，所以不要订四楼的房。旁边也有幼儿园，要注意避开幼儿园那边哦，早上很吵', '短评打分': 5}
{'短评内容': '莫', '短评打分': 5}
{'短评内容': '老式便捷酒店。装饰很简单。', '短评打分': 4}
{'短评内容': '价格还算可以，就是旁边有个酒吧，半夜十分吵闹。', '短评打分': 4}
{'短评内容': '地理位置真是没的说，逛街吃饭都很方便，这样的地段性价比还可以了', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '总体来说是附近比较好的酒店了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设备简陋陈旧，卫生不干净。淋浴喷头不好用。', '短评打分': 2}
{'短评内容': '房间感觉很压抑，卫生间小得可怜，电视也小，不喜欢。', '短评打分': 1}
{'短评内容': '给朋友订的房，回来还满意，没听到什么负面评价！', '短评打分': 5}
{'短评内容': '此店优点是在市中心，周围可逛的地方也多。缺点价格小贵，而且12点就结账，不想之前住的格林豪泰到下午2点呢。大概是市中心的原因，是去机场大巴不错的选择。打车7元，就是特别堵', '短评打分': 5}
{'短评内容': '给朋友订的房，反响还可以，就是不能停车！', '短评打分': 5}
{'短评内容': '酒店干净，周边环境也好。', '短评打分': 3}
{'短评内容': '酒店离朝阳路比较近，楼下吃饭的地方比较多。但是，最大的不足是楼上有夜总会。从晚上10点，到凌晨2点，无论你住哪间房间，都避免不了地吵。如果睡眠轻的，肯定不行。', '短评打分': 5}
{'短评内容': '位置好，交通方便，就是房间不是朝阳光线较暗，隔音效果不是很好，很晚了还有人走动', '短评打分': 5}
{'短评内容': '经济实惠，交通方便，邻近商业区，步行到万达不过十分钟路程', '短评打分': 5}
{'短评内容': '已入住，基本令人满意。', '短评打分': 3}
{'短评内容': '酒店位置不错，服务态度好，干净卫生，价格适中，下次还会再来~', '短评打分': 5}
{'短评内容': '百元房还是很实惠的哈，不过好象隔音稍差，凌晨两点了，还有KTV传出的鬼哭狼嚎的声音！', '短评打分': 5}
{'短评内容': '方便快捷，服务很好，但是预定的房型不够多，所以需要等待，但是总体很好', '短评打分': 5}
{'短评内容': '设施齐全，服务一流，值得推荐。设施齐全，服务一流，值得推荐。', '短评打分': 5}
{'短评内容': '还不错.   起初安排的房间 楼上在装修 很吵,而且房间是梯形.（呵呵..有个习惯.就是在不是方正的房间睡觉会睡不着）,致电到前台提出换房.  打了两次电话才换房成功. 前台也有解释说这段时间比较忙.办理入住的客人多了. 后面换的房间除了小点. 其他什么的都很齐全干净. 还有一个0秒退房的. 比较省时. 当然. 房间里面肯定没有任何消费的物品. 连电话都是只能打内线而已.（住过某些便捷酒店. 其他', '短评打分': 5}
{'短评内容': '服务还不错，就是远了点', '短评打分': 3}
{'短评内容': '环境可以，离市中心近，很方便', '短评打分': 3}
{'短评内容': '酒店位置临近市中心朝阳广场，交通较为便利，房间干净卫生，功能规划合理，温馨舒适，服务人员和蔼可亲，微笑服务，态度很好，这次住得很愉快，性价比较高', '短评打分': 5}
{'短评内容': '房间很大很不错。还行吧。就是南宁的天气太热啦。', '短评打分': 5}
{'短评内容': '酒店处于比较繁华的街区 购物餐饮娱乐比较便利 只是楼下有一间娱乐场所 夜间会听到有人唱歌的声音 不过不影响睡眠 酒店大堂可以免费上网 可以免费和咖啡 房间还算干净整洁 总体感觉不错', '短评打分': 5}
{'短评内容': '冲凉水很大，五谷茶不错，别的都差不多，房间隔音差点。', '短评打分': 5}
{'短评内容': '原来一直未入住过这种连锁酒店，终于有机会感受：酒店总体来说干净，只要干净就足够了，特别是卫生间，洗澡水也很大，就是停车不方便。', '短评打分': 5}
{'短评内容': '离朝阳商业街比较近，价格合理（百元房),服务不错，酒店设施齐全\n不足：店牌不明显，比较难找', '短评打分': 5}
{'短评内容': '环境不错\n下次还住\n就是楼下的的声音又点吵了\n还有就是空调没有电池酒店还没有备货', '短评打分': 5}
{'短评内容': '位置不错，酒店的服务还不错，非常方便，卫生也还可以，只是有点吵\n', '短评打分': 5}
{'短评内容': '位置还是不错的，离商业区朝阳广场比较近，但房间有点小，呵呵', '短评打分': 5}
{'短评内容': '百元房很划算，交通方便。\n\n', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务好干净符合汉庭标准就是价格可以适当降低', '短评打分': 3}
{'短评内容': '非常满意、服务周到、卫生干净！下次一定会再来！', '短评打分': 5}
{'短评内容': '房价有点偏高，没有餐厅,总体还算不错，有阳光的房间太吵', '短评打分': 5}
{'短评内容': '服务非常不错，环境卫生不错，下次都会介绍朋友来住！~', '短评打分': 5}
{'短评内容': '很不错的地方，靠近繁华地段，买东西很方便，溜达溜达也不错。', '短评打分': 5}
{'短评内容': '感觉不错，干净卫生，闹市区，吃，交通都很方便，房间隔音不太好。', '短评打分': 3}
{'短评内容': '一百元的話算超值了。要是正常房價可能就偏貴了。', '短评打分': 5}
{'短评内容': '服务很到位，工作人员热情，住宿环境卫生干净，就是有些靠窗边的房间噪音太大了。', '短评打分': 3}
{'短评内容': '服务员态度很好 设施也蛮新 沐浴很给力 就是房间密度太大 有时很吵', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': ' 店离火车站很近，但是很吵。楼下就是一家类似夜店的酒吧。。很吵。。很吵。而且如果是百元房六点以后才可以住', '短评打分': 3}
{'短评内容': '连续住了几天了 感觉还不错 服务很周到 还有餐厅', '短评打分': 5}
{'短评内容': '房间不错 就是隔音不好 吵 外面说话声轻易听见', '短评打分': 5}
{'短评内容': '酒店一点都不好，有蟑螂，卫生间太小，没有早餐，KTV唱歌的影响我们在六楼正常休息', '短评打分': 1}
{'短评内容': '还可以   啊，比较大 ，就是贵些了，要是价格稍微便宜点还好', '短评打分': 5}
{'短评内容': '很喜欢这个酒店！住了很多次了  各方面都很好！', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务态度很好，很细心为每个顾客着想，让人很贴心，有回不家的感觉，推荐出游住汉庭！', '短评打分': 3}
{'短评内容': '很不错的地方，价格相对于来说比较合理~~', '短评打分': 5}
{'短评内容': '离商业街比较近，房间还算整洁，但停车不太方便，空间也有点小。', '短评打分': 5}
{'短评内容': '酒店服务很好卫生干净', '短评打分': 3}
{'短评内容': '感觉服务有进步了，特别是前台那个帅哥，很有礼貌，让人心里很舒服。其它都是汉庭一直的风格。', '短评打分': 5}
{'短评内容': '环境不错，服务态度也很好！！就是隔壁的幼儿园有点吵！', '短评打分': 5}
{'短评内容': '周末百元房倒是挺实惠的，但其它方面感觉一般，房间里的电视也太小。', '短评打分': 5}
{'短评内容': '房间还不错和一般快捷酒店都差不多。价格倒是稍微贵了，位置还是比较好的。', '短评打分': 3}
{'短评内容': '房间很干净，位置也好，价格偏贵！', '短评打分': 3}
{'短评内容': '还是非常推荐这个宾馆的 交通方便 很不错', '短评打分': 5}
{'短评内容': '酒店的位置不错，就在城市商业的中心。周围基本什么都有了', '短评打分': 5}
{'短评内容': '很不错的酒店，离当地的小吃街很近!!!!!!', '短评打分': 3}
{'短评内容': '挺好，很方便，只是前台服务员总想让网上订房的客人改为宾馆的会员会感到不爽。', '短评打分': 5}
{'短评内容': '服务很好\r\n位置很方便\r\n下次还是会选择住这个酒店', '短评打分': 5}
{'短评内容': '位置很不错，设施也很不错滴，其实各个方面都很不错，就是碰到国庆黄金周，就觉得价位有点高了，', '短评打分': 5}
{'短评内容': '很不错的店，地理位置很好，走5分钟就到了百盛和万达，酒店房间很大，也很舒适，唯一缺点就是枕头不够用~~~下次继续光顾~~~', '短评打分': 5}
{'短评内容': '房间比较整洁，服务态度也不错，只是房间有点小，显得有点局促，订的大床房是1.5米的床，国庆期间的价格相对有点高。', '短评打分': 5}
{'短评内容': '不错 只是价格没周日房那么实惠', '短评打分': 3}
{'短评内容': '周日房非常划算。房间干净，大床房很大。有两个枕头，一个是棉的，一个可能是荞麦的，有小小的颗粒挺舒服。浴室是厕所和淋浴分开。\r\n服务态度很好，我是凌晨1点多到店，不能上网，还派人检查电脑设置处理问题。\r\n建议强化地板有的表层已经起泡说明质量不好，跟客人的感觉比较次。建议用更明亮的颜色。另外门窗隔音都不太好，当街很吵闹，3点都不能入睡，早上走廊外声音也大。但是总体很好，希望以上两点能改进。', '短评打分': 5}
{'短评内容': '酒店还是可以的比较规范.但相对不是周日的话,价格就有点高了.', '短评打分': 3}
{'短评内容': '房间很干净,空间也不错,服务素质挺好,周日房确实很划算', '短评打分': 5}
{'短评内容': '离市中心比较近，但隔音效果不好，晚上有点吵。房间设施感觉旧了', '短评打分': 5}
{'短评内容': '房间非常舒服\r\n服务非常好\r\n卫生非常干净\r\n下次还会来', '短评打分': 5}
{'短评内容': '酒店挺干净，房间设施也很全。唯一不足是房间太小，感觉比较压抑。总体还行。', '短评打分': 5}
{'短评内容': '1、酒店的位置很好，走路到万达广场、百盛、中山路小吃街最多10分钟。打车到火车站也就不过起步价。打车到坐机场大巴的民航大厦也很近。\r\n2、房间很干净哦，网速也很快，空调很好用，电视收台也很全。\r\n3、酒店和下面的手机卖场相通，本来以为会很吵，于是要求安排的不临街的房间，很安静，睡的还不错。\r\n4、酒店和下面的几个楼层用同一步电梯，所以在电梯里就要刷房卡，这样才能到酒店的楼层，很为顾客的安全着想。不', '短评打分': 5}
{'短评内容': '这是第二次入住，条件都很不错，可惜办事处搬办公地方了，离得远了，只住了一天就搬走了。', '短评打分': 5}
{'短评内容': '位置很方便逛街，房间也很干净，就是晚上有点吵，其他都很好，下次还会入住。', '短评打分': 5}
{'短评内容': '离繁华的万达广场很近。标准的汉庭服务和硬件设施。', '短评打分': 5}
{'短评内容': ' 酒店还不错', '短评打分': 5}
{'短评内容': '标准的快捷酒店，但有好几个门通商场和其他商业设施，不是很封闭。房间装修的比较粗糙。酒店位置佳，价格还有下调的空间。', '短评打分': 5}
{'短评内容': '一如既往的好！  卫生没得说！价格稍贵！', '短评打分': 5}
{'短评内容': '还是不错的，地理位置很好。设施也不错，边上的娱乐和吃饭都很方便！', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '非常方便,前台服务非常好!房间干净.', '短评打分': 3}
{'短评内容': '位处于市中心，交通方便，还行了。。。', '短评打分': 3}
{'短评内容': '位于市中心，交通方便', '短评打分': 5}
{'短评内容': '离火车站近，周边交通便利，出行很方便，价格也实惠，以后还会入住。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '挺好的价格很实在，下次还住这里！', '短评打分': 5}
{'短评内容': '满好~~的~~', '短评打分': 3}
{'短评内容': '满好~~的~~', '短评打分': 3}
{'短评内容': '好~~~呀~~', '短评打分': 5}
{'短评内容': '干净没得说！！位置也不错！！', '短评打分': 5}
{'短评内容': '位置好，购物、餐饮都很方便。。。', '短评打分': 5}
{'短评内容': '还行，但是没如家好', '短评打分': 5}
{'短评内容': '位于南宁市最繁华的闹市区，房间还算宽敞，服务态度很好，只不过非会员价的179块房费相对来说还是高了些。', '短评打分': 5}
{'短评内容': '由于对南宁的地理位置不是很熟悉，下了机场大巴后，被人指点错误，所以很是周折才到了酒店。进去房间后感觉很舒适，像我意料中的一样，建议大家可以体验一下。', '短评打分': 5}
{'短评内容': '入住的时候刚刚打扫完，地板还湿湿的，但是很近市中心，总的来说，还好。', '短评打分': 5}
{'短评内容': '非常好，特别是周日百元房！不是第一次住了！', '短评打分': 5}
{'短评内容': '酒店价格还就。就是环境吵了点，不过离我出差单位地方近', '短评打分': 5}
{'短评内容': '第一次到南宁，还是选的汉庭，唯一的一家，附近好像是个比较热闹的商业区，酒店是在一个十字路口，可能停车会有问题（不确定），水准嘛也就这样了，楼有点老，但是还是在汉庭的基准水准。也许下次去还会住。附近有不错的排挡。', '短评打分': 5}
{'短评内容': '这家店主要离中心很近，出行很方便。。。', '短评打分': 5}
{'短评内容': '位置不错，很好。', '短评打分': 5}
{'短评内容': '前台的服务员给我感觉到很温馨，笑容一直挂在脸上感觉很真诚。态度相当不错。', '短评打分': 5}
{'短评内容': '因出差入住的酒店，酒店位置很好，处于旧城中心一个十字路口，多条公交线路途经，去往各处办事都方便；离万达广场、沃尔玛超市仅7、8分钟步程，吃饭购物便利；在床头小桌上装设有一个宽带接口，方便上网，很人性化，前厅的免费咖啡、书吧也是一个亮点。缺点有几点：我是从桂林、柳州一直走下来的，所住酒店都是长市话免费的（广西很多酒店都加入了中国电信长话联盟，在桂林没有见到不免费的），但这里要收费，长话0.7元/分钟', '短评打分': 5}
{'短评内容': '以后应该不会再去住了！酒店太闹了，位置，环境等都不好！', '短评打分': 1}
{'短评内容': '这家地理位置非常好\r\n', '短评打分': 5}
{'短评内容': '延续了汉庭一贯的干净紧凑的风格，主要是离晚上烧烤一条街很近。', '短评打分': 3}
{'短评内容': '很不错,性价比很高', '短评打分': 5}
{'短评内容': '不错，位置超级方便。', '短评打分': 5}
{'短评内容': '第一次住汉庭，一如其他经济酒店给我的感觉。舒适，干净。', '短评打分': 5}
{'短评内容': '离朝阳广场和火车站都很近，交通便利是最大的优势。步行到百盛和万达广场仅需要5分钟左右。但是和手机卖场共用一座楼，楼下很多KTV,隔音效果又不好，所以很吵。邻街的房间根本没办法睡觉。换了一个房间在会议室旁边，下午很多人开会根本没办法午休。而且房间的面积非常小。洗手间和淋浴间小到只能共用一扇玻璃门。大床房的床也很小，最多1米5，总之很不推荐这家如家。我是如家的金卡会员，住过不同城市的很多家如家酒店，这', '短评打分': 1}
{'短评内容': '我的那个房间洗手间和浴室的组合很奇怪，只有一张门，关上浴室就关不上洗手间！酒店的位置还不错。', '短评打分': 1}
{'短评内容': '住了三天，整体不错，就是房间隔音效果不好，有点吵，七楼要好很多！', '短评打分': 3}
{'短评内容': '住了三天，整体不错，就是房间隔音效果不好，有点吵，七楼要好很多！', '短评打分': 3}
{'短评内容': '整体不错，就是房间隔音效果不好，有点吵，七楼要好很多！', '短评打分': 5}
{'短评内容': '虽然与旁边的楼相距很近，但确实吃喝玩都很方便，距离万达购物中心也就三分种的路程。而且设施、卫生及服务还是很不错的，性格比高。', '短评打分': 5}
{'短评内容': '住的是周日百元房。原来以为环境很差。但是出乎我的意料，任何设施都很好，便宜，但是品质高！', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '位置的确在市中心，但旁边就是个幼儿园，早上很吵。面积的真的很小，住了一天，最后还是忍不住搬到了旁边的南宁饭店。', '短评打分': 1}
{'短评内容': '位置不错，想买特产的话比较方便，沃尔玛步行10分钟左右，尤其是旁边的小吃铺里的老友粉，强力推荐', '短评打分': 5}
{'短评内容': '房间干净，被套很新。提供无线有线二种上网，最喜欢在床头还有一网线插口。酒店安全性好，餐饮不错，服务态度很好。推荐！', '短评打分': 5}
{'短评内容': '南宁唯一的汉庭，周围有米粉吃。百元店性价比高', '短评打分': 3}
{'短评内容': '双床房还不错，算离南宁市中心比较近的性价比还可以的酒店，单人间原来住过，就很差，隔音方面很不好，其他都还行。酒店门不太显眼，如果第一次去南宁的朋友，可以和的士司机说酒店在共和酒店的附近，十字路口边上。', '短评打分': 5}
{'短评内容': '房间比较干净，就是房间实在太小了！', '短评打分': 5}
{'短评内容': '地理位置很好！喜欢购物的朋友住在这里是相当便捷的。', '短评打分': 5}
{'短评内容': '体验了新春大床房，实惠而且舒适', '短评打分': 5}
{'短评内容': '目前南宁唯一的汉庭，定了百元房所以性价比高，离商业中心也不是很远。部分房型晚上有些受演艺吧的影响，如果觉得有问题，可以更换房间：）总的来说很不错，服务很周到热情。', '短评打分': 5}
{'短评内容': '离市中心很近的酒店，关于汉庭就不用说了，住过一次就知道了，全国都一样的，可以信赖。这家的位置太好了，但要注意楼下有个娱乐城，很吵，要离它远一点的房间会好点。春节期间大床房179，便宜。', '短评打分': 5}
{'短评内容': '卫生间没有和卧室隔离起来，这点有点出乎意料，其他设施都还好，不过晚上有点吵', '短评打分': 5}
{'短评内容': '酒店位置不错，保持汉庭一贯水准', '短评打分': 5}
{'短评内容': '商务型酒店，这个价位和服务都还OK，至少很干净，比7天好多了。', '短评打分': 5}
{'短评内容': '刚刚入住的时候,感觉还不错的，酒店的设施都还新的。退房后有不一样的感觉。\r\n1、热水不能说热，温水而已。\r\n2、酒店的隔音非常差，早上6点多就被一些特别的声音吵醒了。\r\n3、房间的窗口对着墙，不透风，只能开着抽风，让空气流动。\r\n4、最让我感到不愉快的服务。早上9点出门去，10:30左右回来，门卡开不了门。\r\n打电话给前台，前台服务员说马上派人来开门。\r\n等了10分钟，没有人来，再打电话给前台，终', '短评打分': 1}
{'短评内容': '位置不错，设施齐全，很新很好', '短评打分': 5}
{'短评内容': '第二次入住,总体感觉还好,只是淋浴时水有点往外溢,有点吵,太靠近KTV酒吧,希望可以改进. ', '短评打分': 5}
{'短评内容': '位置很不错,百盛对面的一家米粉很好吃,很多店员在那吃', '短评打分': 3}
{'短评内容': '离万达很近，到中山路小吃街也方便，很不错', '短评打分': 5}
{'短评内容': '下午四点登记还要等，有点慢！其他还可以！', '短评打分': 5}
{'短评内容': '性价比还可以，周围吃的太少', '短评打分': 5}
{'短评内容': '住的是大床间，房间有点小但设施很齐全，东西也很新，位置相当不错，在市中心，离哪都不是很远。第一次住汉庭，感觉还不错，价钱也比较合适。只有是有两点，提一下，第一，网速太慢，我用迅雷下东西只有20K左右，问了前台才知道这家是512k的网速！第二，2楼有家迪厅之类的场所，晚上睡觉有点吵（但只影响了我一个晚上，其他几条都没听到，肯能跟我睡的晚有关吧）~\r\n总体上是推荐入住的！', '短评打分': 5}
{'短评内容': '干净，方便', '短评打分': 5}
{'短评内容': '位置不错，价格也不贵，可以。', '短评打分': 5}
{'短评内容': '交通很方便。房间很干净 ', '短评打分': 5}
{'短评内容': 'bucuo', '短评打分': 3}
{'短评内容': '酒店也算在市中心城区位置，进出都很方便。尤其离中山路夜市很近。如果想逛夜市的，非常建议住。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通还算方便,就是不太好找,因为酒店在一个十字路口的一条小路里面,不过酒店的条件不错,汉庭也住过几次了,没什么不满意的地方,价格也比较合理.', '短评打分': 3}
{'短评内容': '百元房太超值了，地理位置一般，找的时候很费劲，附近有一家粥铺消夜不错，还有好吃的酸品', '短评打分': 5}
{'短评内容': '酒店位置较好，出门方便，服务也非常好，让人感觉舒服，房间偏小，是内窗房，房间空气不好，而且楼下的歌厅太吵，', '短评打分': 5}
{'短评内容': '住了三晚，觉得还行，这里出行很方便，价格也比较合理', '短评打分': 3}
{'短评内容': '位置很好、在市中心；离火车站、民航大巴大的只要几分钟、交通很方便。', '短评打分': 5}
{'短评内容': '很好不错', '短评打分': 3}
{'短评内容': '服务非常好，我忘记物品，该店的店员还负责邮寄给我，很感谢。稍微有点吵，但非常方便。', '短评打分': 5}
{'短评内容': '这个酒店非常好，希望朋友有出差可以体验一下', '短评打分': 3}
{'短评内容': '这个酒店非常好，希望朋友有出差可以体验一下', '短评打分': 5}
{'短评内容': '酒店的设施很好,也很人性化.服务很周到.下次去南宁还会选择这家酒店.', '短评打分': 3}
{'短评内容': '酒店位置很好,离南宁的商业区很近.酒店的服务很好,很热情!', '短评打分': 5}
{'短评内容': '非常不错，一同去的同事也觉得还不错~~~~下次有机会再去~~~', '短评打分': 5}
{'短评内容': '酒店的位置还不错，出行交通都很方便，价格合理适中，卫生服务都比较达标，价格合理适中，整体来讲性价比比较不错的酒店值得推荐入住。', '短评打分': 3}
{'短评内容': '总体我认为还不错，经济快捷', '短评打分': 3}
{'短评内容': '这家酒店还是挺不错的,周边交通挺方便的,价格也满实惠的,值得推荐', '短评打分': 3}
{'短评内容': '总的来说不错，服务员态度很好，但是细节处做得不是很到位，比如我住那房的电视遥控器是坏的。', '短评打分': 5}
{'短评内容': '位置还不错，网速有点慢。床头会有飞虫掉下来，半夜联系总台，服务员竟然拿一瓶杀虫水进来，不知让不让人睡觉，服务还需改进。', '短评打分': 5}
{'短评内容': '位置很好，内部设施也不错，比较干净，服务很周到，不过一楼有个电子城感觉很别扭，其他方面都不错', '短评打分': 3}
{'短评内容': '住宿条件很好，服务员也很热情。价格比较适中，位置也便利', '短评打分': 5}
{'短评内容': '酒店就是房间的隔音效果比较差,感觉比较吵,其他方面都还可以, 环境也蛮不错的,整体的性价比还是可以的.', '短评打分': 5}
{'短评内容': '卫生比较好，就是洗手间有点小，另外洗漱池的水龙头接水不是很方便。', '短评打分': 5}
{'短评内容': '酒店的设施不行.太简陋了', '短评打分': 1}
{'短评内容': '房间面积小，卫生还是比较好，卫生间的格局还是挺不错的，位置也蛮不错的，交通购物都蛮方便的，整体感觉还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '酒店的电视效果不是很好，可能比较老了，其他的都还不错，房间也挺干净的，价格实惠，交通方便，在南宁市中心，挺好的。', '短评打分': 5}
{'短评内容': '感觉酒店还可以，位置特别方便，内部环境还不错，价格实惠，值得推荐 ', '短评打分': 5}
{'短评内容': '酒店的硬件设施还算可以，毕竟是经济型酒店，不过里面挺干净的，位置也不错，比较方便。', '短评打分': 5}
{'短评内容': '跟附近酒店相比价钱较高 ', '短评打分': 5}
{'短评内容': '配套的硬件设施不是很齐全，房间里面连个衣柜都没有根本没有地方挂衣服，毛巾都没有地方挂，就镜子上面有三个挂钩，挂了衣服就不能照镜子，酒店的地段很好，服务也很好，也很干净就是酒店的配置不齐全。', '短评打分': 5}
{'短评内容': '位置很不错的酒店，交通便利，周围还有手机大卖场。', '短评打分': 5}
{'短评内容': '酒店的房间面积小了点,但设施还是比较齐全的,卫生条件也不错的.价格也蛮和合适.', '短评打分': 5}
{'短评内容': '我是5月6月入住，住了三天，首先谈谈我的感受，早上早早就起来了，是因为下面有个幼儿园，每天早上孩子们的嬉戏吵的我睡不着觉；此外客房的宽带我的理解应该为拨号，速度很慢；房间的装修一般，尤其是洗漱台，下面的瓷砖；酒店有免费出租书籍供客人阅读，这点很好，大厅有宽带和无线局域网也很好，大厅的电脑可以限量打印服务，但是电脑的速度很差，使用很不方便，老是弹出错误，可能是电脑维护人员没有进行维护造成的，我说完了', '短评打分': 1}
{'短评内容': '以前就住过汉庭对他的印象一直不错，所以这次出差还是选择了汉庭，这家酒店离市中心很近，内部的环境服务也是非常不错的', '短评打分': 5}
{'短评内容': '酒店的各项设施都不错,服务也还可以.', '短评打分': 5}
{'短评内容': '位于市中心，交通比较方便，服务也还好', '短评打分': 5}
{'短评内容': '酒店的环境很好,房间也很干净,各方面都很不错,就是那一排和对面房间的窗户都是对内的,所以感觉很不舒适', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 1}
{'短评内容': '\r\n服務幾好, 房間也很整潔. 就是大堂電腦每每在使用時就出現問題. 其他都OK', '短评打分': 5}
{'短评内容': '在市中心交通挺方便的.服务卫生也挺不错的,价格也比较合适了.', '短评打分': 5}
{'短评内容': '在市中心交通挺方便的.服务卫生也挺不错的,价格也比较合适了.', '短评打分': 5}
