{'descr': '  朋友说不错  吃住行都很方便', 'star': 5}
{'descr': '朋友说还不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '周邊道路交通方便，食肆很多', 'star': 4}
{'descr': '早餐就是在隔壁一个店吃，餐券或者六元一份套餐都可以，价位六元套餐是豆腐脑，油条加个卤蛋，还有好几种套餐，价格一样。就是插座位置很奇葩，不是很方便', 'star': 5}
{'descr': '服务好', 'star': 5}
{'descr': '很不错，很干净', 'star': 5}
{'descr': '酒店很多房间无窗但仍然把房内暖气开的很高，与前台联系却说暖气无法调控。我只是想说，在不通风的情况下将暖气开的怎么高不会出问题么。吃一堑长一智，反正我下次不会订无窗的房间了。', 'star': 4}
{'descr': '酒店地理位置好 环境也不错 很干净~非常好', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '这位置，这价位也是华算的了', 'star': 3}
{'descr': '还可以，可能给携程的房间不太好', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '陌陌摸摸 144', 'star': 5}
{'descr': '还行。。', 'star': 5}
{'descr': '还行吧，就一天？', 'star': 3}
{'descr': '位置好，方便快捷', 'star': 5}
