{'短评内容': '经济房不错 交通方便', '短评打分': 5}
{'短评内容': '房间比较大，设备齐全，周边环境不错', '短评打分': 5}
{'短评内容': '早餐普通', '短评打分': 5}
{'短评内容': '房间布局合理，性价比很高，电视机差一点，清晰度也不行……', '短评打分': 4}
{'短评内容': '房子干净卫生，服务态度很好，隔音还可以', '短评打分': 5}
{'短评内容': '还行吧！！！！！！', '短评打分': 5}
{'短评内容': '房间不错，很干净', '短评打分': 5}
{'短评内容': '酒店很安静和干净', '短评打分': 5}
{'短评内容': '酒吧街喝酒很方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '凑合凑合凑合', '短评打分': 3}
{'短评内容': '很好，楼下有餐厅，过路推荐，非常方便，停车场在里面，安全放心', '短评打分': 5}
{'短评内容': '房间不大，Wifi强大，停车方便，周边吃饭地方很多。', '短评打分': 4}
{'短评内容': '很好。很不错。', '短评打分': 5}
{'短评内容': '设备一流！第一次发现有洗衣机的，省去洗衣麻烦（建议能有洗衣用的消毒水更好，毕竟多人用过需要消毒），专用停车场，附近吃饭方便！满分也表达不了对酒店的好评！超赞！?', '短评打分': 5}
{'短评内容': '酒店卫生不错，卫生间很大，挂衣杆好用，周边商铺也很多。', '短评打分': 5}
{'短评内容': '酒店环境还不错，价格也合理，以后还会来住的', '短评打分': 5}
{'短评内容': '真实可靠，的确安静整洁，而且不贵，结账时间不像网上说的那样慢呢。\n\n值得推荐！！', '短评打分': 5}
{'短评内容': '交通很方便啊！房间设备不错，有免费宽带，楼下就是小吃街，，对面的宵夜很正！！我下次去开平出差还来这间！！', '短评打分': 5}
{'短评内容': '结账速度很慢····需要等很久，查房的速度很慢，也表示很小气的一家酒店呢···要不是消费券反还多，这样价格优惠也不会选择这家酒店呢！！', '短评打分': 1}
{'短评内容': '结账的时候需要等很久·····房间也不是很漂亮，，使用久了····客服电话比较难打通，要的东西部是马上送上，需要催多几次才能送上！！', '短评打分': 1}
{'短评内容': '老常客了\n环境依旧不错，价格也合理，当然，再打点折更好', '短评打分': 5}
{'短评内容': '挂牌三星级酒店，环境不错，购物娱乐也很放便，而且性价比高!', '短评打分': 3}
{'短评内容': '＋性价比超高，2米大床呢，入住快，前台姐姐态度好，指示清晰。对面的食街东西好吃。酒店闹中带静，很好，会再来！', '短评打分': 3}
{'短评内容': '酒店挺好，出差固定住的地方，房间很舒服，就是前台的服务员态度都待提高！', '短评打分': 5}
{'短评内容': '＋交通比较便利，旺中带静，价格相对比较实惠，豪单比标单性价比高得多', '短评打分': 3}
{'短评内容': '入住豪华大床房，大人小孩都很喜欢，配有电脑，电视节目超多，日式榻榻米式的床，卫生间很干净，就是地毯有点味道，换其他地板可能更好.', '短评打分': 3}
{'短评内容': '酒店就喺无名鲫鱼粥对面，离步行街都好近，夜晚好多嘢食。酒店绝对超值，装修几新，房间又够大，仲有电脑，好干净，180蚊非常非常扺咯！', '短评打分': 3}
{'短评内容': '一如既往的好！都忘记第几次入住了，反正感觉很好。', '短评打分': 5}
{'短评内容': '上次来是有电脑的，这次沒有了，入住前问总台还说有的，郁闷', '短评打分': 3}
{'短评内容': '性价比非常高的酒店，大力推荐。服务生态度亲切，房间宽敞明亮。', '短评打分': 5}
{'短评内容': '装修还好，房间一开始有一点点味道', '短评打分': 3}
{'短评内容': '设备齐全 好干净 还有停车位 非常不错 下次去还会住那里', '短评打分': 5}
{'短评内容': '酒店干净、舒适、温馨。停车位较少，特别是就餐时间，住店肯定有车位。酒店一楼早茶不错，7人消费115元，味道可以，实惠。', '短评打分': 5}
{'短评内容': '已经住过好多次了，基本上不同类型的房型都住过，很干净，很舒适，感觉挺好，而且可以下午2点退房，非常好！', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，环境优雅，交通方便，餐饮也不错！', '短评打分': 5}
{'短评内容': '性价比很高的酒店，安静、房间非常大、很干净，服务态度也很好！', '短评打分': 5}
{'短评内容': '酒店性价比较高，还配备有电脑，工作人员也比较热情，东西看起来较舒服，值得再次入住', '短评打分': 5}
{'短评内容': '酒店房间较大,设备先进,性价比不错.可惜窗户全被洗手间占据,睡房自然采光不足.', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '.雅致酒店服务不错！', '短评打分': 3}
{'短评内容': '真没想到有这么划算的酒店！同样的配置在其它城市，价格起码是这里的两三倍。我住的是三人间，里面居然是套房，而且有两个洗手间，的确是理想之宿！', '短评打分': 5}
{'短评内容': '酒店环境超乎预期，豪华双人房绝对对得起价钱，居然还有配电脑的，房间来说巨大无比，是我所去过的性价比最高的房间', '短评打分': 5}
{'短评内容': '挺不错的酒店，很舒服，就是被子有点潮，夏次去还住这家', '短评打分': 3}
{'短评内容': '还不错,安静雅致!性价比很好!值得推荐!', '短评打分': 5}
{'短评内容': '差，商务酒店停车场都没有，20元早餐兼职胡扯。', '短评打分': 1}
{'短评内容': '房间很大、很干净、很舒适，是一间很不错的酒店。', '短评打分': 5}
{'短评内容': '环境很好，比如家、七天等快捷酒店好多了，价钱便宜，服务也好，也是朋友推荐的。很好！', '短评打分': 5}
{'短评内容': '感觉不错！性价比很好！', '短评打分': 3}
{'短评内容': '酒店位置好，房间大设施不错，价格合理，比我预想的好', '短评打分': 5}
{'短评内容': '干净卫生，环境幽静。', '短评打分': 3}
{'短评内容': '0非常满意', '短评打分': 3}
{'短评内容': '这家酒店的豪华型客房 花不到两百 能住得像一些四星级酒店一样舒服 很实惠 不错', '短评打分': 5}
{'短评内容': '酒店位于城市广场附近，散步娱乐吃饭还是蛮方便的。内部环境也很干净很舒适。', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通很便利，酒店本身也很好，服务很周到，房间很干净。住的很满意。', '短评打分': 5}
{'短评内容': '很好，干净卫生，服务热情周到，出行交通便利，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺不错，挺符合他的星级价位的，房间很宽敞，很干净很舒适，住的很满意。', '短评打分': 5}
{'短评内容': '房间比较干净，感觉很新，设施也还行，有好几种房型，感觉还不错。', '短评打分': 5}
{'短评内容': '附近没有大型超市和商业步行街，但是城市广场近在咫尺不失为饭后散步好去处。酒店内部简约安静。', '短评打分': 5}
