{'短评内容': '一寸土地一寸金，很挤！！！', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店位置不错，出门购物什么的比较方便，但房间很小，就两张靠墙紧挨的床，卫生间仅能转身，老板态度还可以，勉强也就住一晚了。', '短评打分': 3}
{'短评内容': '方便，整洁，自助，楼下就是吃吃吃！喜欢这样的地理位置，端午想再订都没订上了！', '短评打分': 4}
{'短评内容': '挺好的。。。。。。', '短评打分': 3}
{'短评内容': '只是有門有床有洗手间的地方，价格在那，没得气。提醒一下，电源插座是港式，转换头一个10元，毛巾不提供，楼下买15元，没有风筒，厕所有人就关不了门，老板人倒是很客气', '短评打分': 2}
{'短评内容': '老板很好哦！酒店简洁，适合香港风格。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '之前住过这栋楼的其他酒店，元旦期间，贵了好多，而且其他不给预定，这样的价钱也就这样的酒店，下次还是打的回深圳住，香港太贵了。', '短评打分': 4}
{'短评内容': '空调不好使', '短评打分': 4}
{'短评内容': '虽然便宜不好要求，但是电视是坏的', '短评打分': 2}
{'短评内容': '老板人超级好！屋子很小没窗户，但是设备齐全，尤其老板态度简直棒，说话总是带个谢谢你，心里暖暖的', '短评打分': 5}
{'短评内容': '地點適中，房間挺好的，下次再來', '短评打分': 5}
{'短评内容': '还是很不错的，在香港的家庭旅馆基本都是这个样子，这家店的卫生不错，床铺也干净，选10平米以上的房型会没有那么窄，就是马桶抽力不是很够，按老板指示先装满水再冲就好很多，反正住一晚OK。位置也很好，20分钟内可以到达旺角商业街任何地方，离朗豪坊2、3百米，离旺角地铁a出口100米，方便。', '短评打分': 5}
{'短评内容': '交通便利，但是真的很小很小。凑合一晚上，省钱的。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位于市中心旺地，交通方便，购物方便。但居住环境一般，房间超细，保管行李都要收20元。', '短评打分': 4}
{'短评内容': '小是小，但环境还是可以的！！随便住一晚还是可以接受的！！！', '短评打分': 5}
{'短评内容': '老板热情，环境过得去,关于房间的拖鞋，给了一对左右不对称的我，心里有点不舒服，希望改善', '短评打分': 5}
{'短评内容': '房间小了点，不过在香港想少花钱还想住得好是不可能的，卫生还可以，位置很方便，推荐。', '短评打分': 5}
{'短评内容': '香港早晨:D 红星酒店环境虽小。但很安静。老板黄先生人好，随和…', '短评打分': 3}
{'短评内容': '  店家服务真的不错，下次还会去，房间空间较小，香港经济型酒店空间就是这样了，谁叫香港寸土寸金呢，赞一个！值得推荐。', '短评打分': 5}
{'短评内容': '很小，但是还算干净，就是热水要定点供应，要晚上才有热水的。', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全，很干净，适合个人游居住。周围交通很方便的。有好多好吃的附近。', '短评打分': 5}
{'短评内容': '地理位置方便，房间很干净，小是必然的，房东人也很好！', '短评打分': 3}
{'短评内容': '这家家庭旅馆我还是很推荐的，感觉很正规，和图片相符合，地点方便的很，老板对人也好。', '短评打分': 5}
{'短评内容': '地址好。。。。。。。。。。去的人要有提前准备  房间大小肯定比较秀珍', '短评打分': 5}
{'短评内容': '老板超级恶心，半夜敲门查房，说是要检查房间住几个人。价格偏贵，。房间隔音效果不好，深夜尽然被隔壁一女的叫床声音吵醒，这次真的是算奇遇了…', '短评打分': 1}
{'短评内容': '知道HK的人都知道  旅店都很小的~~不过老板人不错~~酒店地点好~~~', '短评打分': 5}
{'短评内容': '很不错，鸿星宾馆，', '短评打分': 3}
{'短评内容': '交通非常方便，尤其是机场大巴和地铁。房间价格实惠。床很短小，不太适合高个子。窗户有些破旧。', '短评打分': 1}
{'短评内容': '这个价钱就是这种房间,一个字---小,不过香港就这样啦,看价钱自己选择吧', '短评打分': 1}
