{'短评内容': '大家凭良心说话，房间有脏有丑这 样的酒店还有好评   说好评的人   是不是被人给好处 我也是拿钱消费    凭良心说话', '短评打分': 1}
{'短评内容': '不是人住的地方', '短评打分': 1}
{'短评内容': '酒店位置有点偏僻，然后就是感觉有点不干净的，但是好在便宜吧，老板人挺好', '短评打分': 3}
{'短评内容': '恩可以，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '周边特别安静', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，卫生很干净', '短评打分': 5}
{'短评内容': '乱，脏，差，这么多年住过最差的一个酒店，无线网信号根本没用，酒店里面还那么脏，还那么贵价格，建议朋友别去了', '短评打分': 1}
{'短评内容': '空调不太好，其他还可以！', '短评打分': 4}
{'短评内容': '没有早餐不给力', '短评打分': 3}
{'短评内容': '房间环境很好，价格实惠，物美价廉哦！照片没来得及拍', '短评打分': 5}
{'短评内容': '太差了，没网络没空调，冷的受不了了，想出去买包烟门竟然还锁了怎么叫都不见服务员，简直太差了，以后再也不来了，差差差', '短评打分': 2}
