{'短评内容': '很认真的学习', '短评打分': 5}
{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '很好，干净卫生', '短评打分': 5}
{'短评内容': '环境卫生不错', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '前台美女很漂亮啊', '短评打分': 5}
{'短评内容': '环境不错，服务很好，前台非常细心', '短评打分': 5}
{'短评内容': '挺好的，住第二次了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不吹不黑，四楼里面还有个小铁阶梯，夜里去有种午夜凶铃既视感。', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '归根到底啊', '短评打分': 3}
{'短评内容': '经济便捷方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较远 房间还好 没有窗户隔音不好', '短评打分': 3}
{'短评内容': '外面的烧烤太多，油烟味都渗透到房间里', '短评打分': 3}
{'短评内容': '设施都还可以，用品也行，就是床单是旧的，有洗不掉的印记。', '短评打分': 5}
{'短评内容': '很好的，服务贴心，设施齐全。', '短评打分': 5}
