{'短评内容': '酒店环境不错，服务员态度很好，房间干净利落，能停车，就是车位较少，不过还行吧，周围吃的顶多，交通也便捷。', '短评打分': 4}
{'短评内容': '酒店位置不错，干净，清净不错', '短评打分': 4}
{'短评内容': '在市中心 很方便！', '短评打分': 5}
{'短评内容': '感觉很好吧', '短评打分': 5}
{'短评内容': '感觉挺好的', '短评打分': 5}
{'短评内容': '还可以，吃的比较方便', '短评打分': 5}
{'短评内容': '几次旅游住的都是如家，整体感觉于净，整洁，挺好的', '短评打分': 5}
{'短评内容': '还不错，比较干净，服务态度也比较好', '短评打分': 5}
{'短评内容': '还不错，比较干净，服务态度也比较好', '短评打分': 5}
{'短评内容': '很方便，解决了很多后顾之忧，在京东订房还有很多优惠，好。', '短评打分': 5}
{'短评内容': '房间很不错，服务态度超好，而且交通非常方便', '短评打分': 5}
{'短评内容': '住过几次了，比较放心，卫生安全', '短评打分': 5}
{'短评内容': '酒店地址好，出行方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好，房间也大，干净温馨，周边买东西方便', '短评打分': 5}
{'短评内容': '很好诶', '短评打分': 5}
{'短评内容': '很好诶', '短评打分': 5}
{'短评内容': '很好诶', '短评打分': 5}
{'短评内容': '很好诶', '短评打分': 5}
