{'短评内容': '前台kobe amy susan nicole fu\u2006wu\u2006hen\u2006h\u2006ao服务很好', '短评打分': 5}
{'短评内容': '设施有些老旧了，总体保养的还不错，能看出来当年还是很豪华的，但是明显跟不上时代了，所以价格以五星级酒店来讲也不算贵。 酒店电梯的噪音和振动特别大，晚上靠在枕头上，能感到墙体和床头都有振动，问酒店什么原因，回答是电梯的问题。 酒店位置还不错，如果是自驾来沈阳，从高速南面进来，一直沿着青年大街开就到了，酒店前面有一个停车场，住店的客人不需要付费，车位也比较充足。市内交通的话，出门走三四分钟，就是2号线', '短评打分': 5}
{'短评内容': '不错哦，干净卫生', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '定的房子含早餐的。早餐还不错。来沈阳一直住在一家酒店。非常舒服。室内健身器材不错。重点是有室内游泳池。这是我最中意的一点。', '短评打分': 5}
{'短评内容': '不错，挺干净的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '奔着索菲特的名字去的，但有的失望，装修很旧不打紧，屋里设施简化不碍事⋯但一个五星级酒店，没有地巾，是让客人从浴缸出来后用什么擦脚？且棉被铺的也不太及格，有一角垂落到地上⋯这些基本细节虽小却很扣分！退房时和前台反应，随后接到客服电话，誠摯的表达歉意，并给予下次入住升级的承诺！很感谢，但更希望酒店把这些心思放到前期的服务工作上，以维护索菲特的一贯品质！今晚当机立断挪到隔壁的万豪', '短评打分': 4}
{'短评内容': '服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '位置很好，景色优美，酒店也干净', '短评打分': 5}
{'短评内容': '性价比不错的', '短评打分': 5}
{'短评内容': '酒店服务不错，设施较北京的连索店有点差距，这个是原来的喜来登酒店改名的，大堂宽敞，交通方便，离地铁很近。', '短评打分': 5}
{'短评内容': '还不错，第一次来这家酒店就得到免费升级服务，十分意外！早餐也是一种值得回味的享受。其他的都很好。值得下次再来入住。', '短评打分': 5}
{'短评内容': '每次出差必选的酒店', '短评打分': 5}
{'短评内容': '环境不错  交通方便  推荐', '短评打分': 4}
{'短评内容': '提个意见，早餐的豆腐脑可以适当改良下！\n豆腐都碎了。。。', '短评打分': 5}
{'短评内容': '比旁边的万豪要好吧。\n以后应该还会去住的。\n不过希望总机的姐姐能够再friendly点', '短评打分': 5}
{'短评内容': '五星酒店非常好，各方面都好，服务，房间，卫生情况，我还会来的。', '短评打分': 5}
{'短评内容': '酒店比较老，房间里面居然还是CRT，搞不懂为什么，现在连四星酒店都换成液晶了！', '短评打分': 1}
{'短评内容': '非常不错，就是早餐品种太少', '短评打分': 3}
{'短评内容': '酒店在青年大街上，近图书馆地铁站,位置地段不错。但房间装修有些老了,', '短评打分': 3}
{'短评内容': '很好的酒店，地理位置优越，服务也很好，服务员每天都会帮客人把洗澡的东西准备好，窗帘拉好，很人性化的服务，下次还会入住 。\n', '短评打分': 5}
{'短评内容': '前台服务员外文较好。整体环境不错。', '短评打分': 3}
{'短评内容': '服务很到位，各方面都不错，就是不好停车。', '短评打分': 3}
{'短评内容': '客房尚可', '短评打分': 3}
{'短评内容': '装修、位置都还不错，就是好像床和枕头都换过了，和以前不一样了，不如以前的好', '短评打分': 5}
{'短评内容': '酒店设施太旧，完全不是五星级酒店该有的感觉，顶多三星', '短评打分': 3}
{'短评内容': '环境舒适，硬件良好，服务到位，推荐入住，还会再选择', '短评打分': 5}
{'短评内容': '酒店档次摆在这儿，没得说的，设施、服务都好，推荐入住。', '短评打分': 5}
{'短评内容': '感受尚可，特色固定', '短评打分': 3}
{'短评内容': '酒店交通便利，装修一般，性价比不高。', '短评打分': 3}
{'短评内容': '就是没有单独的淋浴间，其他还好', '短评打分': 3}
{'短评内容': '酒店条件不错, 服务很好,不过应该重新装修了.下次还是沈阳的首选酒店.', '短评打分': 5}
{'短评内容': '由于晚到了这个酒店一会，酒店居然直接把我的订单取消了，我经常出差，住过很多不同的酒店， 直接取消订单而不提前通知我本人这还是第一次！！而且取消后没有任何补救的诚意，却给同行的两个老外安排了可以弥补的房间。这个酒店我再也不会预定，再也不会住了！！', '短评打分': 1}
{'短评内容': '服务差，装修旧。大堂好像开庙会似的，吵闹！', '短评打分': 1}
{'短评内容': '服务大不如前，拥挤，装修太旧了。真的没必要再入住，下次肯定不会再来。', '短评打分': 1}
{'短评内容': '一直很喜欢喜来登的天梦之床，可惜这个酒店老了一点，得翻新了', '短评打分': 5}
{'短评内容': '不错,非常好,只是交通不太理想.\n\n不错,非常好,只是交通不太理想.\n\n\n不错,非常好,只是交通不太理想.\n\n', '短评打分': 5}
{'短评内容': '非常棒的酒店，能看到外滩的江景，美的让你陶醉，浪漫的夜晚，好幸福！', '短评打分': 5}
{'短评内容': '是一家名副其实的五星级酒店，软硬件都非常好，特别向自驾车的朋友推荐，停车很方便，而且住店的客人免费停车，酒店的位置很好，出入很方便，每次去沈阳都会入住该酒店。', '短评打分': 5}
{'短评内容': '房间老，价格贵，服务差，这也不配五星的酒店。规格低，价格高。', '短评打分': 1}
{'短评内容': '服务各方面都还好了，唯一一点不足是感觉早餐不是很丰富，有待进一步加强呀', '短评打分': 5}
{'短评内容': '太好了，我居然在电梯里遇到了张学友...', '短评打分': 5}
{'短评内容': '酒店位置是比较不错的的，出行很方便。整体感觉还算可以，服务质量有待提高，价格也还可以的。', '短评打分': 5}
{'短评内容': '无奈了，沈阳最好的酒店了，没的选择，等香格里拉开了就不住这里了', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '从价格的角度来说，服务中规中矩，符合喜来登的名号', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': ' 超烂的酒店 不值！根本不配五星 建议大家不要选这家 实在是因为万豪满房不得已入住了 从没住过这么烂的酒店', '短评打分': 3}
{'短评内容': '已经是第二次住这个酒店了，上次酒店外面基建太吵，整个晚上没法入睡。', '短评打分': 5}
{'短评内容': '已经是第二次住这个酒店了，整体还不错的，就是西餐厅的自助餐品种少了点。', '短评打分': 5}
{'短评内容': '1318', '短评打分': 3}
{'短评内容': '该酒店卫生、服务、整体环境都可以，价格还算5星级内可以接受的范围。但是前台接电话有点不耐烦，说什么很忙，人手不够，就挂了！！！ ', '短评打分': 5}
{'短评内容': '以前也住过这家店，非常干净，附近不是很吵，就是有点贵。', '短评打分': 5}
{'短评内容': '客房设施不太新，电视机等还是至少六年前的机器。与价格不太成比例，性价比不高。服务还可以。早餐也不错，但不含在房费中。要不是皇朝万鑫被火烧了，是不会入住这个酒店的。', '短评打分': 1}
{'短评内容': '在沈阳是较高级别的酒店，性价比很高！！！！', '短评打分': 5}
{'短评内容': '该酒店卫生、服务、整体环境都可以，但价格相对其他同星酒店要高，而且上网和早餐还要另付，综合价格太贵。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '老牌子了，一切都中规中矩，但设施感觉一般了。', '短评打分': 5}
{'短评内容': '感觉一般了，设施需要重新装修。最要命的是门卡，居然开几次都开不开，得赶点子，让人着急。', '短评打分': 5}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '服务中规中矩，但也出现了意外的状况。硬件设施陈旧，装修风格无法接受。行政楼层稍好，但仍感觉不佳。', '短评打分': 1}
{'短评内容': '一个月内的第二次入住，酒店不错，感觉很好！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 3}
{'短评内容': '在订酒店时一波三折，似乎酒店和网站的合作不默契，公布的价格一变再变，入住时间也被迫提前，还临时说取消早餐，各种变化反馈还特慢！不追问就不告知，让人火大！不过到入住时，表现又很好，入住时间可以延迟也不需要事先付押金了，早餐怎么又配备了，房价也算合理。如果预定环节能够及时准确，这酒店还是很值得再来的！', '短评打分': 5}
{'短评内容': '卫生一般，服务还好，设施可以，位置一般，舒适度还好，性价比一般。', '短评打分': 1}
{'短评内容': '住的好，酒店酒吧也很好，聊天的好地方！~', '短评打分': 3}
{'短评内容': '沈阳最好的酒店，没问题！~每次来沈阳都住这里！', '短评打分': 5}
{'短评内容': '感觉不错  也许下次还会过来入住 会说给朋友', '短评打分': 5}
{'短评内容': '没什么好说的，喜来登酒店很好，出门到全国各地都会入住。服务态度也没话说~', '短评打分': 5}
{'短评内容': '房间不错，但五星级上网要费用，不合理', '短评打分': 5}
{'短评内容': '虽然房间感觉有些旧了，但是床具真的的很舒服睡得很好', '短评打分': 5}
{'短评内容': '酒店老了点，不过服务质量还可以。希望能尽快翻新！', '短评打分': 5}
{'短评内容': '房间舒适', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还好吧还好吧还好吧还好吧还好吧还好吧还好吧还好吧还好吧还好吧还好吧', '短评打分': 5}
{'短评内容': '好是好，就是贵啊', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好，距机场较近，性价比较高，还会选择入住', '短评打分': 5}
{'短评内容': '坐大巴到沈阳，走路就到了。', '短评打分': 3}
{'短评内容': '去机场很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的卫生间很好，很大，早餐有点贵！而且品种不全', '短评打分': 3}
{'短评内容': '很干净，房间很大，就是服务没有那么热情，前台略显木讷', '短评打分': 5}
{'短评内容': '总体不错，早餐一般', '短评打分': 3}
{'短评内容': '不错的酒店，到机场很方便。', '短评打分': 5}
{'短评内容': '设备，装修太旧不舒适！', '短评打分': 1}
{'短评内容': '价格相对几米之遥的万豪贵了两百多，而且不含早茶。早茶138，太贵了，合起来月800元一夜。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '酒店不错，不过有点奇怪的是商务间有些小，高级间反而比商务房间大。另外，商务间的窗户有些关不严，沈阳起风的时候噪音比较大。', '短评打分': 5}
{'短评内容': '老板的首选,推荐出差的朋友', '短评打分': 5}
{'短评内容': '除了早餐一般，其他都好', '短评打分': 5}
{'短评内容': '酒店很舒服,老板每次过来都住这边', '短评打分': 5}
{'短评内容': 'By the way, drinks are chargeable even at the executive lounge.  The lounge only provides free drinks during limited happy hours.  ', '短评打分': 3}
{'短评内容': 'A busy hotel.  Good service.  Well maintained.  Mattress a bit too hard and not that comfortable though.  Elevators are slow and the swimming pool too tiny.  Overall a good choice, value for money.', '短评打分': 5}
{'短评内容': '酒店还不错，早餐太贵了。是我住过五星级酒店里最贵的，要一百四十七元，简直是谋杀。', '短评打分': 1}
{'短评内容': '不错，有些旧。', '短评打分': 3}
{'短评内容': '不错，就是有些旧，适时该装修了。', '短评打分': 5}
{'短评内容': '没感觉', '短评打分': 1}
{'短评内容': '房间挺一般的设施还是有些陈旧了,服务也没有这么的好不是很热情,前台结账速度挺慢的效率也挺低的,位置还是挺好找的,价格还是有些高了,真的是挺一般的酒店.', '短评打分': 3}
{'短评内容': '去沈阳，最高档的就是这个酒店了吧。\r\n大床舒服得很。尤其是枕头。卫生间总是很整洁很干净的浴缸。走廊明亮房间很安静很安静。上网可能收我费用了，这么贵就甭收费了，不过网速一级得快。\r\n楼下法式西餐厅味道没得比，比外面的西餐厅好多了，但绝对不便宜，味道也绝对不一样，感觉和国外的西餐一样一样的。\r\n早餐好吃的很，服务特别得周到，如果像度假的我，9：30起来的，10点收餐，服务员会提醒你多取早餐。早餐丰富量', '短评打分': 5}
{'短评内容': '没的说,大牌酒店就是棒.', '短评打分': 5}
{'短评内容': '酒店不错，就是吃饭消费太贵。', '短评打分': 5}
{'短评内容': '硬件很好，软件需提高', '短评打分': 5}
{'短评内容': '每次去沈阳我都选择喜来登酒店，大堂豪华气派，服务热情周到，去机场15分钟，非常方便。', '短评打分': 5}
{'短评内容': '酒店虽说是5星级但是比较老旧了,位置不错很好找,卫生服务还是不错,但是这家酒店以后不会再选择主要是太老旧了.', '短评打分': 3}
{'短评内容': '我已经三次入住该酒店，主要是因为交通方便。其中一次入住普通楼层，设施有些陈旧了。 行政楼层服务很好，相应很快。', '短评打分': 5}
{'短评内容': '酒店的整体很一般的，和其他的五星级酒店比较差了点，酒店的位置还可以的，出行很方便的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '怎么说呢，毕竟是喜来登，软硬件都是有水准的，但问题还是显而易见。酒店装修和设备都太老太久了，很多都是凑合继续使用的，服务也马马虎虎了。热水壶不通电打电话换过一个，服务员进门换壶非常没有教养完全没有酒店服务的程式，走时也不打招呼且连门都不给带上，她走后好久我们才发现房间的门竟然一直敞开着。比国外的喜来登差的太远了。', '短评打分': 5}
{'短评内容': '总体感觉不错，床舒服。大堂沙发离柜台较远，结账时得站着等待查房。房间内收费东西摆放太多，不要随便使用，要不会产生费用。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，交通方便；房间设施齐全，入住很舒适；在服务、卫生方面也都令人满意。', '短评打分': 5}
{'短评内容': '我住的是豪华间。房间格局不错。有一个小的屏风隔断的小客厅。房间里的被褥非常柔软， 感觉整个人陷在被子里面， 很舒服。就是前台的秩序管理太差， CHECK IN， CHECK OUT的人都围在台前， 秩序非常混乱， 特别是在CHECK OUT高峰时段。建议酒店在CHECK OUT高峰段时， 增加人手， 并用隔栏标识好通道， 维持好顺序。&lt;br /&gt;\n还有， 有些前台人员的还在讲一口东北话', '短评打分': 3}
{'短评内容': '服务很好，服务员非常有礼貌（客房部），让人有宾至如归的感觉，不足之处就是游泳池服务一般，游泳时有小孩往水里撤尿，服务员也不管，让人不太舒服。', '短评打分': 3}
