{'短评内容': '环境不错，房间干净舒服，', '短评打分': 5}
{'短评内容': '没有早餐，房间特别小，不适合带孩子，床单被套洗不干净，还有黄乎乎得东西，洗漱用品特别差，最简单得纸巾都没有。', '短评打分': 1}
{'短评内容': '很好，静静的', '短评打分': 5}
{'短评内容': '地理位置不错，出去有公交车站【彩虹桥站】，再走十多分钟就是陈家祠地铁站，吃当然也不用担心，还算有很多吃的，房间还挺干净的，忘记拍照了，很满意这次的住宿', '短评打分': 5}
{'短评内容': '周围吃的很多，感觉不错，主要觉得距离出差地点近，七天是不错的选择，住了多次了，就是每次忘记开会员卡～', '短评打分': 5}
{'短评内容': '服务态度很好，房间干净整洁，有独立卫生间。', '短评打分': 5}
{'短评内容': '这里价格不高，而且安静，住的舒服', '短评打分': 5}
{'短评内容': '位置挺好的，七天还是比较放心的，，', '短评打分': 5}
{'短评内容': '测试卷酒店', '短评打分': 0}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '差评好太的噪音搞到一晚没办法睡着', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错，性价比高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 3}
{'短评内容': '哈哈还', '短评打分': 5}
{'短评内容': '条件还不错  还算满足  就这样', '短评打分': 5}
{'短评内容': '不错了', '短评打分': 4}
{'短评内容': '酒店在公司附近，帮客店订的，性价比高，整体感觉还好。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好的啊', '短评打分': 5}
