{'短评内容': '一般化能住', '短评打分': 5}
{'短评内容': '服务很好，房间不错', '短评打分': 5}
{'短评内容': '太吵，一晚上没睡着。房间有味道，洗手间的，说是早餐很好，八点上去就员工懒散的座一桌吃喝说笑，菜就两个，还冷了，也不加热，没主食。总之早餐很差。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有停车场，环境不错，标间房间挺大，就是晚上迟了热水供应有点问题，早餐就马马虎虎了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以吧，小城市，比较安静', '短评打分': 5}
{'短评内容': '还是给予高度评价，还会再来', '短评打分': 4}
{'短评内容': '酒店很好 环境好卫生好房间大', '短评打分': 4}
{'短评内容': '只是没早餐，其他都挺好', '短评打分': 5}
{'短评内容': '距离高铁站近，房间宽敞', '短评打分': 4}
{'短评内容': '非常理想', '短评打分': 4}
{'短评内容': '卫生，环境都好，价格有点贵', '短评打分': 5}
{'短评内容': '离高铁站近，离市区比较远，附近人比较少。', '短评打分': 4}
{'短评内容': '房间挺大  也挺干净  还不错', '短评打分': 4}
{'短评内容': '既然说发票开不了，让我头大，电话也打不通，下次不选这家', '短评打分': 2}
