{'短评内容': 'good good。', '短评打分': 5}
{'短评内容': '一般吧，早餐东西也不多，吃的比较贵。周边环境还行，毕竟在郊区', '短评打分': 3}
{'短评内容': '风景不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '国庆期间性价比很高', '短评打分': 4}
{'短评内容': '环境真是不错，绿化很棒。。。不过早餐贵，但是却缺少西式早点。。。就是进山庄的路是条Z字形的死弯路，不是很安全。。。', '短评打分': 5}
{'短评内容': '物美价廉的酒店管理专业规范', '短评打分': 5}
{'短评内容': '还可以，就是没暖气，客人普遍反映很冷。', '短评打分': 5}
{'短评内容': '环境非常棒，孩子们玩的非常开心', '短评打分': 5}
{'短评内容': '环境不错 但是酒店内没什么性价比高的餐厅 ', '短评打分': 4}
{'短评内容': '周边环境非常好，非常安静，庭院设计很有特色，极具设计感，非常美，大常很敞亮，房间不大，楼道跟房间地毯有异味，东西及设备设施老了些，没特点，与环境比没在一个层次上。不对请指教', '短评打分': 4}
{'短评内容': '很不错，环境很好', '短评打分': 5}
{'短评内容': '环境很好，出门就是海滩。但是前台素质有待提高。哎呦喂，我一个孕妇，在前台被弄来弄去，外加一个孩子和两个老人等了快一个小时入住。就是办手续，有房的前提下！', '短评打分': 5}
{'短评内容': '酒店不错，但是餐饮太差，等的时间过长，环境不错，前台办理入住非常非常慢。慢到让人觉得好久好久，我们一个孕妇一个孩子，两个老人，外加一个壮劳力，觉得好久好久', '短评打分': 5}
{'短评内容': '酒店的环境是很不错的，位置也好。就是设施有些问题，餐饮价格贵。', '短评打分': 4}
{'短评内容': '和好的度假村，酒店很大，本身就是一个景点，房间也很大，适合休闲度假，干净卫生，下次来怀柔还会住这里，', '短评打分': 5}
{'短评内容': '酒店园区环境非常好，亭台楼阁，鸟语花香，适合度假，早餐品种少，味道差，各种服务员态度都不 好，不会再去', '短评打分': 4}
{'短评内容': '住宿条件很好，早餐不错，环境很好，尤其是早晚出去很有情调，有游泳池，小孩玩的很开心，早餐各种小吃都有还有煎饼，值得推荐', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 4}
{'短评内容': '不错的酒店，环境没得说，京郊好去处', '短评打分': 3}
{'短评内容': '我们一家于6月30日入住的北京唐韵山庄，酒店环境优美，是一所生态酒店，酒店周围有山有水，有成群的鸭子和鹅，还有孔雀。房间虽然小点，但是热水和空调都不错，总之挺好的一家酒店，我们还会光临的。就是房间价位再低一些就好了。', '短评打分': 5}
{'短评内容': '不错的酒店，价格挺贵', '短评打分': 3}
{'短评内容': '酒店太让人失望了，价格高，服务跟不上！标的准五星，但实际最多准四星！\n国企的酒店，可能不太注重散客，服务员服务水平太低，在餐厅点餐，什么都不知道，还不如市里小饭店的水平！\n', '短评打分': 1}
{'短评内容': '酒店位置、环境都很好，景致优美，水系里有很多鸭子和鱼，孩子在小桥上喂鸭子好开心啊。山庄内部还有个专门养鸡、鹅和孔雀的地方，孔雀开屏时间长达半小时之久，真漂亮！总体很不错，值得推荐。缺点：窗户不能开。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '唐韵山庄最大的特点就是环境优美，之所以选择这里也是看了一些网友的美图， 入住后觉得还真是不虚此行。亭台楼阁，小桥流水， 别有一番雅趣。老人和孩子都很开心，第二天特地花了一上午的时间就在山庄里游览了一番。不过唯一不太满意的地方可能因为季节的原因， 房间里一直都有各种各样的虫子，虽然已经过了秋， 可还是被虫子咬了包。另外早餐的种类不多，吸引力不大。', '短评打分': 5}
