{'短评内容': '差劲的酒店服务', '短评打分': 1}
{'短评内容': '特别好。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '每次来广州住这边 位置不错 这回第一次体验游泳池 是室外的 冷...但是服务很好 更衣室还有桑拿 舒服', '短评打分': 5}
{'短评内容': '酒店没有wifi，要收费100，住了这么多广州的五星酒店，就这家。', '短评打分': 2}
{'短评内容': '早餐不错就是价格高，各方面都好，性价比高', '短评打分': 5}
{'短评内容': '服务太差了，他们可以主动取消订单，而客户定了之后就就不可以退了', '短评打分': 1}
{'短评内容': '酒店设施一般，持续比较便利。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '今购的东西，不由得精神为之一振，自觉七经八脉为之一畅，与卖家您交流，我只想说，产品实在是太好了，你的高尚情操太让人感动了， 本人对此卖家之仰慕如滔滔江水连绵不绝，海枯石烂，天崩地裂，永不变心。交易成功后，我的心情是久久不能平静， 自古英雄出少年，卖家年纪轻轻，就有经天纬地之才，定国安邦之智，而今，天佑我大中华，沧海桑田5000年，神州平地一声雷，飞沙走石，大雾迷天，朦胧中， 只见顶天立地一金甲天神立于天地间，花见花开，人见人爱，这位英雄手持双斧，二目如电，一斧下去，混沌初开，二斧下去，女娲造人，三斧下去，小生倾倒。 得此大英雄，实乃国之幸也，民之福，人之初也，怎不叫人喜极而泣&hellip;&hellip;看着交易成功，我竟产生出一种无以名之的悲痛感&mdash;&mdash;啊， 这么好的卖家，如果将来我再也遇不到了，那我该怎么办？直到我毫不犹豫地把卖家的店收藏了，我内心的那种激动才逐渐平静下来， 可是我立刻想到这 么好的卖家，倘若别人看不到，那么不是浪费心血吗？经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。 我要以此评价奉献给世人赏阅，我要给好评&hellip;', '短评打分': 5}
{'短评内容': '没有一分钱一分货，房间可以，床太小了，和酒店品牌不对等！', '短评打分': 3}
{'短评内容': '房间床相当小，朋友很满意，以后应该不会住了！', '短评打分': 4}
{'短评内容': '超级好，下次还会去住', '短评打分': 5}
{'短评内容': '超级好，下次还会去住', '短评打分': 5}
{'短评内容': '服务超级好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '入住第一晚和朋友一起开了两间房。免费升级了一间为行政客房。其实没有差别都是一样的房间布置。第二天朋友要先走，而我住的是免费升级的房。我第二天续房要求我换房间。我同意了。本来是准备要出门去玩的，急急赶赶就收拾了一下东西从20楼换至了19楼。因为心里也觉得只是换下房间就没那么细致的去检查东西。就算丢了这种豪华酒店也会帮我收着。谁知道晚上近十二点游玩回来准备洗脸，才发现我的香奈儿洗面奶没有收拾下来。就打', '短评打分': 1}
{'短评内容': '条件非常好下次来还住这个地方朋友了都推荐这个地方', '短评打分': 5}
{'短评内容': '希尔顿酒店有点差劲，我们三个房间在不同楼层的边角上', '短评打分': 4}
{'短评内容': '有点老了', '短评打分': 5}
{'短评内容': '五星级的体验，非常赞！服务非常好。地点交通也方便，临近广州东站。唯一美中不足的是浴室的音乐广播电台只有两个频道，如果能有些其他音乐就更完美了~总的来说，非常值得住！性价比高！', '短评打分': 5}
{'短评内容': '五星级的体验，非常赞！服务非常好。地点交通也方便，临近广州东站。唯一美中不足的是浴室的音乐广播电台只有两个频道，如果能有些其他音乐就更完美了~总的来说，非常值得住！性价比高！', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 4}
{'短评内容': '商务出差还算好 能够满足出差需要', '短评打分': 5}
{'短评内容': '一开始入住觉得什么都好 直到晚上睡觉掀开被子 呵呵！大家看吧！都不知道是不是之前给人踩了没洗过就给新住客用 恶心 睡得一晚上不舒服！', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '国际品牌！服务很好！房间很大、设施不错！值得推荐！', '短评打分': 5}
{'短评内容': '硬件环境很不错，服务也还不错。前台小姐过分讲原则，当然也不是坏事。', '短评打分': 5}
{'短评内容': ' 很好，服务不错，国际连锁的标准就是好，就是有点贵。', '短评打分': 3}
{'短评内容': '酒店交通便利，服务还可以。性价比还是可以的。', '短评打分': 5}
{'短评内容': '很好的酒店，新开业的，比较人性化，性价比也不错。', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 3}
{'短评内容': '新开业的酒店，酒店内部装修风格我很喜欢，唯一的缺点是酒店位置不繁华。', '短评打分': 5}
{'短评内容': '希尔顿竟然没有浴缸！不可忍受。房间的开关竟然漏电，早晚各打了我一次，忍无可忍！我自问是一个很宽容的人，但是这家新希尔顿如此之差，实在让我无法忍耐。', '短评打分': 1}
{'短评内容': '新开的酒店 非常好 价格便宜 服务非常好 推荐', '短评打分': 5}
{'短评内容': '环境还是OK的，因为新开，但是配套设施希望能更加完善，服务人员希望更加友好，让客人有宾至如归的感觉', '短评打分': 5}
{'短评内容': '地点方便，房间舒适，价钱算是合理，下次还会选择入住。', '短评打分': 5}
{'短评内容': '这个酒店虽然是5星级的，服务不错，但是室内装修觉得一般般，不是特别的好。还是有味道，不是特别的好，价格还算合适', '短评打分': 1}
{'短评内容': '很好，很喜欢：）', '短评打分': 3}
{'短评内容': '很新，房间装修也喜欢，地理位置也不错。不过可能是新开业的愿意，很多服务和软件都没跟上，期待之后好的表现', '短评打分': 1}
{'短评内容': '饭店很新，硬件也不错，只是办理入住时，我们预订的是2晚，可是宾馆显示是一晚，经与你们及宾馆落实，最后确认是2晚，不知问题出在哪里？另外，宾馆的健身房10点就关门了，时间太早，很不方便，怎么也应该到晚上12点。', '短评打分': 5}
