{'短评内容': '价格便宜，现在去火车站不方便，房间隔音很差，很吵！', '短评打分': 4}
{'短评内容': '附近在施工，电梯上下声音很大', '短评打分': 3}
{'短评内容': '干净、卫生、舒适', '短评打分': 4}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '酒店环境差，装修中，电钻一大早就钻，非常差', '短评打分': 1}
{'短评内容': '11月5日退款现在未到帐', '短评打分': 4}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '设施硬件 无线好', '短评打分': 5}
{'短评内容': '环境好，住的舒适，交通也便利', '短评打分': 5}
{'短评内容': '房间破旧，进去有种阴森森的感觉，洗澡连挂衣服的地方都没有，总的来说相当差。', '短评打分': 1}
{'短评内容': '房间破旧，进去有种阴森森的感觉，洗澡连挂衣服的地方都没有，总的来说相当差。', '短评打分': 1}
{'短评内容': '房间没有窗，有点吵，不过还可以接受，总体还是很好！', '短评打分': 3}
{'短评内容': '挺好的酒店。离火车站和汽车西站近。要是路过和等车是非常方便的选择。性。价。比高。酒店安全卫生。房间还可以的、直接上图了。自己着下。合适就选吧、我感觉100左右的价格这是优选了吧，', '短评打分': 5}
{'短评内容': '很好，方便，卫生服务好', '短评打分': 5}
{'短评内容': '还不错，挺干净的', '短评打分': 5}
{'短评内容': '开了就算了  反正住一晚', '短评打分': 2}
{'短评内容': '离火车站近出行方便，吃饭购物方便', '短评打分': 4}
{'短评内容': '不喜欢', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，灯光太差。电视感人。没有洗漱用具。不过，这些已经提前知道了。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '真不错', '短评打分': 5}
